"Peildatum","Stand (cm t.o.v NAP)"
1984-01-13,278
1984-02-01,279
1984-02-15,272
1984-02-28,263
1984-03-14,266
1984-03-28,264
1984-04-12,268
1984-04-27,254
1984-05-15,252
1984-05-28,264
1984-06-15,256
1984-06-29,243
1984-07-13,240
1984-07-27,233
1984-08-14,232
1984-08-28,225
1984-09-13,243
1984-09-28,253
1984-10-16,253
1984-10-29,263
1984-11-14,255
1984-11-28,265
1984-12-14,252
1984-12-27,268
1985-01-15,262
1985-01-30,273
1985-02-14,258
1985-02-27,256
1985-03-15,260
1985-03-28,259
1985-04-17,261
1985-04-29,260
1985-05-15,253
1985-05-29,243
1985-06-18,246
1985-06-28,243
1985-07-16,230
1985-07-29,241
1985-08-15,244
1985-08-29,240
1985-09-13,234
1985-09-27,226
1985-10-15,228
1985-10-28,225
1985-11-15,245
1985-11-28,248
1985-12-13,251
1985-12-31,267
1986-01-14,279
1986-01-28,281
1986-02-13,260
1986-02-28,250
1986-03-14,257
1986-03-28,269
1986-04-15,266
1986-04-29,271
1986-05-13,262
1986-05-28,255
1986-06-13,251
1986-06-27,247
1986-07-15,237
1986-07-28,236
1986-08-14,224
1986-08-29,227
1986-09-16,229
1986-09-30,219
1986-10-14,221
1986-10-27,240
1986-11-13,241
1986-11-28,250
1986-12-16,263
1986-12-30,262
1987-01-13,258
1987-01-30,250
1987-02-13,254
1987-02-27,247
1987-03-13,247
1987-03-31,251
1987-04-14,252
1987-04-28,243
1987-05-18,243
1987-05-26,251
1987-06-17,260
1987-06-29,252
1987-07-15,242
1987-07-28,261
1987-08-14,254
1987-08-31,256
1987-09-16,246
1987-09-29,247
1987-10-14,254
1987-10-28,254
1987-11-18,255
1987-12-01,259
1987-12-15,258
1987-12-28,263
