date,head
2006-06-20,16.22
2006-06-21,16.22
2006-06-22,16.2
2006-06-23,16.19
2006-06-24,16.18
2006-06-25,16.16
2006-06-26,16.17
2006-06-27,16.17
2006-06-28,16.16
2006-06-29,16.14
2006-06-30,16.12
2006-07-01,16.09
2006-07-02,16.08
2006-07-03,16.06
2006-07-04,16.04
2006-07-05,16.02
2006-07-06,16.01
2006-07-07,16.0
2006-07-08,15.99
2006-07-09,15.97
2006-07-10,15.95
2006-07-11,15.94
2006-07-12,15.93
2006-07-13,15.91
2006-07-14,15.9
2006-07-15,15.88
2006-07-16,15.86
2006-07-17,15.85
2006-07-18,15.83
2006-07-19,15.81
2006-07-20,15.79
2006-07-21,15.77
2006-07-22,15.76
2006-07-23,15.75
2006-07-24,15.74
2006-07-25,15.72
2006-07-26,15.71
2006-07-27,15.7
2006-07-28,15.69
2006-07-29,15.69
2006-07-30,15.68
2006-07-31,15.68
2006-08-01,15.68
2006-08-02,15.69
2006-08-03,15.69
2006-08-04,15.69
2006-08-05,15.69
2006-08-06,15.69
2006-08-07,15.69
2006-08-08,15.69
2006-08-09,15.69
2006-08-10,15.69
2006-08-11,15.7
2006-08-12,15.7
2006-08-13,15.7
2006-08-14,15.7
2006-08-15,15.7
2006-08-16,15.72
2006-08-17,15.73
2006-08-18,15.75
2006-08-19,15.77
2006-08-20,15.79
2006-08-21,15.81
2006-08-22,15.83
2006-08-23,15.84
2006-08-24,15.85
2006-08-25,15.86
2006-08-26,15.87
2006-08-27,15.88
2006-08-28,15.89
2006-08-29,15.9
2006-08-30,15.9
2006-08-31,15.91
2006-09-01,15.92
2006-09-02,15.93
2006-09-03,15.93
2006-09-04,15.93
2006-09-05,15.94
2006-09-06,15.94
2006-09-07,15.94
2006-09-08,15.93
2006-09-09,15.92
2006-09-10,15.92
2006-09-11,15.9
2006-09-12,15.89
2006-09-13,15.88
2006-09-14,15.86
2006-09-15,15.84
2006-09-16,15.83
2006-09-17,15.81
2006-09-18,15.8
2006-09-19,15.8
2006-09-20,15.79
2006-09-21,15.78
2006-09-22,15.76
2006-09-23,15.75
2006-09-24,15.74
2006-09-25,15.73
2006-09-26,15.72
2006-09-27,15.72
2006-09-28,15.71
2006-09-29,15.7
2006-09-30,15.69
2006-10-01,15.68
2006-10-02,15.68
2006-10-03,15.69
2006-10-04,15.68
2006-10-05,15.69
2006-10-06,15.7
2006-10-07,15.7
2006-10-08,15.7
2006-10-09,15.71
2006-10-10,15.71
2006-10-11,15.72
2006-10-12,15.72
2006-10-13,15.72
2006-10-14,15.72
2006-10-15,15.72
2006-10-16,15.73
2006-10-17,15.73
2006-10-18,15.73
2006-10-19,15.73
2006-10-20,15.72
2006-10-21,15.72
2006-10-22,15.71
2006-10-23,15.71
2006-10-24,15.71
2006-10-25,15.71
2006-10-26,15.71
2006-10-27,15.68
2006-10-28,15.69
2006-10-29,15.69
2006-10-30,15.7
2006-10-31,15.71
2006-11-01,15.69
2006-11-02,15.69
2006-11-03,15.69
2006-11-04,15.69
2006-11-05,15.69
2006-11-06,15.69
2006-11-07,15.7
2006-11-08,15.7
2006-11-09,15.69
2006-11-10,15.7
2006-11-11,15.72
2006-11-12,15.72
2006-11-13,15.73
2006-11-14,15.73
2006-11-15,15.73
2006-11-16,15.74
2006-11-17,15.74
2006-11-18,15.75
2006-11-19,15.76
2006-11-20,15.79
2006-11-21,15.81
2006-11-22,15.82
2006-11-23,15.84
2006-11-24,15.86
2006-11-25,15.88
2006-11-26,15.89
2006-11-27,15.92
2006-11-28,15.94
2006-11-29,15.95
2006-11-30,15.97
2006-12-01,15.98
