Date,Head
1995-01-14,15.74
1995-01-28,15.92
1995-02-15,16.17
1995-03-01,16.26
1995-03-15,16.12
1995-03-28,16.08
1995-04-14,15.96
1995-04-28,15.59
1995-05-16,15.8
1995-05-30,15.79
1995-06-15,15.77
1995-06-29,15.69
1995-07-15,15.4
1995-07-28,14.86
1995-08-15,15.14
1995-08-29,15.04
1995-09-15,15.02
1995-09-29,14.98
1995-10-14,14.99
1995-10-28,14.95
1995-11-15,14.91
1995-11-29,14.87
1995-12-15,14.83
1995-12-29,14.86
1996-01-16,14.88
1996-01-30,14.91
1996-02-15,14.9
1996-02-29,14.96
1996-03-15,14.99
1996-03-30,14.99
1996-04-17,15.02
1996-04-30,14.99
1996-05-15,14.92
1996-05-29,14.91
1996-06-14,14.92
1996-06-29,14.82
1996-07-13,14.75
1996-07-30,14.66
1996-08-15,14.58
1996-08-29,14.6
1996-09-14,14.79
1996-10-01,14.78
1996-10-15,14.77
1996-10-29,14.75
1996-11-15,14.83
1996-11-29,14.88
1996-12-14,15.21
1996-12-25,14.98
1997-01-15,15.17
1997-01-29,15.15
1997-02-14,15.28
1997-03-01,15.42
1997-03-15,15.48
1997-03-29,15.47
1997-04-15,15.4
1997-04-29,15.37
1997-05-15,15.42
1997-05-29,15.45
1997-06-14,15.32
1997-06-28,15.35
1997-07-15,15.36
1997-07-29,15.27
1997-08-15,14.98
1997-08-29,15.09
1997-09-16,15.09
1997-09-30,14.98
1997-10-15,14.97
1997-10-29,14.98
1997-11-15,14.93
1997-11-29,14.94
1997-12-16,14.94
1997-12-30,15.04
1998-01-15,15.26
1998-01-29,15.3
1998-02-17,15.19
1998-02-28,15.14
1998-03-14,15.35
1998-03-28,15.35
1998-04-15,15.4
1998-04-29,15.44
1998-05-15,15.39
1998-05-29,15.27
1998-06-16,15.4
1998-06-30,15.41
1998-07-15,15.28
1998-07-28,15.23
1998-08-13,15.12
1998-08-28,15.06
1998-09-15,15.2
1998-09-26,15.44
1998-10-16,15.44
1998-10-29,15.52
1998-11-13,16.07
1998-11-28,15.93
1998-12-15,15.96
1998-12-29,15.95
