Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,03-11-2020,,,,,,,,
Gegevens beschikbaar:,19-02-1981,tot:,14-02-2018,,,,,,,,
Datum: ,03-11-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B32C0609,001,32CP0086,142637,458333,376,01-01-1980,01-01-1980,14-05-2014,370,-6,-624,-824
B32C0609,001,32CP0086,142637,458333,376,01-01-1980,14-05-2014,14-02-2018,371,-5,-624,-824


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B32C0609,001,19-02-1981,235,241,135,,,,,,
B32C0609,001,04-03-1981,241,247,129,,,,,,
B32C0609,001,19-03-1981,202,208,168,,,,,,
B32C0609,001,01-04-1981,205,211,165,,,,,,
B32C0609,001,16-04-1981,221,227,149,,,,,,
B32C0609,001,04-05-1981,226,232,144,,,,,,
B32C0609,001,15-05-1981,238,244,132,,,,,,
B32C0609,001,03-06-1981,245,251,125,,,,,,
B32C0609,001,19-06-1981,250,256,120,,,,,,
B32C0609,001,03-07-1981,251,257,119,,,,,,
B32C0609,001,17-07-1981,255,261,115,,,,,,
B32C0609,001,30-07-1981,256,262,114,,,,,,
B32C0609,001,19-08-1981,262,268,108,,,,,,
B32C0609,001,02-09-1981,265,271,105,,,,,,
B32C0609,001,17-09-1981,275,281,95,,,,,,
B32C0609,001,01-10-1981,279,285,91,,,,,,
B32C0609,001,19-10-1981,270,276,100,,,,,,
B32C0609,001,05-11-1981,224,230,146,,,,,,
B32C0609,001,19-11-1981,252,258,118,,,,,,
B32C0609,001,03-12-1981,245,251,125,,,,,,
B32C0609,001,31-12-1981,230,236,140,,,,,,
B32C0609,001,19-01-1982,222,228,148,,,,,,
B32C0609,001,02-02-1982,231,237,139,,,,,,
B32C0609,001,18-02-1982,232,238,138,,,,,,
B32C0609,001,04-03-1982,235,241,135,,,,,,
B32C0609,001,18-03-1982,230,236,140,,,,,,
B32C0609,001,01-04-1982,231,237,139,,,,,,
B32C0609,001,16-04-1982,237,243,133,,,,,,
B32C0609,001,03-05-1982,243,249,127,,,,,,
B32C0609,001,13-05-1982,250,256,120,,,,,,
B32C0609,001,27-05-1982,255,261,115,,,,,,
B32C0609,001,18-06-1982,261,267,109,,,,,,
B32C0609,001,01-07-1982,261,267,109,,,,,,
B32C0609,001,19-07-1982,270,276,100,,,,,,
B32C0609,001,02-08-1982,272,278,98,,,,,,
B32C0609,001,19-08-1982,279,285,91,,,,,,
B32C0609,001,31-08-1982,280,286,90,,,,,,
B32C0609,001,16-09-1982,285,291,85,,,,,,
B32C0609,001,30-09-1982,285,291,85,,,,,,
B32C0609,001,19-10-1982,278,284,92,,,,,,
B32C0609,001,02-11-1982,278,284,92,,,,,,
B32C0609,001,18-11-1982,282,288,88,,,,,,
B32C0609,001,02-12-1982,277,283,93,,,,,,
B32C0609,001,16-12-1982,275,281,95,,,,,,
B32C0609,001,30-12-1982,253,259,117,,,,,,
B32C0609,001,20-01-1983,239,245,131,,,,,,
B32C0609,001,03-02-1983,239,245,131,,,,,,
B32C0609,001,17-02-1983,229,235,141,,,,,,
B32C0609,001,03-03-1983,240,246,130,,,,,,
B32C0609,001,17-03-1983,246,252,124,,,,,,
B32C0609,001,31-03-1983,237,243,133,,,,,,
B32C0609,001,19-04-1983,228,234,142,,,,,,
B32C0609,001,03-05-1983,223,229,147,,,,,,
B32C0609,001,19-05-1983,205,211,165,,,,,,
B32C0609,001,02-06-1983,194,200,176,,,,,,
B32C0609,001,16-06-1983,218,224,152,,,,,,
B32C0609,001,30-06-1983,232,238,138,,,,,,
B32C0609,001,19-07-1983,249,255,121,,,,,,
B32C0609,001,04-08-1983,258,264,112,,,,,,
B32C0609,001,18-08-1983,266,272,104,,,,,,
B32C0609,001,01-09-1983,270,276,100,,,,,,
B32C0609,001,19-09-1983,270,276,100,,,,,,
B32C0609,001,05-10-1983,272,278,98,,,,,,
B32C0609,001,19-10-1983,276,282,94,,,,,,
B32C0609,001,03-11-1983,279,285,91,,,,,,
B32C0609,001,17-11-1983,280,286,90,,,,,,
B32C0609,001,19-12-1983,255,261,115,,,,,,
B32C0609,001,02-01-1984,240,246,130,,,,,,
B32C0609,001,19-01-1984,215,221,155,,,,,,
B32C0609,001,01-02-1984,200,206,170,,,,,,
B32C0609,001,16-02-1984,188,194,182,,,,,,
B32C0609,001,01-03-1984,205,211,165,,,,,,
B32C0609,001,15-03-1984,215,221,155,,,,,,
B32C0609,001,02-04-1984,210,216,160,,,,,,
B32C0609,001,19-04-1984,221,227,149,,,,,,
B32C0609,001,02-05-1984,230,236,140,,,,,,
B32C0609,001,15-05-1984,235,241,135,,,,,,
B32C0609,001,30-05-1984,232,238,138,,,,,,
B32C0609,001,19-06-1984,254,260,116,,,,,,
B32C0609,001,02-07-1984,240,246,130,,,,,,
B32C0609,001,19-07-1984,241,247,129,,,,,,
B32C0609,001,02-08-1984,247,253,123,,,,,,
B32C0609,001,16-08-1984,252,258,118,,,,,,
B32C0609,001,31-08-1984,260,266,110,,,,,,
B32C0609,001,19-09-1984,261,267,109,,,,,,
B32C0609,001,03-10-1984,245,251,125,,,,,,
B32C0609,001,18-10-1984,230,236,140,,,,,,
B32C0609,001,29-10-1984,220,226,150,,,,,,
B32C0609,001,15-11-1984,227,233,143,,,,,,
B32C0609,001,28-11-1984,205,211,165,,,,,,
B32C0609,001,19-12-1984,204,210,166,,,,,,
B32C0609,001,04-01-1985,203,209,167,,,,,,
B32C0609,001,15-01-1985,204,210,166,,,,,,
B32C0609,001,29-01-1985,207,213,163,,,,,,
B32C0609,001,15-02-1985,210,216,160,,,,,,
B32C0609,001,01-03-1985,198,204,172,,,,,,
B32C0609,001,15-03-1985,208,214,162,,,,,,
B32C0609,001,29-03-1985,203,209,167,,,,,,
B32C0609,001,15-04-1985,197,203,173,,,,,,
B32C0609,001,02-05-1985,211,217,159,,,,,,
B32C0609,001,14-05-1985,222,228,148,,,,,,
B32C0609,001,29-05-1985,232,238,138,,,,,,
B32C0609,001,19-06-1985,230,236,140,,,,,,
B32C0609,001,02-07-1985,225,231,145,,,,,,
B32C0609,001,18-07-1985,233,239,137,,,,,,
B32C0609,001,01-08-1985,248,254,122,,,,,,
B32C0609,001,15-08-1985,238,244,132,,,,,,
B32C0609,001,30-08-1985,235,241,135,,,,,,
B32C0609,001,17-09-1985,245,251,125,,,,,,
B32C0609,001,30-09-1985,254,260,116,,,,,,
B32C0609,001,16-10-1985,265,271,105,,,,,,
B32C0609,001,29-10-1985,271,277,99,,,,,,
B32C0609,001,15-11-1985,268,274,102,,,,,,
B32C0609,001,28-11-1985,268,274,102,,,,,,
B32C0609,001,18-12-1985,260,266,110,,,,,,
B32C0609,001,13-01-1986,232,238,138,,,,,,
B32C0609,001,28-01-1986,208,214,162,,,,,,
B32C0609,001,14-02-1986,225,231,145,,,,,,
B32C0609,001,05-03-1986,240,246,130,,,,,,
B32C0609,001,19-03-1986,249,255,121,,,,,,
B32C0609,001,04-04-1986,238,244,132,,,,,,
B32C0609,001,17-04-1986,242,248,128,,,,,,
B32C0609,001,02-05-1986,252,258,118,,,,,,
B32C0609,001,20-05-1986,250,256,120,,,,,,
B32C0609,001,27-05-1986,255,261,115,,,,,,
B32C0609,001,19-06-1986,262,268,108,,,,,,
B32C0609,001,02-07-1986,270,276,100,,,,,,
B32C0609,001,17-07-1986,278,284,92,,,,,,
B32C0609,001,30-07-1986,280,286,90,,,,,,
B32C0609,001,14-08-1986,287,293,83,,,,,,
B32C0609,001,28-08-1986,290,296,80,,,,,,
B32C0609,001,15-09-1986,283,289,87,,,,,,
B32C0609,001,01-10-1986,290,296,80,,,,,,
B32C0609,001,17-10-1986,298,304,72,,,,,,
B32C0609,001,30-10-1986,281,287,89,,,,,,
B32C0609,001,17-11-1986,270,276,100,,,,,,
B32C0609,001,01-12-1986,258,264,112,,,,,,
B32C0609,001,16-12-1986,260,266,110,,,,,,
