,PB05_1
1985-11-14,12.61
1985-11-28,12.73
1985-12-14,12.91
1985-12-28,13.13
1986-01-13,13.32
1986-01-28,13.55
1986-02-14,13.31
1986-03-01,13.07
1986-03-14,13.12
1986-03-28,13.47
1986-04-14,13.56
1986-04-28,13.62
1986-05-14,13.46
1986-05-29,13.17
1986-07-14,12.65
1986-07-29,12.52
1986-08-14,12.27
1986-08-28,12.31
1986-09-15,12.36
1986-09-29,12.38
1986-10-13,12.33
1986-10-29,12.61
1986-11-14,12.72
1986-11-27,12.77
1986-12-14,12.85
1986-12-28,13.16
1987-01-14,13.27
1987-01-28,13.31
1987-02-14,13.36
1987-02-28,13.39
1987-03-14,13.45
1987-03-28,13.72
1987-04-13,13.51
1987-04-27,13.29
1987-05-14,13.21
1987-05-28,13.15
1987-06-14,13.25
1987-06-28,13.33
1987-07-14,12.96
1987-07-28,12.98
1987-08-14,12.89
1987-08-28,12.88
1987-09-14,12.73
1987-09-28,12.69
1987-10-14,12.86
1987-10-28,12.89
1987-11-14,12.92
1987-11-28,13.26
1987-12-28,13.22
1988-01-14,13.31
1988-01-28,13.58
1988-02-13,13.68
1988-02-27,13.57
1988-03-14,13.83
1988-03-28,13.96
1988-04-14,13.56
1988-04-28,13.37
1988-05-14,13.16
1988-05-28,13.03
1988-06-14,13.05
1988-06-28,12.84
1988-07-14,12.76
1988-07-27,13.11
1988-08-14,12.76
1988-08-30,12.65
1988-09-14,12.63
1988-09-28,12.66
1988-10-13,12.82
1988-10-27,12.90
1988-11-14,12.81
1988-11-28,12.89
1988-12-13,13.15
1989-01-14,13.49
1989-01-28,13.21
1989-02-14,13.21
1989-02-28,13.27
1989-03-14,13.46
1989-03-28,13.48
1989-04-14,13.36
1989-04-28,13.57
1989-05-14,13.21
1989-05-28,12.83
1989-06-14,12.73
1989-06-28,12.46
1989-07-14,12.35
1989-07-28,12.21
1989-08-14,12.13
1989-08-28,12.05
1989-09-13,12.14
1989-09-27,12.20
1989-10-14,12.29
1989-10-28,12.36
1989-11-14,12.46
1989-11-28,12.43
1989-12-14,12.52
1990-01-14,12.76
1990-01-28,13.00
1990-02-14,13.14
1990-03-13,13.31
1990-03-27,13.20
1990-04-14,13.04
1990-05-14,12.84
1990-05-28,12.62
1990-06-14,12.63
1990-06-28,12.48
1990-07-14,12.45
1990-07-28,12.21
1990-08-13,11.98
1990-08-28,11.92
1990-09-14,12.16
1990-09-28,12.14
1990-10-14,12.13
1990-11-14,12.33
1990-11-28,12.51
1990-12-14,12.63
1991-01-14,13.24
1991-01-28,13.18
1991-02-14,12.96
1991-02-28,13.12
1991-03-14,13.10
1991-04-14,12.89
1991-04-27,12.89
1991-05-28,12.69
1991-06-14,12.54
1991-06-28,12.56
1991-07-28,12.26
1991-08-14,12.04
1991-08-28,11.90
1991-09-13,11.79
1991-09-29,11.95
1991-10-14,11.96
1991-10-28,12.00
1991-11-14,12.39
1991-11-28,12.56
1991-12-14,12.59
1991-12-28,12.95
1992-01-14,13.01
1992-01-28,12.94
1992-02-15,13.06
1992-02-29,13.03
1992-03-14,13.04
1992-03-27,13.10
1992-04-13,13.02
1992-04-28,13.07
1992-05-13,13.01
1992-05-28,12.71
1992-06-14,12.86
1992-06-28,12.61
1992-07-13,12.36
1992-07-27,12.21
1992-08-14,12.16
1992-08-27,12.21
1992-09-13,12.54
1992-09-27,12.42
1992-10-15,12.41
1992-10-28,12.53
1992-11-13,12.62
1992-11-27,12.89
1992-12-14,13.16
1992-12-29,13.18
1993-01-14,13.41
1993-01-28,13.52
1993-02-15,13.32
1993-02-27,13.38
1993-03-14,13.26
1993-04-14,13.08
1993-04-27,12.99
1993-05-14,13.01
1993-05-29,12.84
1993-06-14,12.59
1993-06-28,12.45
1993-07-13,12.23
1993-07-28,12.49
1993-08-14,12.41
1993-08-28,12.26
1993-09-14,12.36
1993-09-27,12.83
1993-10-13,12.96
1993-10-28,13.02
1993-11-15,13.01
1993-11-29,12.99
1993-12-13,13.24
1993-12-29,13.59
1994-01-13,13.70
1994-01-27,13.80
1994-02-15,13.50
1994-02-28,13.46
1994-03-14,13.47
1994-03-28,13.59
1994-04-14,13.66
1994-04-29,13.37
1994-05-13,13.23
1994-05-28,13.17
1994-06-15,13.16
1994-06-28,12.81
1994-07-14,12.58
1994-07-27,12.33
1994-08-15,12.19
1994-08-27,12.31
1994-09-15,12.39
1994-09-29,12.67
1994-10-14,12.73
1994-10-28,12.64
1994-11-14,12.87
1994-11-28,12.92
1994-12-13,13.04
1994-12-29,13.22
1995-01-13,13.31
1995-01-27,13.56
1995-02-14,13.70
1995-02-28,13.80
1995-03-13,13.60
1995-03-28,13.65
1995-04-13,13.51
1995-04-27,13.45
1995-05-15,13.04
1995-05-29,13.12
1995-06-28,12.91
1995-07-14,12.57
1995-07-29,12.29
1995-09-13,12.12
1995-09-27,12.20
1995-10-13,12.33
1995-10-27,12.31
1995-11-14,12.35
1995-11-27,12.40
1995-12-14,12.40
1995-12-28,12.59
1996-01-15,12.60
1996-01-29,12.59
1996-02-14,12.51
1996-02-29,12.71
1996-03-14,12.75
1996-03-28,12.74
1996-04-13,12.65
1996-04-28,12.55
1996-05-14,12.48
1996-06-15,12.04
1996-07-27,11.71
1996-08-14,11.87
1996-08-29,12.14
1996-09-13,12.50
1996-09-27,12.39
1996-10-14,12.51
1996-10-28,12.52
1996-11-15,12.75
1996-11-28,12.89
1996-12-14,13.07
1996-12-28,13.05
1997-01-14,12.82
1997-02-14,13.21
1997-02-28,13.34
1997-03-13,13.20
1997-03-27,13.19
1997-04-14,13.06
1997-05-14,13.14
1997-05-28,13.09
1997-06-13,12.81
1997-06-27,12.76
1997-07-29,12.71
1997-08-14,12.37
1997-08-27,12.26
1997-09-15,12.31
1997-09-29,12.21
1997-10-14,12.38
1997-10-29,12.44
1997-11-13,12.46
1997-11-27,12.40
1997-12-14,12.59
1998-01-14,13.02
1998-01-28,13.01
1998-02-14,12.99
1998-02-28,12.98
1998-03-14,13.28
1998-03-28,13.19
1998-04-14,13.33
1998-04-28,13.34
1998-05-14,13.01
1998-05-28,12.93
1998-06-15,13.35
1998-06-29,13.19
1998-07-15,13.10
1998-07-28,12.91
1998-08-13,12.62
1998-08-28,12.61
1998-09-14,13.12
1998-09-28,13.14
1998-10-14,13.25
1998-10-29,13.48
1998-11-15,13.70
1998-11-29,13.66
1998-12-14,13.74
1998-12-29,13.71
1999-01-14,13.78
1999-01-29,13.76
1999-02-15,13.87
1999-02-28,13.89
1999-03-15,13.64
1999-03-27,13.69
1999-04-15,13.58
1999-04-28,13.36
1999-05-14,13.36
1999-05-28,12.91
1999-06-14,12.81
1999-06-28,12.63
1999-07-14,12.63
1999-07-28,12.30
1999-09-14,12.25
1999-09-29,12.30
1999-10-14,12.36
1999-10-27,12.30
1999-11-28,12.47
1999-12-14,12.73
1999-12-28,13.04
2000-01-14,13.07
2000-01-28,13.11
2000-02-14,13.24
2000-02-28,13.39
2000-03-14,13.47
2000-03-28,13.37
2000-04-14,13.24
2000-04-28,13.15
2000-05-14,12.97
2000-05-28,12.96
2000-06-14,12.83
2000-07-14,12.77
2000-07-28,12.83
2000-08-14,12.57
2000-08-28,12.49
2000-09-14,12.52
2000-09-28,12.55
2000-10-14,12.67
2000-10-28,12.80
2000-11-14,12.92
2000-11-28,13.09
2000-12-14,13.20
2000-12-28,13.07
2001-01-28,13.35
2001-02-14,13.46
2001-02-28,13.51
2001-03-14,13.50
2001-04-14,13.50
2001-04-28,13.62
2001-05-14,13.31
2001-05-28,13.08
2001-06-14,12.87
2001-07-14,12.39
2001-07-28,12.29
2001-08-14,12.32
2001-08-28,12.12
2001-09-14,12.90
2001-09-28,12.70
2001-10-14,12.76
2001-10-28,12.79
2001-11-14,12.87
2001-11-28,13.01
2001-12-14,13.09
2002-01-14,13.21
2002-01-28,13.47
2002-03-14,13.65
2002-03-28,13.53
2002-04-14,13.29
2002-04-28,13.37
2002-05-14,13.27
2002-06-14,12.98
2002-07-14,12.93
2002-07-28,12.82
2002-08-28,13.08
2002-11-15,13.24
2003-01-15,13.54
2003-01-27,13.47
2003-02-14,13.43
2003-02-28,13.34
2003-03-14,13.54
2003-03-28,13.37
2003-04-14,13.25
2003-04-28,13.17
2003-05-15,13.04
2003-05-28,13.18
2003-06-16,12.89
2003-07-15,12.46
2003-08-29,12.10
2003-09-15,12.21
2004-01-30,13.17
2004-02-13,13.34
2004-02-27,13.31
2004-03-26,13.19
2004-04-14,13.21
2004-04-28,13.10
2004-05-14,13.00
2004-05-28,12.79
2004-06-14,12.78
2004-06-28,12.49
2004-08-14,12.55
2004-08-28,12.56
2004-09-14,12.35
2004-09-28,12.45
2004-10-14,12.47
2004-10-28,12.47
2004-11-14,12.51
2004-11-28,12.89
2004-12-14,12.94
2004-12-28,13.04
2005-01-14,13.04
2005-01-28,13.19
2005-02-14,13.40
2005-02-28,13.29
2005-03-14,13.34
2005-03-28,13.27
2005-04-14,13.20
2005-04-28,13.24
2005-05-14,13.24
2005-05-28,13.04
2005-07-14,12.60
2005-07-28,12.39
2005-08-14,12.36
2005-08-28,12.41
2005-09-14,12.41
2005-09-28,12.43
2005-10-14,12.33
2005-10-28,12.47
2005-11-14,12.50
2005-11-28,12.74
2005-12-14,12.80
2005-12-28,12.86
2006-01-14,12.93
2006-01-28,12.89
2006-02-14,13.00
2006-02-28,13.13
2006-03-14,13.32
2006-03-28,13.25
2006-04-14,13.24
2006-04-28,13.17
2006-05-14,12.91
2006-05-28,13.05
2006-06-14,12.79
2006-06-28,12.64
2006-07-14,12.26
2006-07-28,11.86
2006-08-14,12.29
2006-08-28,12.52
2006-09-14,12.52
2006-09-28,12.41
2006-10-14,12.53
2006-10-28,12.47
2006-11-14,12.61
2006-11-28,12.79
2006-12-14,12.95
2006-12-28,12.96
2007-01-14,13.21
2007-01-28,13.25
2007-03-14,13.53
2007-03-28,13.38
2007-04-14,13.20
2007-04-28,12.94
2007-05-14,12.93
2007-05-28,12.94
2007-06-14,12.83
2007-06-28,12.81
2007-07-14,12.77
2007-07-28,12.64
2007-08-14,12.89
2007-08-28,12.87
2007-09-14,12.72
2007-09-28,12.75
2007-10-14,12.78
2007-10-28,12.69
2007-11-14,13.07
2007-11-28,13.05
2007-12-14,13.27
2007-12-28,13.20
2008-01-14,13.28
2008-01-28,13.32
2008-02-14,13.36
2008-02-28,13.28
2008-03-14,13.30
2008-03-28,13.45
2008-04-14,13.49
2008-04-28,13.44
2008-05-28,13.00
2008-06-14,13.00
2008-06-28,12.87
2008-07-14,12.82
2008-07-28,12.69
2008-08-14,12.66
2008-08-28,12.58
2008-09-14,12.49
2008-09-28,12.43
2008-10-14,12.60
2008-10-28,12.67
2008-11-14,12.74
2008-11-28,12.87
2008-12-14,12.93
2008-12-28,12.95
2009-01-14,12.97
2009-01-28,13.04
2009-02-14,13.20
2009-02-28,13.21
2009-03-14,13.28
2009-03-28,13.33
2009-04-14,13.19
2009-04-28,13.08
2009-05-14,12.89
2009-05-28,12.65
2009-06-14,12.71
2009-06-28,12.37
2009-07-14,12.29
