,Head
2000-01-27,8.5700
2000-03-27,9.1400
2000-04-27,8.5000
2000-05-26,8.4700
2000-06-27,8.4400
2000-07-14,8.4400
2000-08-28,8.4400
2000-09-29,8.4200
2000-10-13,8.4000
2000-10-27,8.3800
2000-11-13,8.5000
2000-11-27,8.8500
2000-12-14,8.6800
2001-01-12,9.7700
2001-01-26,9.0200
2001-02-14,9.5300
2001-02-27,8.7300
2001-03-14,9.6300
2001-04-18,9.9900
2001-05-01,9.8500
2001-05-14,9.0900
2001-05-28,8.7600
2001-06-14,8.7500
2001-06-27,8.9100
2001-07-13,8.4100
2001-07-30,8.5100
2001-08-14,8.4700
2001-08-27,8.3900
2001-09-13,8.4500
2001-09-29,8.8900
2001-10-17,8.3900
2001-10-25,8.3900
2001-11-14,8.7900
2001-11-28,8.4900
2001-12-13,8.9400
2001-12-27,8.6400
2002-01-14,8.5800
2002-01-28,9.7800
2002-02-14,9.8800
2002-02-26,10.7800
2002-03-13,9.2700
2002-03-28,10.3300
2002-04-12,8.5920
2002-04-13,8.5917
2002-04-14,8.5853
2002-04-15,8.5536
2002-04-16,8.5595
2002-04-17,8.5619
2002-04-18,8.5641
2002-04-19,8.5760
2002-04-20,8.5984
2002-04-21,8.5678
2002-04-22,8.5284
2002-04-23,8.5260
2002-04-24,8.5107
2002-04-25,8.5143
2002-04-26,8.5425
2002-04-27,8.5640
2002-04-28,8.5761
2002-04-29,8.5448
2002-04-30,8.5744
2002-05-01,8.5719
2002-05-02,8.5542
2002-05-03,8.5211
2002-05-04,8.5149
2002-05-05,8.5196
2002-05-06,8.6386
2002-05-07,9.0016
2002-05-08,9.3969
2002-05-09,9.6046
2002-05-10,9.5804
2002-05-11,9.4576
2002-05-12,9.3129
2002-05-13,9.1761
2002-05-14,9.1336
2002-05-15,9.1192
2002-05-16,9.0953
2002-05-17,9.0449
2002-05-18,8.9808
2002-05-19,8.8665
2002-05-20,8.7897
2002-05-21,8.7465
2002-05-22,8.7191
2002-05-23,8.6989
2002-05-24,8.6684
2002-05-25,8.6704
2002-05-26,8.6619
2002-05-27,8.6285
2002-05-28,8.6296
2002-05-29,8.6103
2002-05-30,8.5924
2002-05-31,8.5906
2002-06-01,8.6423
2002-06-02,8.6511
2002-06-03,8.5911
2002-06-04,8.5396
2002-06-05,8.5179
2002-06-06,8.4923
2002-06-07,8.4844
2002-06-08,8.4975
2002-06-09,8.5119
2002-06-10,8.5168
2002-06-11,8.5649
2002-06-12,8.6598
2002-06-13,8.6849
2002-06-14,8.7061
2002-06-15,8.7524
2002-06-16,8.7529
2002-06-17,8.6713
2002-06-18,8.6144
2002-06-19,8.5655
2002-06-20,8.5316
2002-06-21,8.5166
2002-06-22,8.5134
2002-06-23,8.4893
2002-06-24,8.4448
2002-06-25,8.4350
2002-06-26,8.4155
2002-06-27,8.4062
2002-06-28,8.4085
2002-06-29,8.4280
2002-06-30,8.4115
2002-07-01,8.3881
2002-07-02,8.3879
2002-07-03,8.3980
2002-07-04,8.3849
2002-07-05,8.3901
2002-07-06,8.4185
2002-07-07,8.4506
2002-07-08,8.4310
2002-07-09,8.4160
2002-07-10,8.4177
2002-07-11,8.4317
2002-07-12,8.4020
2002-07-13,8.4006
2002-07-14,8.4231
2002-07-15,8.4012
2002-07-16,8.4170
2002-07-17,8.4010
2002-07-18,8.3902
2002-07-19,8.3742
2002-07-20,8.4416
2002-07-21,8.6065
2002-07-22,8.6845
2002-07-23,8.6890
2002-07-24,8.6321
2002-07-25,8.5739
2002-07-26,8.5299
2002-07-27,8.5016
2002-07-28,8.4604
2002-07-29,8.4157
2002-07-30,8.3846
2002-07-31,8.3850
2002-08-01,8.3900
2002-08-02,8.3978
2002-08-03,8.3911
2002-08-04,8.4199
2002-08-05,8.4020
2002-08-06,8.3844
2002-08-07,8.4014
2002-08-08,8.4041
2002-08-09,8.4072
2002-08-10,8.4199
2002-08-11,8.4160
2002-08-12,8.3551
2002-08-13,8.3302
2002-08-14,8.3496
2002-08-15,8.4467
2002-08-16,8.5549
2002-08-17,8.6505
2002-08-18,8.6741
2002-08-19,8.6054
2002-08-20,8.5634
2002-08-21,8.5630
2002-08-22,8.5898
2002-08-23,8.5665
2002-08-24,8.5621
2002-08-25,8.5653
2002-08-26,8.5013
2002-08-27,8.4298
2002-08-28,8.3589
2002-08-29,8.3571
2002-08-30,8.3606
2002-08-31,8.3764
2002-09-01,8.3432
2002-09-02,8.3085
2002-09-03,8.3574
2002-09-04,8.3682
2002-09-05,8.3636
2002-09-06,8.3526
2002-09-07,8.3688
2002-09-08,8.3886
2002-09-09,8.3631
2002-09-10,8.3429
2002-09-11,8.3545
2002-09-12,8.3276
2002-09-13,8.3254
2002-09-14,8.3716
2002-09-15,8.3758
2002-09-16,8.3438
2002-09-17,8.3561
2002-09-18,8.3664
2002-09-19,8.3567
2002-09-20,8.3108
2002-09-21,8.2990
2002-09-22,8.2662
2002-09-23,8.2001
2002-09-24,8.2100
2002-09-25,8.2631
2002-09-26,8.3085
2002-09-27,8.3277
2002-09-28,8.3776
2002-09-29,8.4972
2002-09-30,8.5390
2002-10-01,8.5035
2002-10-02,8.4549
2002-10-03,8.3622
2002-10-04,8.2934
2002-10-05,8.3196
2002-10-06,8.3413
2002-10-07,8.3149
2002-10-08,8.3069
2002-10-09,8.3051
2002-10-10,8.2978
2002-10-11,8.3134
2002-10-12,8.3206
2002-10-13,8.3009
2002-10-14,8.3187
2002-10-15,8.3274
2002-10-16,8.3586
2002-10-17,8.3524
2002-10-18,8.3534
2002-10-19,8.3570
2002-10-20,8.3567
2002-10-21,8.4403
2002-10-22,8.5776
2002-10-23,8.6419
2002-10-24,8.6634
2002-10-25,8.7276
2002-10-26,8.8176
2002-10-27,8.9069
2002-10-28,8.9970
2002-10-29,9.1920
2002-10-30,9.3758
2002-10-31,9.3914
2002-11-01,9.2591
2002-11-02,9.1379
2002-11-03,9.0550
2002-11-04,9.0091
2002-11-05,9.1174
2002-11-06,9.3849
2002-11-07,9.6454
2002-11-08,9.8635
2002-11-09,10.0124
2002-11-10,10.0917
2002-11-11,10.1650
2002-11-12,10.2805
2002-11-13,10.4240
2002-11-14,10.6076
2002-11-15,10.6949
2002-11-16,10.7108
2002-11-17,10.6420
2002-11-18,10.5777
2002-11-19,10.5892
2002-11-20,10.6144
2002-11-21,10.5804
2002-11-22,10.4489
2002-11-23,10.3387
2002-11-24,10.2419
2002-11-25,10.1236
2002-11-26,10.0275
2002-11-27,9.9280
2002-11-28,9.8417
2002-11-29,9.7465
2002-11-30,9.6579
2002-12-01,9.6032
2002-12-02,9.5614
2002-12-03,9.5418
2002-12-04,9.5533
2002-12-05,9.5702
2002-12-06,9.5589
2002-12-07,9.5271
2002-12-08,9.4361
2002-12-09,9.3124
2002-12-10,9.2129
2002-12-11,9.0958
2002-12-12,8.9866
2002-12-13,8.8735
2002-12-14,8.8120
2002-12-15,8.7846
2002-12-16,8.7408
2002-12-17,8.6989
2002-12-18,8.6664
2002-12-19,8.6687
2002-12-20,8.7040
2002-12-21,8.7866
2002-12-22,8.8703
2002-12-23,8.9221
2002-12-24,9.0895
2002-12-25,9.4437
2002-12-26,9.7520
2002-12-27,9.8974
2002-12-28,9.9009
2002-12-29,9.8784
2002-12-30,9.9025
2002-12-31,9.9558
2003-01-01,10.2709
2003-01-02,10.6185
2003-01-03,10.7416
2003-01-04,10.9062
2003-01-05,11.1105
2003-01-06,11.1975
2003-01-07,11.2027
