DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
967,19510101,   13,     ,
967,19510102,   25,     ,
967,19510103,   34,     ,
967,19510104,    2,     ,
967,19510105,    6,     ,
967,19510106,   29,     ,
967,19510107,    9,     ,
967,19510108,    0,     ,
967,19510109,   82,     ,
967,19510110,   28,     ,
967,19510111,    0,     ,
967,19510112,  126,     ,
967,19510113,    0,     ,
967,19510114,   34,     ,
967,19510115,   76,     ,
967,19510116,   25,     ,
967,19510117,   44,     ,
967,19510118,  110,     ,
967,19510119,   30,     ,
967,19510120,   52,     ,
967,19510121,  101,     ,
967,19510122,   44,     ,
967,19510123,   26,     ,
967,19510124,    0,     ,
967,19510125,    0,     ,
967,19510126,    1,     ,
967,19510127,    0,     ,
967,19510128,    6,     ,
967,19510129,    0,     ,
967,19510130,    0,     ,
967,19510131,    0,     ,
967,19510201,    0,     ,
967,19510202,    0,     ,
967,19510203,    1,     ,
967,19510204,   23,     ,
967,19510205,   22,     ,
967,19510206,    0,     ,
967,19510207,   14,     ,
967,19510208,    3,     ,
967,19510209,    5,     ,
967,19510210,    0,     ,
967,19510211,    1,     ,
967,19510212,   20,     ,
967,19510213,    0,     ,
967,19510214,    5,     ,
967,19510215,    7,     ,
967,19510216,    1,     ,
967,19510217,    7,     ,
967,19510218,  100,     ,
967,19510219,    0,     ,
967,19510220,   22,     ,
967,19510221,   39,     ,
967,19510222,    2,     ,
967,19510223,   45,     ,
967,19510224,   20,     ,
967,19510225,   23,     ,
967,19510226,    7,     ,
967,19510227,    4,     ,
967,19510228,    3,     ,
967,19510301,    0,     ,
967,19510302,   21,     ,
967,19510303,    0,     ,
967,19510304,    0,     ,
967,19510305,    1,     ,
967,19510306,    1,     ,
967,19510307,    1,     ,
967,19510308,    0,     ,
967,19510309,    0,     ,
967,19510310,    7,     ,
967,19510311,    5,     ,
967,19510312,   49,     ,
967,19510313,    8,     ,
967,19510314,   28,     ,
967,19510315,   50,     ,
967,19510316,    0,     ,
967,19510317,   95,     ,
967,19510318,   87,     ,
967,19510319,   20,     ,
967,19510320,  136,     ,
967,19510321,   82,     ,
967,19510322,    0,     ,
967,19510323,   37,     ,
967,19510324,   24,     ,
967,19510325,   75,     ,
967,19510326,   25,     ,
967,19510327,   65,     ,
967,19510328,   28,     ,
967,19510329,    6,     ,
967,19510330,    0,     ,
967,19510331,    4,     ,
967,19510401,    4,     ,
967,19510402,   36,     ,
967,19510403,    5,     ,
967,19510404,    0,     ,
967,19510405,   25,     ,
967,19510406,    0,     ,
967,19510407,    0,     ,
967,19510408,   38,     ,
967,19510409,   27,     ,
967,19510410,  139,     ,
967,19510411,   43,     ,
967,19510412,    5,     ,
967,19510413,    0,     ,
967,19510414,   28,     ,
967,19510415,   27,     ,
967,19510416,    0,     ,
967,19510417,   11,     ,
967,19510418,    1,     ,
967,19510419,    0,     ,
967,19510420,    0,     ,
967,19510421,    0,     ,
967,19510422,    0,     ,
967,19510423,    0,     ,
967,19510424,    0,     ,
967,19510425,    0,     ,
967,19510426,    0,     ,
967,19510427,    0,     ,
967,19510428,  186,     ,
967,19510429,  144,     ,
967,19510430,    6,     ,
967,19510501,    0,     ,
967,19510502,    0,     ,
967,19510503,    0,     ,
967,19510504,    0,     ,
967,19510505,    0,     ,
967,19510506,    0,     ,
967,19510507,   29,     ,
967,19510508,  160,     ,
967,19510509,   20,     ,
967,19510510,    0,     ,
967,19510511,    0,     ,
967,19510512,    0,     ,
967,19510513,    0,     ,
967,19510514,    2,     ,
967,19510515,    6,     ,
967,19510516,    8,     ,
967,19510517,    3,     ,
967,19510518,    0,     ,
967,19510519,   41,     ,
967,19510520,    0,     ,
967,19510521,   64,     ,
967,19510522,    7,     ,
967,19510523,   20,     ,
967,19510524,    0,     ,
967,19510525,  165,     ,
967,19510526,   63,     ,
967,19510527,   65,     ,
967,19510528,  150,     ,
967,19510529,   43,     ,
967,19510530,    0,     ,
967,19510531,    0,     ,
967,19510601,    0,     ,
967,19510602,    0,     ,
967,19510603,   49,     ,
967,19510604,    0,     ,
967,19510605,    0,     ,
967,19510606,    0,     ,
967,19510607,    0,     ,
967,19510608,    0,     ,
967,19510609,    0,     ,
967,19510610,   50,     ,
967,19510611,   31,     ,
967,19510612,    0,     ,
967,19510613,   21,     ,
967,19510614,    0,     ,
967,19510615,    0,     ,
967,19510616,    0,     ,
967,19510617,    0,     ,
967,19510618,    0,     ,
967,19510619,    0,     ,
967,19510620,    7,     ,
967,19510621,    0,     ,
967,19510622,    3,     ,
967,19510623,   92,     ,
967,19510624,    4,     ,
967,19510625,    3,     ,
967,19510626,   40,     ,
967,19510627,  100,     ,
967,19510628,   20,     ,
967,19510629,    2,     ,
967,19510630,    0,     ,
967,19510701,    0,     ,
967,19510702,    0,     ,
967,19510703,    0,     ,
967,19510704,    0,     ,
967,19510705,   97,     ,
967,19510706,    0,     ,
967,19510707,    0,     ,
967,19510708,    0,     ,
967,19510709,   95,     ,
967,19510710,    0,     ,
967,19510711,    0,     ,
967,19510712,   96,     ,
967,19510713,    0,     ,
967,19510714,    0,     ,
967,19510715,  207,     ,
967,19510716,    0,     ,
967,19510717,    0,     ,
967,19510718,    0,     ,
967,19510719,    3,     ,
967,19510720,    0,     ,
967,19510721,    0,     ,
967,19510722,    0,     ,
967,19510723,  110,     ,
967,19510724,  175,     ,
967,19510725,  132,     ,
967,19510726,   17,     ,
967,19510727,    0,     ,
967,19510728,    0,     ,
967,19510729,    0,     ,
967,19510730,    5,     ,
967,19510731,    0,     ,
967,19510801,   44,     ,
967,19510802,  115,     ,
967,19510803,    0,     ,
967,19510804,   55,     ,
967,19510805,   32,     ,
967,19510806,    0,     ,
967,19510807,   56,     ,
967,19510808,   18,     ,
967,19510809,   71,     ,
967,19510810,   26,     ,
967,19510811,    6,     ,
967,19510812,    7,     ,
967,19510813,    7,     ,
967,19510814,    2,     ,
