DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
905,19190711,  105,     ,
905,19190712,    0,     ,
905,19190713,   34,     ,
905,19190714,   56,     ,
905,19190715,   64,     ,
905,19190716,    0,     ,
905,19190717,    0,     ,
905,19190718,    0,     ,
905,19190719,    0,     ,
905,19190720,  128,     ,
905,19190721,   84,     ,
905,19190722,    5,     ,
905,19190723,  136,     ,
905,19190724,   31,     ,
905,19190725,   48,     ,
905,19190726,    7,     ,
905,19190727,    0,     ,
905,19190728,   19,     ,
905,19190729,   55,     ,
905,19190730,    7,     ,
905,19190731,    0,     ,
905,19190801,    0,     ,
905,19190802,    4,     ,
905,19190803,  116,     ,
905,19190804,    0,     ,
905,19190805,    0,     ,
905,19190806,    0,     ,
905,19190807,    0,     ,
905,19190808,    0,     ,
905,19190809,    0,     ,
905,19190810,    0,     ,
905,19190811,    0,     ,
905,19190812,    0,     ,
905,19190813,    0,     ,
905,19190814,    0,     ,
905,19190815,    0,     ,
905,19190816,    0,     ,
905,19190817,    1,     ,
905,19190818,    0,     ,
905,19190819,    0,     ,
905,19190820,    0,     ,
905,19190821,   64,     ,
905,19190822,    0,     ,
905,19190823,    0,     ,
905,19190824,   72,     ,
905,19190825,    9,     ,
905,19190826,   25,     ,
905,19190827,   35,     ,
905,19190828,    6,     ,
905,19190829,   14,     ,
905,19190830,   10,     ,
905,19190831,    0,     ,
905,19190901,    0,     ,
905,19190902,    0,     ,
905,19190903,    0,     ,
905,19190904,    0,     ,
905,19190905,    0,     ,
905,19190906,    0,     ,
905,19190907,    0,     ,
905,19190908,    0,     ,
905,19190909,    0,     ,
905,19190910,    0,     ,
905,19190911,    0,     ,
905,19190912,    0,     ,
905,19190913,    0,     ,
905,19190914,   34,     ,
905,19190915,   45,     ,
905,19190916,    0,     ,
905,19190917,    0,     ,
905,19190918,    0,     ,
905,19190919,   25,     ,
905,19190920,  135,     ,
905,19190921,    0,     ,
905,19190922,    0,     ,
905,19190923,    0,     ,
905,19190924,   50,     ,
905,19190925,    0,     ,
905,19190926,   45,     ,
905,19190927,    0,     ,
905,19190928,    0,     ,
905,19190929,  150,     ,
905,19190930,    0,     ,
905,19191001,    0,     ,
905,19191002,    0,     ,
905,19191003,   45,     ,
905,19191004,    0,     ,
905,19191005,    0,     ,
905,19191006,    0,     ,
905,19191007,    3,     ,
905,19191008,    0,     ,
905,19191009,    3,     ,
905,19191010,    7,     ,
905,19191011,   35,     ,
905,19191012,    0,     ,
905,19191013,    0,     ,
905,19191014,    0,     ,
905,19191015,   21,     ,
905,19191016,   24,     ,
905,19191017,   13,     ,
905,19191018,    0,     ,
905,19191019,    0,     ,
905,19191020,    0,     ,
905,19191021,    0,     ,
905,19191022,    0,     ,
905,19191023,    0,     ,
905,19191024,    0,     ,
905,19191025,    0,     ,
905,19191026,    0,     ,
905,19191027,   55,     ,
905,19191028,   17,     ,
905,19191029,   11,     ,
905,19191030,    0,     ,
905,19191031,   20,     ,
905,19191101,    0,     ,
905,19191102,    0,     ,
905,19191103,   30,     ,
905,19191104,    0,     ,
905,19191105,    0,     ,
905,19191106,    0,     ,
905,19191107,  132,     ,
905,19191108,    0,     ,
905,19191109,   81,     ,
905,19191110,   18,     ,
905,19191111,   25,     ,
905,19191112,    2,     ,
905,19191113,    2,     ,
905,19191114,    0,     ,
905,19191115,    0,     ,
905,19191116,   25,     ,
905,19191117,    0,     ,
905,19191118,   80,     ,
905,19191119,    2,     ,
905,19191120,   51,     ,
905,19191121,   75,     ,
905,19191122,   20,     ,
905,19191123,   12,     ,
905,19191124,    4,     ,
905,19191125,    0,     ,
905,19191126,   60,     ,
905,19191127,   11,     ,
905,19191128,   50,     ,
905,19191129,    4,     ,
905,19191130,    0,     ,
905,19191201,    0,     ,
905,19191202,    0,     ,
905,19191203,   38,     ,
905,19191204,  140,     ,
905,19191205,  165,     ,
905,19191206,   30,     ,
905,19191207,   15,     ,
905,19191208,   14,     ,
905,19191209,    0,     ,
905,19191210,    0,     ,
905,19191211,    0,     ,
905,19191212,    0,     ,
905,19191213,    0,     ,
905,19191214,    0,     ,
905,19191215,    0,     ,
905,19191216,    0,     ,
905,19191217,   25,     ,
905,19191218,   17,     ,
905,19191219,   54,     ,
905,19191220,   50,     ,
905,19191221,   12,     ,
905,19191222,   87,     ,
905,19191223,   21,     ,
905,19191224,   50,     ,
905,19191225,   41,     ,
905,19191226,   42,     ,
905,19191227,   45,     ,
905,19191228,   40,     ,
905,19191229,   44,     ,
905,19191230,    0,     ,
905,19191231,  168,     ,
905,19200101,   20,     ,
905,19200102,    0,     ,
905,19200103,    0,     ,
905,19200104,    0,     ,
905,19200105,    0,     ,
905,19200106,    0,     ,
905,19200107,    0,     ,
905,19200108,   10,     ,
905,19200109,   25,     ,
905,19200110,   22,     ,
905,19200111,  135,     ,
905,19200112,   56,     ,
905,19200113,   43,     ,
905,19200114,  134,     ,
905,19200115,   18,     ,
905,19200116,    0,     ,
905,19200117,    0,     ,
905,19200118,   14,     ,
905,19200119,   14,     ,
905,19200120,   50,     ,
905,19200121,   20,     ,
905,19200122,    0,     ,
905,19200123,    0,     ,
905,19200124,    2,     ,
905,19200125,    0,     ,
905,19200126,    0,     ,
905,19200127,   45,     ,
905,19200128,   44,     ,
905,19200129,   95,     ,
905,19200130,   14,     ,
905,19200131,   23,     ,
905,19200201,   10,     ,
905,19200202,    0,     ,
905,19200203,    0,     ,
905,19200204,    0,     ,
905,19200205,   12,     ,
905,19200206,    0,     ,
905,19200207,    0,     ,
905,19200208,    0,     ,
905,19200209,    1,     ,
905,19200210,    0,     ,
905,19200211,  110,     ,
905,19200212,   11,     ,
905,19200213,    0,     ,
905,19200214,   23,     ,
905,19200215,    3,     ,
905,19200216,    0,     ,
905,19200217,    0,     ,
905,19200218,    0,     ,
905,19200219,    0,     ,
905,19200220,    0,     ,
905,19200221,    0,     ,
905,19200222,    0,     ,
905,19200223,    0,     ,
905,19200224,    0,     ,
905,19200225,    0,     ,
905,19200226,    0,     ,
905,19200227,   24,     ,
905,19200228,   55,     ,
905,19200229,    0,     ,
905,19200301,    0,     ,
905,19200302,    0,     ,
905,19200303,    1,     ,
905,19200304,    0,     ,
905,19200305,    0,     ,
905,19200306,    2,     ,
905,19200307,   43,     ,
905,19200308,    2,     ,
905,19200309,    3,     ,
905,19200310,    0,     ,
905,19200311,    0,     ,
905,19200312,   21,     ,
905,19200313,   10,     ,
905,19200314,    1,     ,
905,19200315,   34,     ,
905,19200316,    0,     ,
905,19200317,    0,     ,
905,19200318,    0,     ,
905,19200319,    5,     ,
905,19200320,    0,     ,
905,19200321,    0,     ,
905,19200322,    0,     ,
