,0
1985-11-14,10.71
1985-11-28,10.82
1985-12-14,10.99
1985-12-28,11.20
1986-01-13,11.39
1986-01-28,11.61
1986-02-14,11.37
1986-03-01,11.12
1986-03-14,11.16
1986-03-28,11.50
1986-04-14,11.58
1986-04-28,11.63
1986-05-14,11.45
1986-05-29,11.15
1986-07-14,10.59
1986-07-29,10.46
1986-08-14,10.21
1986-08-28,10.25
1986-09-15,10.32
1986-09-29,10.35
1986-10-13,10.31
1986-10-29,10.59
1986-11-14,10.71
1986-11-27,10.77
1986-12-14,10.85
1986-12-28,11.16
1987-01-14,11.27
1987-01-28,11.31
1987-02-14,11.38
1987-02-28,11.43
1987-03-14,11.52
1987-03-28,11.82
1987-04-13,11.62
1987-04-27,11.40
1987-05-14,11.30
1987-05-28,11.23
1987-06-14,11.31
1987-06-28,11.38
1987-07-14,10.97
1987-07-28,10.96
1987-08-14,10.85
1987-08-28,10.84
1987-09-14,10.68
1987-09-28,10.63
1987-10-14,10.79
1987-10-28,10.81
1987-11-14,10.81
1987-11-28,11.13
1987-12-28,11.09
1988-01-14,11.20
1988-01-28,11.50
1988-02-13,11.63
1988-02-27,11.54
1988-03-14,11.82
1988-03-28,11.97
1988-04-14,11.59
1988-04-28,11.41
1988-05-14,11.20
1988-05-28,11.07
1988-06-14,11.08
1988-06-28,10.87
1988-07-14,10.79
1988-07-27,11.14
1988-08-14,10.77
1988-08-30,10.63
1988-09-14,10.59
1988-09-28,10.60
1988-10-13,10.77
1988-10-27,10.85
1988-11-14,10.74
1988-11-28,10.80
1988-12-13,11.04
1989-01-14,11.36
1989-01-28,11.09
1989-02-14,11.09
1989-02-28,11.15
1989-03-14,11.34
1989-03-28,11.36
1989-04-14,11.23
1989-04-28,11.44
1989-05-14,11.06
1989-05-28,10.66
1989-06-14,10.56
1989-06-28,10.29
1989-07-14,10.20
1989-07-28,10.07
1989-08-14,10.01
1989-08-28,9.93
1989-09-13,10.02
1989-09-27,10.08
1989-10-14,10.17
1989-10-28,10.24
1989-11-14,10.35
1989-11-28,10.33
1989-12-14,10.40
1990-01-14,10.62
1990-01-28,10.85
1990-02-14,10.99
1990-03-13,11.19
1990-03-27,11.10
1990-04-14,10.96
1990-05-14,10.78
1990-05-28,12.90
1990-06-14,10.60
1990-06-28,10.47
1990-07-14,10.46
1990-07-28,10.23
1990-08-13,10.01
1990-08-28,9.95
1990-09-14,10.20
1990-09-28,10.19
1990-10-14,10.19
1990-11-14,10.42
1990-11-28,10.62
1990-12-14,10.75
1991-01-14,11.36
1991-01-28,11.30
1991-02-14,11.10
1991-02-28,11.27
1991-03-14,11.25
1991-04-14,11.03
1991-04-27,11.03
1991-05-28,10.80
1991-06-14,10.65
1991-06-28,10.67
1991-07-28,10.38
1991-08-14,10.16
1991-08-28,10.03
1991-09-13,9.92
1991-09-29,10.08
1991-10-14,10.10
1991-10-28,10.15
1991-11-14,12.90
1991-11-28,10.73
1991-12-14,10.76
1991-12-28,11.12
1992-01-14,11.18
1992-01-28,11.11
1992-02-15,11.23
1992-02-29,11.20
1992-03-14,11.21
1992-03-27,11.27
1992-04-13,11.19
1992-04-28,11.24
1992-05-13,11.17
1992-05-28,12.90
1992-06-14,11.00
1992-06-28,10.75
1992-07-13,10.50
1992-07-27,10.35
1992-08-14,10.31
1992-08-27,10.37
1992-09-13,10.71
1992-09-27,10.60
1992-10-15,10.60
1992-10-28,10.72
1992-11-13,10.84
1992-11-27,11.14
1992-12-14,11.42
1992-12-29,11.45
1993-01-14,11.70
1993-01-28,11.83
1993-02-15,11.65
1993-02-27,11.71
1993-03-14,11.59
1993-04-14,11.39
1993-04-27,11.28
1993-05-14,11.29
1993-05-29,11.12
1993-06-14,10.85
1993-06-28,10.69
1993-07-13,10.47
1993-07-28,10.74
1993-08-14,10.66
1993-08-28,10.50
1993-09-14,10.62
1993-09-27,11.11
1993-10-13,11.28
1993-10-28,11.38
1993-11-15,11.40
1993-11-29,11.40
1993-12-13,11.67
1993-12-29,12.03
1994-01-13,12.15
1994-01-27,12.26
1994-02-15,11.95
1994-02-28,11.89
1994-03-14,12.90
1994-03-28,12.00
1994-04-14,12.06
1994-04-29,11.76
1994-05-13,11.61
1994-05-28,11.53
1994-06-15,11.50
1994-06-28,11.13
1994-07-14,10.87
1994-07-27,10.60
1994-08-15,10.44
1994-08-27,10.55
1994-09-15,12.90
1994-09-29,10.89
1994-10-14,10.94
1994-10-28,10.84
1994-11-14,11.06
1994-11-28,11.11
1994-12-13,11.22
1994-12-29,11.39
1995-01-13,11.48
1995-01-27,12.90
1995-02-14,11.86
1995-02-28,11.96
1995-03-13,11.75
1995-03-28,11.79
1995-04-13,11.65
1995-04-27,11.59
1995-05-15,11.19
1995-05-29,11.27
1995-06-28,11.07
1995-07-14,10.71
1995-07-29,10.42
1995-09-13,10.20
1995-09-27,10.28
1995-10-13,10.39
1995-10-27,10.35
1995-11-14,10.37
1995-11-27,12.90
1995-12-14,10.37
1995-12-28,10.54
1996-01-15,10.55
1996-01-29,10.55
1996-02-14,10.48
1996-02-29,10.69
1996-03-14,10.75
1996-03-28,10.75
1996-04-13,10.69
1996-04-28,10.61
1996-05-14,10.57
1996-06-15,10.14
1996-07-27,9.77
1996-08-14,9.92
1996-08-29,10.19
1996-09-13,10.56
1996-09-27,10.47
1996-10-14,10.58
1996-10-28,10.58
1996-11-15,10.83
1996-11-28,10.98
1996-12-14,11.19
1996-12-28,12.90
1997-01-14,10.98
1997-02-14,11.40
1997-02-28,11.54
1997-03-13,11.40
1997-03-27,11.40
1997-04-14,11.28
1997-05-14,11.38
1997-05-28,11.34
1997-06-13,11.06
1997-06-27,11.01
1997-07-29,10.97
1997-08-14,10.63
1997-08-27,10.51
1997-09-15,10.54
1997-09-29,10.43
1997-10-14,10.58
1997-10-29,10.64
1997-11-13,10.66
1997-11-27,12.90
1997-12-14,10.80
1998-01-14,11.25
1998-01-28,11.25
1998-02-14,11.21
1998-02-28,11.18
1998-03-14,11.46
1998-03-28,12.90
1998-04-14,11.49
1998-04-28,11.49
1998-05-14,11.14
1998-05-28,11.05
1998-06-15,11.46
1998-06-29,11.31
1998-07-15,11.22
1998-07-28,11.03
1998-08-13,10.74
1998-08-28,10.73
1998-09-14,11.23
1998-09-28,11.24
1998-10-14,11.34
1998-10-29,11.57
1998-11-15,11.79
1998-11-29,11.75
1998-12-14,11.83
1998-12-29,11.81
1999-01-14,11.89
1999-01-29,11.87
1999-02-15,11.98
1999-02-28,11.99
1999-03-15,11.76
1999-03-27,12.90
1999-04-15,11.74
