date,head
1981-07-03,1.4
1981-07-17,1.34
1981-07-30,1.31
1981-08-19,1.23
1981-09-02,1.18
1981-09-17,1.14
1981-10-01,1.11
1981-10-19,1.31
1981-11-05,1.53
1981-11-19,1.36
1981-12-03,1.48
1981-12-31,1.43
1982-01-19,1.47
1982-02-02,1.53
1982-02-18,1.44
1982-03-04,1.48
1982-03-18,1.53
1982-04-01,1.42
1982-04-16,1.36
1982-05-03,1.31
1982-05-13,1.26
1982-06-18,1.34
1982-07-01,1.25
1982-07-19,1.16
1982-08-02,1.13
1982-08-19,1.11
1982-08-31,1.12
1982-09-16,1.13
1982-09-30,1.04
1982-10-19,1.28
1982-11-02,1.13
1982-11-18,1.15
1982-12-02,1.21
1982-12-16,1.33
1982-12-30,1.44
1983-01-20,1.52
1983-02-03,1.66
1983-02-17,1.51
1983-03-03,1.4
1983-03-17,1.32
1983-03-31,1.58
1983-04-19,1.49
1983-05-03,1.67
1983-05-19,1.61
1983-06-02,1.68
1983-06-16,1.46
1983-06-30,1.31
1983-07-19,1.19
1983-08-04,1.14
1983-08-18,1.09
1983-09-01,1.05
1983-09-19,1.21
1983-10-05,1.11
1983-10-19,1.13
1983-11-03,1.18
1983-11-17,1.06
1983-12-19,1.41
1984-01-02,1.68
1984-01-19,1.76
1984-02-01,1.89
1984-02-16,1.74
1984-03-01,1.58
1984-03-15,1.56
1984-04-02,1.61
1984-04-19,1.5
1984-05-02,1.45
1984-05-15,1.4
1984-05-30,1.57
1984-06-19,1.48
1984-07-02,1.36
1984-07-19,1.44
1984-08-02,1.34
1984-08-16,1.26
1984-08-31,1.22
1984-09-19,1.33
1984-10-03,1.55
1984-10-18,1.51
1984-10-31,1.61
1984-11-15,1.46
1984-11-28,1.67
1984-12-19,1.51
1985-01-15,1.46
1985-01-29,1.64
1985-02-15,1.48
1985-03-01,1.44
1985-03-15,1.47
1985-03-29,1.44
1985-04-15,1.71
1985-05-02,1.49
1985-05-14,1.44
1985-05-29,1.37
1985-06-19,1.43
1985-07-02,1.41
1985-07-18,1.26
1985-08-01,1.42
1985-08-15,1.39
1985-08-30,1.36
1985-09-17,1.31
1985-09-30,1.26
1985-10-16,1.19
1985-10-29,1.13
1985-11-14,1.31
1985-11-28,1.23
1985-12-18,1.39
1986-01-13,1.69
1986-01-28,1.76
1986-02-14,1.47
1986-03-05,1.31
1986-03-19,1.36
1986-04-04,1.46
1986-04-17,1.39
1986-05-02,1.32
1986-05-20,1.21
1986-05-27,1.3
1986-06-19,1.26
1986-07-02,1.21
1986-07-17,1.14
1986-07-30,1.16
1986-08-14,1.06
1986-08-28,1.16
1986-09-15,1.11
1986-10-01,1.06
1986-10-17,1.03
1986-10-30,1.41
1986-11-17,1.27
1986-12-01,1.44
1986-12-16,1.38
1987-01-28,1.41
1987-02-16,1.46
1987-03-02,1.57
1987-03-17,1.47
1987-04-01,1.61
1987-04-15,1.62
1987-04-29,1.48
1987-05-15,1.49
1987-06-02,1.51
1987-06-16,1.53
1987-07-17,1.47
1987-07-30,1.79
1987-09-28,1.5
1987-10-19,1.59
1987-10-29,1.55
1987-11-12,1.43
1987-12-01,1.7
1987-12-18,1.46
1987-12-29,1.61
1988-01-15,1.71
1988-01-28,1.91
1988-02-16,1.96
1988-03-01,1.76
1988-03-18,1.77
1988-03-31,1.89
1988-04-15,1.67
1988-04-29,1.6
1988-05-17,1.53
1988-05-30,1.63
1988-06-16,1.41
1988-06-29,1.36
1988-07-18,1.46
1988-08-01,1.5
1988-08-18,1.39
1988-09-01,1.4
1988-09-15,1.34
1988-09-29,1.4
1988-10-14,1.52
1988-10-31,1.39
1988-11-17,1.31
1988-12-01,1.21
1988-12-20,1.43
1988-12-30,1.51
1989-01-17,1.47
1989-01-31,1.34
1989-02-16,1.33
1989-03-02,1.16
1989-03-16,1.55
1989-04-03,1.61
1989-04-17,1.64
1989-05-01,1.51
1989-05-17,1.4
1989-05-30,1.3
1989-06-16,1.3
1989-06-30,1.27
1989-07-18,1.23
1989-08-01,1.21
1989-08-17,1.17
1989-08-31,1.13
1989-09-19,1.23
1989-10-02,1.17
1989-10-17,1.19
