Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,26-04-2016,,,,,,,,
Gegevens beschikbaar:,16-10-1972,tot:,05-11-2010,,,,,,,,
Datum: ,26-04-2016,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B32D0136,001,32DP0136,153344,457123,1100,01-10-1972,16-10-1972,22-06-1988,1124,24,124,-76
B32D0136,001,32DP0136,153344,457123,1095,22-06-1988,22-06-1988,05-11-2010,1125,30,124,-76


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B32D0136,001,16-10-1972,724,700,400,,,,,,
B32D0136,001,30-10-1972,726,702,398,,,,,,
B32D0136,001,16-11-1972,727,703,397,,,,,,
B32D0136,001,30-11-1972,734,710,390,,,,,,
B32D0136,001,14-12-1972,731,707,393,,,,,,
B32D0136,001,27-12-1972,732,708,392,,,,,,
B32D0136,001,18-01-1973,734,710,390,,,,,,
B32D0136,001,31-01-1973,741,717,383,,,,,,
B32D0136,001,14-02-1973,738,714,386,,,,,,
B32D0136,001,28-02-1973,740,716,384,,,,,,
B32D0136,001,14-03-1973,737,713,387,,,,,,
B32D0136,001,27-03-1973,739,715,385,,,,,,
B32D0136,001,13-04-1973,737,713,387,,,,,,
B32D0136,001,02-05-1973,738,714,386,,,,,,
B32D0136,001,15-05-1973,737,713,387,,,,,,
B32D0136,001,30-05-1973,735,711,389,,,,,,
B32D0136,001,14-06-1973,735,711,389,,,,,,
B32D0136,001,27-06-1973,735,711,389,,,,,,
B32D0136,001,28-08-1973,748,724,376,,,,,,
B32D0136,001,14-09-1973,750,726,374,,,,,,
B32D0136,001,28-09-1973,750,726,374,,,,,,
B32D0136,001,15-10-1973,750,726,374,,,,,,
B32D0136,001,30-10-1973,745,721,379,,,,,,
B32D0136,001,14-11-1973,745,721,379,,,,,,
B32D0136,001,28-11-1973,741,717,383,,,,,,
B32D0136,001,14-12-1973,738,714,386,,,,,,
B32D0136,001,15-01-1974,731,707,393,,,,,,
B32D0136,001,28-01-1974,724,700,400,,,,,,
B32D0136,001,14-02-1974,724,700,400,,,,,,
B32D0136,001,28-02-1974,726,702,398,,,,,,
B32D0136,001,15-03-1974,721,697,403,,,,,,
B32D0136,001,28-03-1974,720,696,404,,,,,,
B32D0136,001,16-04-1974,726,702,398,,,,,,
B32D0136,001,01-05-1974,730,706,394,,,,,,
B32D0136,001,16-05-1974,722,698,402,,,,,,
B32D0136,001,31-05-1974,723,699,401,,,,,,
B32D0136,001,17-06-1974,725,701,399,,,,,,
B32D0136,001,01-07-1974,730,706,394,,,,,,
B32D0136,001,15-07-1974,731,707,393,,,,,,
B32D0136,001,29-07-1974,730,706,394,,,,,,
B32D0136,001,14-08-1974,733,709,391,,,,,,
B32D0136,001,16-08-1974,737,713,387,,,,,,
B32D0136,001,29-08-1974,734,710,390,,,,,,
B32D0136,001,01-10-1974,733,709,391,,,,,,
B32D0136,001,14-10-1974,730,706,394,,,,,,
B32D0136,001,29-10-1974,725,701,399,,,,,,
B32D0136,001,14-11-1974,716,692,408,,,,,,
B32D0136,001,28-11-1974,715,691,409,,,,,,
B32D0136,001,16-12-1974,705,681,419,,,,,,
B32D0136,001,30-12-1974,700,676,424,,,,,,
B32D0136,001,14-01-1975,703,679,421,,,,,,
B32D0136,001,28-01-1975,680,656,444,,,,,,
B32D0136,001,13-02-1975,670,646,454,,,,,,
B32D0136,001,28-02-1975,677,653,447,,,,,,
B32D0136,001,14-03-1975,681,657,443,,,,,,
B32D0136,001,01-04-1975,663,639,461,,,,,,
B32D0136,001,14-04-1975,665,641,459,,,,,,
B32D0136,001,28-04-1975,673,649,451,,,,,,
B32D0136,001,15-05-1975,655,631,469,,,,,,
B32D0136,001,28-05-1975,659,635,465,,,,,,
B32D0136,001,13-06-1975,658,634,466,,,,,,
B32D0136,001,27-06-1975,660,636,464,,,,,,
B32D0136,001,14-07-1975,665,641,459,,,,,,
B32D0136,001,28-07-1975,673,649,451,,,,,,
B32D0136,001,14-08-1975,670,646,454,,,,,,
B32D0136,001,28-08-1975,674,650,450,,,,,,
B32D0136,001,15-09-1975,674,650,450,,,,,,
B32D0136,001,29-09-1975,678,654,446,,,,,,
B32D0136,001,14-10-1975,682,658,442,,,,,,
B32D0136,001,28-10-1975,680,656,444,,,,,,
B32D0136,001,14-11-1975,687,663,437,,,,,,
