Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,29-09-2015,,,,,,,,
Gegevens beschikbaar:,03-07-1972,tot:,25-05-2009,,,,,,,,
Datum: ,29-09-2015,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B33A0113,001,33AP0113,189780,471810,7842,01-01-1972,03-07-1972,05-10-1988,7906,64,-460,-660
B33A0113,001,33AP0113,189780,471810,7837,05-10-1988,05-10-1988,25-05-2009,7907,70,-460,-660


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B33A0113,001,03-07-1972,5119,5055,2787,,,,,,
B33A0113,001,16-08-1972,5128,5064,2778,,,,,,
B33A0113,001,29-08-1972,5132,5068,2774,,,,,,
B33A0113,001,15-09-1972,5135,5071,2771,,,,,,
B33A0113,001,25-09-1972,5136,5072,2770,,,,,,
B33A0113,001,13-10-1972,5141,5077,2765,,,,,,
B33A0113,001,25-10-1972,5144,5080,2762,,,,,,
B33A0113,001,15-11-1972,5148,5084,2758,,,,,,
B33A0113,001,27-11-1972,5149,5085,2757,,,,,,
B33A0113,001,11-12-1972,5153,5089,2753,,,,,,
B33A0113,001,22-12-1972,5155,5091,2751,,,,,,
B33A0113,001,17-01-1973,5159,5095,2747,,,,,,
B33A0113,001,30-01-1973,5161,5097,2745,,,,,,
B33A0113,001,16-02-1973,5165,5101,2741,,,,,,
B33A0113,001,26-02-1973,5166,5102,2740,,,,,,
B33A0113,001,15-03-1973,5169,5105,2737,,,,,,
B33A0113,001,29-03-1973,5170,5106,2736,,,,,,
B33A0113,001,17-04-1973,5174,5110,2732,,,,,,
B33A0113,001,26-04-1973,5176,5112,2730,,,,,,
B33A0113,001,10-05-1973,5177,5113,2729,,,,,,
B33A0113,001,23-05-1973,5180,5116,2726,,,,,,
B33A0113,001,04-06-1973,5182,5118,2724,,,,,,
B33A0113,001,20-06-1973,5183,5119,2723,,,,,,
B33A0113,001,04-07-1973,5185,5121,2721,,,,,,
B33A0113,001,17-07-1973,5188,5124,2718,,,,,,
B33A0113,001,08-08-1973,5190,5126,2716,,,,,,
B33A0113,001,20-08-1973,5191,5127,2715,,,,,,
B33A0113,001,04-09-1973,5193,5129,2713,,,,,,
B33A0113,001,19-09-1973,5193,5129,2713,,,,,,
B33A0113,001,05-10-1973,5195,5131,2711,,,,,,
B33A0113,001,22-10-1973,5197,5133,2709,,,,,,
B33A0113,001,05-11-1973,5196,5132,2710,,,,,,
B33A0113,001,19-11-1973,5199,5135,2707,,,,,,
B33A0113,001,03-12-1973,5199,5135,2707,,,,,,
B33A0113,001,18-12-1973,5201,5137,2705,,,,,,
B33A0113,001,22-01-1974,5203,5139,2703,,,,,,
B33A0113,001,11-02-1974,5203,5139,2703,,,,,,
B33A0113,001,25-02-1974,5206,5142,2700,,,,,,
B33A0113,001,07-03-1974,5206,5142,2700,,,,,,
B33A0113,001,26-03-1974,5205,5141,2701,,,,,,
B33A0113,001,05-04-1974,5205,5141,2701,,,,,,
B33A0113,001,22-04-1974,5205,5141,2701,,,,,,
B33A0113,001,09-05-1974,5204,5140,2702,,,,,,
B33A0113,001,28-05-1974,5203,5139,2703,,,,,,
B33A0113,001,10-06-1974,5203,5139,2703,,,,,,
