Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,26-06-2020,,,,,,,,
Gegevens beschikbaar:,14-02-2003,tot:,30-10-2013,,,,,,,,
Datum: ,26-06-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B49F0555,001,,94532,399958,-61,01-01-2003,01-01-2003,01-07-2019,-15,46,-75,-175


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B49F0555,001,14-02-2003,49,3,-64,,,,,,
B49F0555,001,26-02-2003,56,10,-71,,,,,,
B49F0555,001,14-03-2003,66,20,-81,,,,,,
B49F0555,001,28-03-2003,77,31,-92,,,,,,
B49F0555,001,14-04-2003,66,20,-81,,,,,,
B49F0555,001,25-04-2003,77,31,-92,,,,,,
B49F0555,001,14-05-2003,52,6,-67,,,,,,
B49F0555,001,28-05-2003,61,15,-76,,,,,,
B49F0555,001,13-06-2003,89,43,-104,,,,,,
B49F0555,001,26-06-2003,81,35,-96,,,,,,
B49F0555,001,10-07-2003,72,26,-87,,,,,,
B49F0555,001,30-07-2003,64,18,-79,,,,,,
B49F0555,001,14-08-2003,80,34,-95,,,,,,
B49F0555,001,28-08-2003,63,17,-78,,,,,,
B49F0555,001,14-09-2003,75,29,-90,,,,,,
B49F0555,001,28-09-2003,79,33,-94,,,,,,
B49F0555,001,14-10-2003,69,23,-84,,,,,,
B49F0555,001,28-10-2003,61,15,-76,,,,,,
B49F0555,001,14-11-2003,68,22,-83,,,,,,
B49F0555,001,28-11-2003,56,10,-71,,,,,,
B49F0555,001,15-12-2003,50,4,-65,,,,,,
B49F0555,001,24-12-2003,49,3,-64,,,,,,
B49F0555,001,14-01-2004,50,4,-65,,,,,,
B49F0555,001,28-01-2004,52,6,-67,,,,,,
B49F0555,001,14-02-2004,51,5,-66,,,,,,
B49F0555,001,28-02-2004,49,3,-64,,,,,,
B49F0555,001,14-03-2004,76,30,-91,,,,,,
B49F0555,001,28-03-2004,56,10,-71,,,,,,
B49F0555,001,14-04-2004,,,,N,,,,,
B49F0555,001,28-04-2004,73,27,-88,,,,,,
B49F0555,001,14-05-2004,78,32,-93,,,,,,
B49F0555,001,28-05-2004,76,30,-91,,,,,,
B49F0555,001,14-06-2004,69,23,-84,,,,,,
B49F0555,001,28-06-2004,71,25,-86,,,,,,
B49F0555,001,14-07-2004,55,9,-70,,,,,,
B49F0555,001,28-07-2004,69,23,-84,,,,,,
B49F0555,001,13-08-2004,64,18,-79,,,,,,
B49F0555,001,31-08-2004,48,2,-63,,,,,,
B49F0555,001,15-09-2004,52,6,-67,,,,,,
B49F0555,001,28-09-2004,58,12,-73,,,,,,
B49F0555,001,13-10-2004,69,23,-84,,,,,,
B49F0555,001,27-10-2004,65,19,-80,,,,,,
B49F0555,001,16-11-2004,54,8,-69,,,,,,
B49F0555,001,01-12-2004,44,-2,-59,,,,,,
B49F0555,001,13-01-2005,51,5,-66,,,,,,
B49F0555,001,26-01-2005,47,1,-62,,,,,,
B49F0555,001,11-02-2005,44,-2,-59,,,,,,
B49F0555,001,01-03-2005,51,5,-66,,,,,,
B49F0555,001,15-03-2005,,,,N,,,,,
B49F0555,001,28-03-2005,48,2,-63,,,,,,
B49F0555,001,14-04-2005,42,-4,-57,,,,,,
B49F0555,001,25-04-2005,,,,N,,,,,
B49F0555,001,18-05-2005,62,16,-77,,,,,,
B49F0555,001,25-05-2005,61,15,-76,,,,,,
B49F0555,001,16-06-2005,81,35,-96,,,,,,
B49F0555,001,29-06-2005,59,13,-74,,,,,,
B49F0555,001,19-07-2005,80,34,-95,,,,,,
B49F0555,001,28-07-2005,60,14,-75,,,,,,
B49F0555,001,15-08-2005,,,,N,,,,,
B49F0555,001,30-08-2005,78,32,-93,,,,,,
B49F0555,001,15-09-2005,69,23,-84,,,,,,
B49F0555,001,27-09-2005,80,34,-95,,,,,,
B49F0555,001,14-10-2005,71,25,-86,,,,,,
B49F0555,001,26-10-2005,58,12,-73,,,,,,
B49F0555,001,15-11-2005,61,15,-76,,,,,,
B49F0555,001,28-11-2005,40,-6,-55,,,,,,
B49F0555,001,13-01-2006,44,-2,-59,,,,,,
B49F0555,001,27-01-2006,46,0,-61,,,,,,
B49F0555,001,15-02-2006,40,-6,-55,,,,,,
B49F0555,001,28-02-2006,40,-6,-55,,,,,,
B49F0555,001,16-03-2006,45,-1,-60,,,,,,
B49F0555,001,29-03-2006,45,-1,-60,,,,,,
B49F0555,001,14-04-2006,47,1,-62,,,,,,
B49F0555,001,28-04-2006,,,,N,,,,,
B49F0555,001,16-05-2006,64,18,-79,,,,,,
B49F0555,001,30-05-2006,39,-7,-54,,,,,,
B49F0555,001,13-06-2006,50,4,-65,,,,,,
B49F0555,001,27-06-2006,50,4,-65,,,,,,
B49F0555,001,14-07-2006,81,35,-96,,,,,,
B49F0555,001,28-07-2006,88,42,-103,,,,,,
B49F0555,001,16-08-2006,41,-5,-56,,,,,,
B49F0555,001,15-09-2006,54,8,-69,,,,,,
B49F0555,001,28-09-2006,63,17,-78,,,,,,
B49F0555,001,12-10-2006,59,13,-74,,,,,,
B49F0555,001,15-11-2006,49,3,-64,,,,,,
B49F0555,001,28-11-2006,,,,N,,,,,
B49F0555,001,14-12-2006,42,-4,-57,,,,,,
B49F0555,001,26-01-2007,,,,N,,,,,
B49F0555,001,30-01-2007,45,-1,-60,,,,,,
B49F0555,001,16-02-2007,41,-5,-56,,,,,,
B49F0555,001,02-03-2007,38,-8,-53,,,,,,
B49F0555,001,13-03-2007,46,0,-61,,,,,,
B49F0555,001,29-03-2007,46,0,-61,,,,,,
B49F0555,001,14-04-2007,53,7,-68,,,,,,
B49F0555,001,28-04-2007,74,28,-89,,,,,,
B49F0555,001,14-05-2007,,,,N,,,,,
B49F0555,001,26-05-2007,,,,N,,,,,
B49F0555,001,14-06-2007,63,17,-78,,,,,,
B49F0555,001,26-06-2007,,,,N,,,,,
B49F0555,001,14-07-2007,,,,N,,,,,
B49F0555,001,01-08-2007,45,-1,-60,,,,,,
B49F0555,001,15-08-2007,62,16,-77,,,,,,
B49F0555,001,28-08-2007,67,21,-82,,,,,,
B49F0555,001,14-09-2007,,,,N,,,,,
B49F0555,001,29-09-2007,57,11,-72,,,,,,
B49F0555,001,15-10-2007,64,18,-79,,,,,,
B49F0555,001,27-10-2007,69,23,-84,,,,,,
B49F0555,001,14-11-2007,51,5,-66,,,,,,
B49F0555,001,29-11-2007,56,10,-71,,,,,,
B49F0555,001,14-12-2007,,,,N,,,,,
B49F0555,001,28-12-2007,,,,N,,,,,
B49F0555,001,01-01-2008,40,-6,-55,,,,,,
B49F0555,001,02-01-2008,42,-4,-57,,,,,,
B49F0555,001,03-01-2008,43,-3,-58,,,,,,
B49F0555,001,04-01-2008,43,-3,-58,,,,,,
B49F0555,001,05-01-2008,42,-4,-57,,,,,,
B49F0555,001,06-01-2008,37,-9,-52,,,,,,
B49F0555,001,07-01-2008,38,-8,-53,,,,,,
B49F0555,001,08-01-2008,40,-6,-55,,,,,,
B49F0555,001,09-01-2008,40,-6,-55,,,,,,
B49F0555,001,10-01-2008,41,-5,-56,,,,,,
B49F0555,001,11-01-2008,41,-5,-56,,,,,,
B49F0555,001,12-01-2008,36,-10,-51,,,,,,
B49F0555,001,13-01-2008,38,-8,-53,,,,,,
B49F0555,001,14-01-2008,39,-7,-54,,,,,,
B49F0555,001,15-01-2008,40,-6,-55,,,,,,
B49F0555,001,16-01-2008,37,-9,-52,,,,,,
B49F0555,001,17-01-2008,39,-7,-54,,,,,,
B49F0555,001,18-01-2008,39,-7,-54,,,,,,
B49F0555,001,19-01-2008,38,-8,-53,,,,,,
B49F0555,001,20-01-2008,30,-16,-45,,,,,,
B49F0555,001,21-01-2008,34,-12,-49,,,,,,
