Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-14/09/2015
Datum: 14/09/2015
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B58C0698,001,58CP7805,181600,359260,3017,,3026,2648,2598,1985/10/28,2002/08/23
B58C0698,001,58CP7805,181600,359260,3017,,3025,2647,2597,2002/08/23,2015/06/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B58C0698,001,1985/11/14 00:00:00,256,
B58C0698,001,1985/11/28 00:00:00,244,
B58C0698,001,1985/12/14 00:00:00,226,
B58C0698,001,1985/12/28 00:00:00,204,
B58C0698,001,1986/01/13 00:00:00,185,
B58C0698,001,1986/01/28 00:00:00,162,
B58C0698,001,1986/02/14 00:00:00,186,
B58C0698,001,1986/03/01 00:00:00,210,
B58C0698,001,1986/03/14 00:00:00,205,
B58C0698,001,1986/03/28 00:00:00,170,
B58C0698,001,1986/04/14 00:00:00,161,
B58C0698,001,1986/04/28 00:00:00,155,
B58C0698,001,1986/05/14 00:00:00,171,
B58C0698,001,1986/05/29 00:00:00,200,
B58C0698,001,1986/07/14 00:00:00,252,
B58C0698,001,1986/07/29 00:00:00,265,
B58C0698,001,1986/08/14 00:00:00,290,
B58C0698,001,1986/08/28 00:00:00,286,
B58C0698,001,1986/09/15 00:00:00,281,
B58C0698,001,1986/09/29 00:00:00,279,
B58C0698,001,1986/10/13 00:00:00,284,
B58C0698,001,1986/10/29 00:00:00,256,
B58C0698,001,1986/11/14 00:00:00,245,
B58C0698,001,1986/11/27 00:00:00,240,
B58C0698,001,1986/12/14 00:00:00,232,
B58C0698,001,1986/12/28 00:00:00,201,
B58C0698,001,1987/01/14 00:00:00,190,
B58C0698,001,1987/01/28 00:00:00,186,
B58C0698,001,1987/02/14 00:00:00,181,
B58C0698,001,1987/02/28 00:00:00,178,
B58C0698,001,1987/03/14 00:00:00,172,
B58C0698,001,1987/03/28 00:00:00,145,
B58C0698,001,1987/04/13 00:00:00,166,
B58C0698,001,1987/04/27 00:00:00,188,
B58C0698,001,1987/05/14 00:00:00,196,
B58C0698,001,1987/05/28 00:00:00,202,
B58C0698,001,1987/06/14 00:00:00,192,
B58C0698,001,1987/06/28 00:00:00,184,
B58C0698,001,1987/07/14 00:00:00,221,
B58C0698,001,1987/07/28 00:00:00,219,
B58C0698,001,1987/08/14 00:00:00,228,
B58C0698,001,1987/08/28 00:00:00,229,
B58C0698,001,1987/09/14 00:00:00,244,
B58C0698,001,1987/09/28 00:00:00,248,
B58C0698,001,1987/10/14 00:00:00,231,
B58C0698,001,1987/10/28 00:00:00,228,
B58C0698,001,1987/11/14 00:00:00,225,
B58C0698,001,1987/11/28 00:00:00,191,
B58C0698,001,1987/12/28 00:00:00,195,
B58C0698,001,1988/01/14 00:00:00,186,
B58C0698,001,1988/01/28 00:00:00,159,
B58C0698,001,1988/02/13 00:00:00,149,
B58C0698,001,1988/02/27 00:00:00,160,
B58C0698,001,1988/03/14 00:00:00,134,
B58C0698,001,1988/03/28 00:00:00,121,
B58C0698,001,1988/04/14 00:00:00,161,
B58C0698,001,1988/04/28 00:00:00,180,
B58C0698,001,1988/05/14 00:00:00,201,
B58C0698,001,1988/05/28 00:00:00,214,
B58C0698,001,1988/06/14 00:00:00,212,
B58C0698,001,1988/06/28 00:00:00,233,
B58C0698,001,1988/07/14 00:00:00,241,
B58C0698,001,1988/07/27 00:00:00,206,
B58C0698,001,1988/08/14 00:00:00,241,
B58C0698,001,1988/08/30 00:00:00,252,
B58C0698,001,1988/09/14 00:00:00,254,
B58C0698,001,1988/09/28 00:00:00,251,
B58C0698,001,1988/10/13 00:00:00,235,
B58C0698,001,1988/10/27 00:00:00,227,
B58C0698,001,1988/11/14 00:00:00,236,
B58C0698,001,1988/11/28 00:00:00,228,
B58C0698,001,1988/12/13 00:00:00,202,
B58C0698,001,1989/01/14 00:00:00,168,
B58C0698,001,1989/01/28 00:00:00,196,
B58C0698,001,1989/02/14 00:00:00,196,
B58C0698,001,1989/02/28 00:00:00,190,
B58C0698,001,1989/03/14 00:00:00,171,
B58C0698,001,1989/03/28 00:00:00,169,
B58C0698,001,1989/04/14 00:00:00,181,
B58C0698,001,1989/04/28 00:00:00,160,
B58C0698,001,1989/05/14 00:00:00,196,
B58C0698,001,1989/05/28 00:00:00,234,
B58C0698,001,1989/06/14 00:00:00,244,
B58C0698,001,1989/06/28 00:00:00,271,
B58C0698,001,1989/07/14 00:00:00,282,
B58C0698,001,1989/07/28 00:00:00,296,
B58C0698,001,1989/08/14 00:00:00,304,
B58C0698,001,1989/08/28 00:00:00,312,
B58C0698,001,1989/09/13 00:00:00,303,
B58C0698,001,1989/09/27 00:00:00,297,
B58C0698,001,1989/10/14 00:00:00,288,
B58C0698,001,1989/10/28 00:00:00,281,
B58C0698,001,1989/11/14 00:00:00,271,
B58C0698,001,1989/11/28 00:00:00,274,
B58C0698,001,1989/12/14 00:00:00,265,
B58C0698,001,1990/01/14 00:00:00,241,
B58C0698,001,1990/01/28 00:00:00,217,
B58C0698,001,1990/02/14 00:00:00,203,
B58C0698,001,1990/03/13 00:00:00,186,
B58C0698,001,1990/03/27 00:00:00,197,
B58C0698,001,1990/04/14 00:00:00,213,
B58C0698,001,1990/05/14 00:00:00,233,
B58C0698,001,1990/05/28 00:00:00,255,
B58C0698,001,1990/06/14 00:00:00,254,
B58C0698,001,1990/06/28 00:00:00,269,
B58C0698,001,1990/07/14 00:00:00,272,
B58C0698,001,1990/07/28 00:00:00,296,
B58C0698,001,1990/08/13 00:00:00,319,
B58C0698,001,1990/08/28 00:00:00,325,
B58C0698,001,1990/09/14 00:00:00,301,
B58C0698,001,1990/09/28 00:00:00,303,
B58C0698,001,1990/10/14 00:00:00,304,
B58C0698,001,1990/11/14 00:00:00,284,
B58C0698,001,1990/11/28 00:00:00,266,
B58C0698,001,1990/12/14 00:00:00,254,
B58C0698,001,1991/01/14 00:00:00,193,
B58C0698,001,1991/01/28 00:00:00,199,
B58C0698,001,1991/02/14 00:00:00,221,
B58C0698,001,1991/02/28 00:00:00,205,
B58C0698,001,1991/03/14 00:00:00,207,
B58C0698,001,1991/04/14 00:00:00,228,
B58C0698,001,1991/04/27 00:00:00,228,
B58C0698,001,1991/05/28 00:00:00,248,
B58C0698,001,1991/06/14 00:00:00,263,
B58C0698,001,1991/06/28 00:00:00,261,
B58C0698,001,1991/07/28 00:00:00,291,
B58C0698,001,1991/08/14 00:00:00,313,
B58C0698,001,1991/08/28 00:00:00,327,
B58C0698,001,1991/09/13 00:00:00,338,
B58C0698,001,1991/09/29 00:00:00,322,
B58C0698,001,1991/10/14 00:00:00,321,
B58C0698,001,1991/10/28 00:00:00,317,
B58C0698,001,1991/11/14 00:00:00,278,
B58C0698,001,1991/11/28 00:00:00,261,
B58C0698,001,1991/12/14 00:00:00,258,
B58C0698,001,1991/12/28 00:00:00,222,
B58C0698,001,1992/01/14 00:00:00,216,
B58C0698,001,1992/01/28 00:00:00,223,
B58C0698,001,1992/02/15 00:00:00,211,
B58C0698,001,1992/02/29 00:00:00,214,
B58C0698,001,1992/03/14 00:00:00,213,
B58C0698,001,1992/03/27 00:00:00,207,
B58C0698,001,1992/04/13 00:00:00,215,
B58C0698,001,1992/04/28 00:00:00,210,
B58C0698,001,1992/05/13 00:00:00,216,
B58C0698,001,1992/05/28 00:00:00,246,
B58C0698,001,1992/06/14 00:00:00,231,
B58C0698,001,1992/06/28 00:00:00,256,
B58C0698,001,1992/07/13 00:00:00,281,
B58C0698,001,1992/07/27 00:00:00,296,
B58C0698,001,1992/08/14 00:00:00,301,
B58C0698,001,1992/08/27 00:00:00,296,
B58C0698,001,1992/09/13 00:00:00,263,
B58C0698,001,1992/09/27 00:00:00,275,
B58C0698,001,1992/10/15 00:00:00,276,
B58C0698,001,1992/10/28 00:00:00,264,
B58C0698,001,1992/11/13 00:00:00,255,
B58C0698,001,1992/11/27 00:00:00,228,
B58C0698,001,1992/12/14 00:00:00,201,
B58C0698,001,1992/12/29 00:00:00,199,
B58C0698,001,1993/01/14 00:00:00,176,
B58C0698,001,1993/01/28 00:00:00,165,
B58C0698,001,1993/02/15 00:00:00,185,
B58C0698,001,1993/02/27 00:00:00,179,
B58C0698,001,1993/03/14 00:00:00,191,
B58C0698,001,1993/04/14 00:00:00,209,
B58C0698,001,1993/04/27 00:00:00,218,
B58C0698,001,1993/05/14 00:00:00,216,
B58C0698,001,1993/05/29 00:00:00,233,
B58C0698,001,1993/06/14 00:00:00,258,
