# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# EV24     = Referentiegewasverdamping (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   RH, EV24
# 
  260,20160101,    0,    2
  260,20160102,   33,    1
  260,20160103,   88,    2
  260,20160104,  112,    1
  260,20160105,    3,    1
  260,20160106,    5,    1
  260,20160107,  108,    1
  260,20160108,    0,    5
  260,20160109,    3,    2
  260,20160110,   43,    4
  260,20160111,   19,    1
  260,20160112,  104,    3
  260,20160113,   28,    2
  260,20160114,  134,    1
  260,20160115,   -1,    2
  260,20160116,   16,    3
  260,20160117,   -1,    5
  260,20160118,    0,    5
  260,20160119,   -1,    3
  260,20160120,   -1,    2
  260,20160121,    0,    1
  260,20160122,   41,    4
  260,20160123,    0,    5
  260,20160124,   22,    1
  260,20160125,    0,    7
  260,20160126,   21,    5
  260,20160127,  131,    1
  260,20160128,    2,    7
  260,20160129,   19,    1
  260,20160130,  187,    1
  260,20160131,   45,    3
  260,20160201,    5,    3
  260,20160202,    2,    4
  260,20160203,   43,    5
  260,20160204,   34,    2
  260,20160205,    8,    3
  260,20160206,    1,    3
  260,20160207,   37,    6
  260,20160208,  110,    6
  260,20160209,   88,    1
  260,20160210,   57,    5
  260,20160211,    2,    7
  260,20160212,   -1,    6
  260,20160213,    5,    6
  260,20160214,  146,    2
  260,20160215,    1,    8
  260,20160216,    0,   10
  260,20160217,    0,    9
  260,20160218,   13,    3
  260,20160219,    5,    8
  260,20160220,   90,    3
  260,20160221,   83,    2
  260,20160222,   35,    3
  260,20160223,   33,    8
  260,20160224,    4,    8
  260,20160225,   19,    8
  260,20160226,    0,    5
  260,20160227,    0,   13
  260,20160228,    0,   12
  260,20160229,    0,   13
  260,20160301,   61,    3
  260,20160302,   68,    8
  260,20160303,    8,   12
  260,20160304,  125,    2
  260,20160305,    2,    8
  260,20160306,   17,    8
  260,20160307,   25,   10
  260,20160308,   -1,   11
  260,20160309,    0,   11
  260,20160310,    0,   15
  260,20160311,    0,   15
  260,20160312,    0,   16
  260,20160313,    0,   18
  260,20160314,    0,   18
  260,20160315,    0,    5
  260,20160316,    0,   17
  260,20160317,    0,   20
  260,20160318,   -1,    4
  260,20160319,    0,    8
  260,20160320,    7,   10
  260,20160321,   12,    6
  260,20160322,    1,    8
  260,20160323,    3,   11
  260,20160324,    1,    6
  260,20160325,   44,    6
  260,20160326,    0,   23
  260,20160327,   73,   13
  260,20160328,    9,   17
  260,20160329,   83,   10
  260,20160330,   12,   19
  260,20160331,    0,   13
  260,20160401,    0,   25
  260,20160402,   -1,   14
  260,20160403,   97,   22
  260,20160404,   63,   16
  260,20160405,   14,   11
  260,20160406,   41,    9
  260,20160407,   41,   16
  260,20160408,   22,   10
  260,20160409,    0,   23
  260,20160410,   17,   30
  260,20160411,   -1,   33
  260,20160412,   30,   25
  260,20160413,    0,   23
  260,20160414,    0,   24
  260,20160415,  101,   11
  260,20160416,    7,   19
  260,20160417,   43,   19
  260,20160418,   -1,   20
  260,20160419,    0,   25
  260,20160420,    0,   32
  260,20160421,    0,   34
  260,20160422,    0,   23
  260,20160423,   30,   22
  260,20160424,   22,   22
  260,20160425,   41,   10
  260,20160426,  119,   14
  260,20160427,   28,   21
  260,20160428,   10,   22
  260,20160429,  100,   14
  260,20160430,    0,   23
  260,20160501,    0,   35
  260,20160502,    1,   34
  260,20160503,   35,   35
