DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
 89,19951001,   13,    0,
 89,19951002,   10,    0,
 89,19951003,    0,    0,
 89,19951004,   19,    0,
 89,19951005,    3,    0,
 89,19951006,   20,    0,
 89,19951007,    0,    0,
 89,19951008,    0,    0,
 89,19951009,    0,    0,
 89,19951010,    0,    0,
 89,19951011,    0,    0,
 89,19951012,    0,    0,
 89,19951013,    0,    0,
 89,19951014,    0,    0,
 89,19951015,    0,    0,
 89,19951016,    0,    0,
 89,19951017,    0,    0,
 89,19951018,    2,    0,
 89,19951019,    0,    0,
 89,19951020,    0,    0,
 89,19951021,    5,    0,
 89,19951022,    0,    0,
 89,19951023,    0,    0,
 89,19951024,    0,    0,
 89,19951025,    0,    0,
 89,19951026,    0,    0,
 89,19951027,   16,    0,
 89,19951028,   22,    0,
 89,19951029,    0,    0,
 89,19951030,    0,    0,
 89,19951031,    2,    0,
 89,19951101,   11,    0,
 89,19951102,   39,    0,
 89,19951103,   14,    0,
 89,19951104,   38,    0,
 89,19951105,    0,    0,
 89,19951106,    1,    0,
 89,19951107,    3,    0,
 89,19951108,    3,    0,
 89,19951109,    0,    0,
 89,19951110,    2,    0,
 89,19951111,    0,    0,
 89,19951112,    0,    0,
 89,19951113,    0,    0,
 89,19951114,    0,    0,
 89,19951115,   19,    0,
 89,19951116,   28,    0,
 89,19951117,   19,    0,
 89,19951118,   72,    2,
 89,19951119,  134,    0,
 89,19951120,   35,    0,
 89,19951121,    0,    0,
 89,19951122,    0,    0,
 89,19951123,    1,    0,
 89,19951124,    0,    0,
 89,19951125,    0,    0,
 89,19951126,    0,    0,
 89,19951127,    0,    0,
 89,19951128,   79,    0,
 89,19951129,   24,    0,
 89,19951130,    0,    0,
 89,19951201,    0,    0,
 89,19951202,    0,    0,
 89,19951203,    0,    0,
 89,19951204,    0,    0,
 89,19951205,    0,    0,
 89,19951206,    0,    0,
 89,19951207,    0,    0,
 89,19951208,    0,    0,
 89,19951209,    0,    0,
 89,19951210,    0,    0,
 89,19951211,    2,    0,
 89,19951212,    3,    0,
 89,19951213,    7,    0,
 89,19951214,    0,    0,
 89,19951215,    0,    0,
 89,19951216,    0,    0,
 89,19951217,    0,    0,
 89,19951218,    9,    0,
 89,19951219,    2,    0,
 89,19951220,   15,    0,
 89,19951221,    0,    0,
 89,19951222,    3,    0,
 89,19951223,  206,    0,
 89,19951224,    0,    0,
 89,19951225,    6,    2,
 89,19951226,    3,  997,
 89,19951227,    0,    0,
 89,19951228,    0,    0,
 89,19951229,    0,    0,
 89,19951230,    0,    0,
 89,19951231,    0,    0,
 89,19960101,    6,    0,
 89,19960102,    4,    0,
 89,19960103,    2,    0,
 89,19960104,    0,    0,
