Date,1,2,3,4,5,6,7,8,9,10
1958-07-29,,,,-1.82,,,,,,
1958-11-14,,,,-1.86,,,,,,
1958-11-28,,,,-1.89,,,,,,
1958-12-15,,,,-1.68,,,,,,
1958-12-29,,,,-1.64,,,,,,
1959-01-14,,,,-1.43,,,,,,
1959-01-28,,,,-1.62,,,,,,
1960-01-28,,,,-2.02,,,,,,
1960-02-15,,,,-1.77,,,,,,
1960-03-01,,,,-1.76,,,,,,
1960-03-15,,,,-1.77,,,,,,
1960-03-28,,,,-1.91,,,,,,
1960-04-14,,,,-1.99,,,,,,
1960-04-28,,,,-1.98,,,,,,
1960-05-14,,,,-2.1,,,,,,
1960-05-28,,,,-2.09,,,,,,
1960-06-14,,,,-2.08,,,,,,
1960-06-28,,,,-2.22,,,,,,
1960-07-14,,,,-2.21,,,,,,
1960-07-28,,,,-2.22,,,,,,
1960-08-15,,,,-2.16,,,,,,
1960-08-28,,,,-1.92,,,,,,
1960-09-14,,,,-1.86,,,,,,
1960-09-28,,,,-1.97,,,,,,
1960-10-14,,,,-1.47,,,,,,
1960-10-28,,,,-1.59,,,,,,
1960-11-14,,,,-1.57,,,,,,
1960-11-28,,,,-1.39,,,,,,
1960-12-14,,,,-1.42,,,,,,
1960-12-28,,,,-1.58,,,,,,
1961-01-14,,,,-1.48,,,,,,
1961-01-28,,,,-1.53,,,,,,
1961-02-14,,,,-1.43,,,,,,
1961-02-28,,,,-1.52,,,,,,
1961-03-14,,,,-1.68,,,,,,
1962-11-28,,,,-1.85,,,,,,
1962-12-14,,,,-1.75,,,,,,
1962-12-28,,,,-1.73,,,,,,
1963-01-14,,,,-1.77,,,,,,
1963-01-28,,,,-1.92,,,,,,
1963-02-14,,,,-2.02,,,,,,
1963-02-28,,,,-2.04,,,,,,
1963-03-14,,,,-1.86,,,,,,
1963-03-28,,,,-1.76,,,,,,
1963-04-14,,,,-2.07,,,,,,
1968-12-13,,,,-1.94,,,,,,
1968-12-24,,,,-1.95,,,,,,
1969-01-14,,,,-1.93,,,,,,
1969-01-28,,,,-1.82,,,,,,
1969-02-14,,,,-1.82,,,,,,
1969-02-28,,,,-1.75,,,,,,
1969-03-14,,,,-1.8,,,,,,
1969-03-28,,,,-1.82,,,,,,
1969-04-14,,,,-1.87,,,,,,
1969-04-28,,,,-1.76,,,,,,
1969-05-14,,,,-1.79,,,,,,
1969-05-28,,,,-1.85,,,,,,
1969-06-13,,,,-1.95,,,,,,
1969-06-27,,,,-2.11,,,,,,
1969-07-14,,,,-2.15,,,,,,
1969-07-28,,,,-2.27,,,,,,
1969-08-14,,,,-2.37,,,,,,
1969-08-28,,,,-1.99,,,,,,
1969-09-15,,,,-2.16,,,,,,
1969-09-29,,,,-2.3,,,,,,
1969-10-14,,,,-2.43,,,,,,
1969-10-28,,,,-2.46,,,,,,
1969-11-14,,,,-2.47,,,,,,
1969-11-28,,,,-2.53,,,,,,
1969-12-15,,,,-2.55,,,,,,
1969-12-29,,,,-2.55,,,,,,
1970-01-15,,,,-2.53,,,,,,
1970-01-28,,,,-2.49,,,,,,
1970-02-13,,,,-2.41,,,,,,
1970-02-27,,,,-1.97,,,,,,
1970-03-13,,,,-2.15,,,,,,
1970-03-27,,,,-2.29,,,,,,
1970-04-14,,,,-2.09,,,,,,
1970-04-28,,,,-2.24,,,,,,
1970-05-14,,,,-2.36,,,,,,
1970-05-28,,,,-2.39,,,,,,
1970-06-15,,,,-2.49,,,,,,
1970-06-29,,,,-2.57,,,,,,
1970-07-14,,,,-2.39,,,,,,
1970-07-28,,,,-2.29,,,,,,
1970-08-14,,,,-2.42,,,,,,
1970-08-28,,,,-2.46,,,,,,
1970-09-14,,,,-2.5,,,,,,
1970-09-28,,,,-2.5,,,,,,
1970-10-14,,,,-2.37,,,,,,
1970-10-28,,,,-2.35,,,,,,
1970-11-01,,,,,,,,,,289.3
1970-11-08,,,,,,,,,,289.32
1970-11-13,,,,-2.11,,,,,,
1970-11-15,,,,,,,,,,289.34
1970-11-22,,,,,,,,,,289.31
1970-11-27,,,,-2.08,,,,,,
1970-12-01,,,,,,,,,,289.3
1970-12-08,,,,,,,,,,289.32
1970-12-14,,,,-1.97,,,,,,
1970-12-15,,,,,,,,,,289.29
1970-12-22,,,,,,,,,,289.3
1970-12-28,,,,-2.13,,,,,,
1971-01-01,,,,,,,,,,289.3
1971-01-08,,,,,,,,,,289.32
1971-01-14,,,,-2.24,,,,,,
1971-01-15,,,,,,,,,,289.29
1971-01-22,,,,,,,,,,289.3
1971-01-28,,,,-2.13,,,,,,
1971-02-01,,,,,,,,,,289.3
1971-02-08,,,,,,,,,,289.32
1971-02-15,,,,-2.07,,,,,,289.29
1971-02-22,,,,,,,,,,289.32
1971-03-01,,,,-2.13,,,,,,289.32
1971-03-08,,,,,,,,,,289.3
1971-03-15,,,,-2.25,,,,,,289.29
1971-03-22,,,,,,,,,,289.3
1971-03-29,,,,-2.23,,,,,,
1971-04-01,,,,,,,,,,289.3
1971-04-08,,,,,,,,,,289.29
1971-04-14,,,,-2.31,,,,,,
1971-04-15,,,,,,,,,,289.32
1971-04-22,,,,,,,,,,289.29
1971-04-28,,,,-2.37,,,,,,
1971-05-01,,,,,,,,,,289.3
1971-05-08,,,,,,,,,,289.28
1971-05-14,,,78.76,-2.33,,,,,,
1971-05-15,,,,,,,,,,289.26
1971-05-22,,,,,,,,,,289.24
1971-05-26,,,78.73,,,,,,,
1971-05-28,,,,-2.31,,,,,,
1971-06-01,,,,,,,,,,289.26
1971-06-08,,,,,,,,,,289.24
1971-06-14,,,,-2.34,,,,,,
1971-06-15,,,,,,,,,,289.25
1971-06-22,,,,,,,,,,289.24
1971-06-28,,,,-2.17,,,,,,
1971-07-01,,,,,,,,,,289.24
1971-07-08,,,,,,,,,,289.22
1971-07-15,,,,,,,,,,289.23
1971-07-22,,,,,,,,,,289.24
1971-07-28,,,,-2.37,,,,,,
1971-08-01,,,,,,,,,,289.25
1971-08-08,,,,,,,,,,289.23
1971-08-13,,,,-2.42,,,,,,
1971-08-15,,,,,,,,,,289.26
1971-08-22,,,,,,,,,,289.28
1971-08-24,,,78.67,,,,,,,
1971-08-27,,,,-2.46,,,,,,
1971-09-01,,,,,,,,,,289.27
1971-09-05,,,78.67,,,,,,,
1971-09-08,,,,,,,,,,289.29
1971-09-14,,,,-2.53,,,,,,
1971-09-15,,,,,,,,,,289.26
1971-09-19,,,78.62,,,,,,,
1971-09-22,,,,,,,,,,289.28
1971-09-28,,,,-2.6,,,,,,
1971-10-01,,,,,,,,,,289.26
1971-10-03,,,78.6,,,,,,,
1971-10-08,,,,,,,,,,289.28
1971-10-14,,,,-2.62,,,,,,
1971-10-15,,,,,,,,,,289.27
1971-10-17,,,78.58,,,,,,,
1971-10-22,,,,,,,,,,289.25
1971-10-28,,,,-2.58,,,,,,
1971-10-31,,,78.57,,,,,,,
1971-11-01,,,,,,,,,,289.25
1971-11-08,,,,,,,,,,289.27
1971-11-14,,,78.55,-2.57,,,,,,
1971-11-15,,,,,,,,,,289.24
1971-11-22,,,,,,,,,,289.28
1971-11-28,,,78.55,,,,,,,
1971-11-29,,,,-2.42,,,,,,
1971-12-01,,,,,,,,,,289.23
1971-12-08,,,,,,,,,,289.18
1971-12-12,,,78.59,,,,,,,
1971-12-14,,,,-2.42,,,,,,
1971-12-15,,,,,,,,,,289.14
1971-12-22,,,,,,,,,,289.16
1971-12-26,,,78.59,,,,,,,
1971-12-28,,,,-2.42,,,,,,
1971-12-29,,,78.64,,,,,,,
1972-01-01,,,,,,,,,,289.17
1972-01-08,,,,,,,,,,289.14
1972-01-09,,,78.59,,,,,,,
1972-01-14,,,,-2.42,,,,,,
1972-01-15,,,,,,,,,,289.16
1972-01-22,,,,,,,,,,289.17
1972-01-23,,,78.52,,,,,,,
1972-01-28,,,,-2.42,,,,,,
1972-02-01,,,,,,,,,,289.15
1972-02-06,,,78.53,,,,,,,
