Date,Head
1980-01-15,78.91
1980-01-31,78.87
1980-02-15,78.84
1980-02-29,78.84
1980-03-15,78.81
1980-03-31,78.8
1980-04-15,78.9
1980-04-30,78.91
1980-05-15,78.91
1980-05-31,78.87
1980-06-15,78.82
1980-06-30,78.83
1980-07-15,78.74
1980-07-31,78.69
1980-08-15,78.67
1980-08-31,78.69
1980-09-15,78.72
1980-09-30,78.75
1980-10-15,78.74
1980-10-31,78.9
1980-11-30,78.99
1980-12-15,79.03
1980-12-31,79.06
1981-01-15,79.07
1981-01-31,79.03
1981-02-15,78.99
1981-02-28,78.96
1981-03-15,78.9
1981-03-31,78.98
1981-04-15,79.13
1981-04-30,79.05
1981-05-15,79.08
1981-05-30,79.05
1981-06-15,79.04
1981-06-30,79.03
1981-07-15,78.96
1981-07-31,78.93
1981-08-15,79.02
1981-08-31,78.97
1981-09-15,78.91
1981-09-30,78.86
1981-10-15,78.88
1981-11-04,78.93
1981-11-16,78.94
1981-11-30,79.01
1981-12-16,79.0
1982-01-02,78.95
1982-01-16,78.94
1982-02-01,78.94
1982-02-16,78.93
1982-02-28,78.91
1982-03-15,78.89
1982-04-01,79.05
1982-04-15,79.21
1982-05-01,79.28
1982-05-16,79.28
1982-06-01,79.2
1982-06-17,79.12
1982-07-01,79.02
1982-07-16,78.91
1982-08-02,78.78
1982-08-16,78.79
1982-09-01,78.75
1982-09-15,78.72
1982-09-30,78.66
1982-10-16,78.6
1982-11-02,78.61
1982-11-15,78.59
1982-11-30,78.76
1982-12-15,78.82
1982-12-31,78.81
1983-01-15,78.87
1983-01-31,78.87
1983-02-15,78.86
1983-03-02,78.86
1983-03-16,78.89
1983-03-31,78.88
1983-04-16,78.98
1983-05-01,79.03
1983-05-15,78.99
1983-05-30,78.96
1983-06-15,78.86
1983-06-30,78.81
1983-07-16,78.82
1983-08-02,78.73
1983-08-15,78.66
1983-08-31,78.55
1983-09-15,78.63
1983-09-30,78.9
1983-10-15,78.96
1983-10-31,78.88
1983-11-15,78.82
1983-12-01,78.87
1983-12-15,78.83
1984-01-03,78.91
1984-01-15,78.89
1984-01-31,78.82
1984-02-15,78.81
1984-02-29,78.76
1984-03-15,78.75
1984-03-31,78.72
1984-04-15,78.96
1984-04-30,79.01
1984-05-15,78.94
1984-05-31,78.9
1984-06-15,78.88
1984-06-30,78.91
1984-07-15,78.85
1984-07-31,78.81
1984-08-14,78.74
1984-08-31,78.66
1984-09-15,78.59
1984-09-30,78.78
1984-10-15,78.8
1984-10-29,78.93
1984-11-15,78.97
1984-12-15,78.6
1984-12-31,78.68
1985-01-14,78.96
1985-01-31,78.93
1985-02-14,78.9
1985-02-28,78.86
1985-03-15,78.86
1985-04-02,78.86
1985-04-15,78.91
1985-05-01,78.95
1985-05-15,79.18
1985-05-31,79.14
1985-06-15,79.04
1985-06-30,79.06
1985-07-15,79.01
1985-07-29,78.97
1985-08-15,79.03
1985-09-01,78.98
1985-09-15,78.91
1985-09-30,78.82
1985-10-14,78.9
1985-10-28,78.87
1985-11-16,78.86
1985-11-30,78.83
1985-12-15,78.84
1985-12-31,78.82
1986-01-15,78.79
1986-01-30,78.91
1986-02-15,78.84
1986-03-01,78.79
1986-03-16,78.81
1986-03-31,78.96
1986-04-16,78.91
1986-05-01,79.08
1986-05-16,79.07
1986-05-31,79.02
1986-06-15,78.99
1986-06-30,78.95
1986-07-14,78.83
1986-08-01,78.79
1986-08-14,78.74
1986-09-01,79.15
1986-09-14,79.19
1986-10-01,79.1
1986-10-15,79.11
1986-11-01,79.04
1986-11-14,79.02
1986-12-01,79.06
1986-12-15,79.1
1987-01-01,78.98
1987-01-15,78.88
1987-02-15,78.81
1987-02-28,78.84
1987-03-15,78.81
1987-03-30,78.96
1987-04-14,78.91
1987-05-03,78.98
1987-05-15,79.01
1987-05-31,78.99
1987-06-15,79.01
1987-07-01,78.93
1987-07-14,78.87
1987-07-31,78.89
1987-08-14,78.92
1987-08-31,78.96
1987-09-14,78.86
1987-09-30,78.84
1987-10-15,78.81
1987-11-01,78.82
1987-11-14,78.85
1987-11-28,78.91
1987-12-14,78.83
1987-12-31,78.91
1988-01-15,78.82
1988-01-31,78.83
1988-02-15,78.86
1988-03-01,78.89
1988-03-14,78.93
1988-03-31,79.0
1988-04-14,79.03
1988-06-01,79.21
1988-06-15,79.03
1988-07-05,78.97
1988-07-13,78.92
1988-07-31,78.86
1988-08-15,78.83
1988-08-30,78.85
1988-09-15,78.81
1988-09-30,78.79
1988-10-15,78.61
1988-10-31,78.65
1988-11-15,78.65
1988-12-01,78.63
1988-12-14,78.61
1988-12-31,78.61
1989-01-15,78.77
1989-01-31,78.69
1989-02-14,78.67
1989-03-01,78.77
1989-03-15,78.81
1989-04-01,78.83
1989-04-15,78.77
1989-04-30,78.81
1989-05-15,78.73
1989-06-15,78.62
1989-07-01,78.77
1989-07-15,78.71
1989-07-31,78.64
1989-08-14,78.64
1989-09-04,78.62
1989-09-14,78.58
1989-10-01,78.52
1989-10-15,78.48
1989-11-01,78.52
1989-11-14,78.57
1989-11-30,78.58
1989-12-14,78.53
1990-01-01,78.49
1990-01-15,78.52
1990-01-30,78.61
1990-02-15,78.71
1990-03-15,78.85
1990-03-31,78.98
1990-04-15,79.02
1990-04-30,78.99
1990-05-15,78.94
1990-05-30,78.91
1990-06-15,78.83
1990-06-30,78.79
1990-07-15,78.76
1990-08-01,78.74
1990-08-14,78.66
1990-08-15,78.66
1990-09-01,78.59
1990-09-15,78.59
1990-10-01,78.65
1990-10-15,78.81
1990-11-02,78.67
1990-11-15,78.77
1990-12-15,78.8
1991-01-02,78.82
1991-01-15,78.86
1991-01-16,78.86
1991-01-31,78.79
1991-02-15,78.85
1991-03-01,78.81
1991-03-15,78.8
1991-04-01,78.93
1991-04-14,78.94
1991-05-02,78.81
