,Gossau
1984-01-01,638.7
1984-01-02,638.68
1984-01-03,638.68
1984-01-04,638.7
1984-01-05,638.68
1984-01-06,638.67
1984-01-07,638.67
1984-01-08,638.7
1984-01-09,638.73
1984-01-10,638.72
1984-01-11,638.7
1984-01-12,638.68
1984-01-13,638.69
1984-01-14,638.76
1984-01-15,638.87
1984-01-16,638.92
1984-01-17,639.01
1984-01-18,639.09
1984-01-19,639.07
1984-01-20,639.04
1984-01-21,639.02
1984-01-22,639.01
1984-01-23,639.05
1984-01-24,639.09
1984-01-25,639.07
1984-01-26,639.04
1984-01-27,639.03
1984-01-28,639.01
1984-01-29,638.98
1984-01-30,638.96
1984-01-31,638.95
1984-02-01,638.94
1984-02-02,638.93
1984-02-03,638.95
1984-02-04,638.99
1984-02-05,639.09
1984-02-06,639.23
1984-02-07,639.34
1984-02-08,639.41
1984-02-09,639.4
1984-02-10,639.34
1984-02-11,639.32
1984-02-12,639.3
1984-02-13,639.27
1984-02-14,639.24
1984-02-15,639.2
1984-02-16,639.16
1984-02-17,639.12
1984-02-18,639.08
1984-02-19,639.04
1984-02-20,639.0
1984-02-21,638.95
1984-02-22,638.9
1984-02-23,638.83
1984-02-24,638.78
1984-02-25,638.74
1984-02-26,638.72
1984-02-27,638.7
1984-02-28,638.66
1984-02-29,638.65
1984-03-01,638.63
1984-03-02,638.6
1984-03-03,638.58
1984-03-04,638.57
1984-03-05,638.55
1984-03-06,638.54
1984-03-07,638.52
1984-03-08,638.49
1984-03-09,638.44
1984-03-10,638.41
1984-03-11,638.4
1984-03-12,638.38
1984-03-13,638.36
1984-03-14,638.33
1984-03-15,638.32
1984-03-16,638.3
1984-03-17,638.3
1984-03-18,638.33
1984-03-19,638.38
1984-03-20,638.39
1984-03-21,638.41
1984-03-22,638.42
1984-03-23,638.44
1984-03-24,638.46
1984-03-25,638.49
1984-03-26,638.52
1984-03-27,638.54
1984-03-28,638.54
1984-03-29,638.54
1984-03-30,638.54
1984-03-31,638.55
1984-04-01,638.56
1984-04-02,638.57
1984-04-03,638.58
1984-04-04,638.6
1984-04-05,638.6
1984-04-06,638.61
1984-04-07,638.61
1984-04-08,638.63
1984-04-09,638.64
1984-04-10,638.64
1984-04-11,638.63
1984-04-12,638.63
1984-04-13,638.64
1984-04-14,638.62
1984-04-15,638.62
1984-04-16,638.63
1984-04-17,638.65
1984-04-18,638.66
1984-04-19,638.66
1984-04-20,638.65
1984-04-21,638.65
1984-04-22,638.65
1984-04-23,638.66
1984-04-24,638.64
1984-04-25,638.62
1984-04-26,638.59
1984-04-27,638.57
1984-04-28,638.55
1984-04-29,638.54
1984-04-30,638.53
1984-05-01,638.5
1984-05-02,638.45
1984-05-03,638.4
1984-05-04,638.35
1984-05-05,638.3
1984-05-06,638.29
1984-05-07,638.31
1984-05-08,638.32
1984-05-09,638.3
1984-05-10,638.25
1984-05-11,638.2
1984-05-12,638.14
1984-05-13,638.11
1984-05-14,638.1
1984-05-15,638.07
1984-05-16,638.04
1984-05-17,638.01
1984-05-18,637.98
1984-05-19,637.94
1984-05-20,637.95
1984-05-21,638.04
1984-05-22,638.1
1984-05-23,638.09
1984-05-24,638.07
1984-05-25,638.03
1984-05-26,638.01
1984-05-27,637.99
1984-05-28,637.97
1984-05-29,637.95
1984-05-30,637.98
1984-05-31,638.11
1984-06-01,638.23
1984-06-02,638.26
1984-06-03,638.27
1984-06-04,638.27
1984-06-05,638.27
1984-06-06,638.31
1984-06-07,638.36
1984-06-08,638.37
1984-06-09,638.36
1984-06-10,638.33
1984-06-11,638.31
1984-06-12,638.28
1984-06-13,638.23
1984-06-14,638.16
1984-06-15,638.09
1984-06-16,638.02
1984-06-17,637.97
1984-06-18,637.93
1984-06-19,637.88
1984-06-20,637.82
1984-06-21,637.77
1984-06-22,637.76
1984-06-23,637.77
1984-06-24,637.87
1984-06-25,637.99
1984-06-26,638.02
1984-06-27,638.0
1984-06-28,638.12
1984-06-29,638.35
1984-06-30,638.49
1984-07-01,638.54
1984-07-02,638.6
1984-07-03,638.64
1984-07-04,638.64
1984-07-05,638.63
1984-07-06,638.6
1984-07-07,638.56
1984-07-08,638.52
1984-07-09,638.47
1984-07-10,638.42
1984-07-11,638.37
1984-07-12,638.3
1984-07-13,638.24
1984-07-14,638.2
1984-07-15,638.2
1984-07-16,638.23
1984-07-17,638.23
1984-07-18,638.23
1984-07-19,638.2
1984-07-20,638.16
1984-07-21,638.11
1984-07-22,638.08
1984-07-23,638.05
1984-07-24,638.0
1984-07-25,637.99
1984-07-26,638.08
1984-07-27,638.2
1984-07-28,638.22
1984-07-29,638.22
1984-07-30,638.21
1984-07-31,638.18
1984-08-01,638.18
1984-08-02,638.23
1984-08-03,638.21
1984-08-04,638.19
1984-08-05,638.2
1984-08-06,638.18
1984-08-07,638.13
1984-08-08,638.07
1984-08-09,638.07
1984-08-10,638.32
1984-08-11,638.77
1984-08-12,639.04
1984-08-13,639.1
1984-08-14,639.1
1984-08-15,639.07
1984-08-16,639.03
1984-08-17,638.99
1984-08-18,638.96
1984-08-19,638.92
1984-08-20,638.88
1984-08-21,638.84
1984-08-22,638.79
1984-08-23,638.72
1984-08-24,638.67
1984-08-25,638.62
1984-08-26,638.61
1984-08-27,638.6
1984-08-28,638.57
1984-08-29,638.52
1984-08-30,638.47
1984-08-31,638.41
1984-09-01,638.35
1984-09-02,638.29
1984-09-03,638.26
1984-09-04,638.32
1984-09-05,638.64
1984-09-06,639.0
1984-09-07,639.13
1984-09-08,639.14
1984-09-09,639.18
1984-09-10,639.24
1984-09-11,639.26
1984-09-12,639.22
1984-09-13,639.19
1984-09-14,639.2
1984-09-15,639.3
1984-09-16,639.49
1984-09-17,639.58
1984-09-18,639.55
1984-09-19,639.5
1984-09-20,639.46
1984-09-21,639.52
1984-09-22,639.65
1984-09-23,639.72
1984-09-24,639.72
1984-09-25,639.68
1984-09-26,639.67
1984-09-27,639.66
1984-09-28,639.63
1984-09-29,639.58
1984-09-30,639.53
1984-10-01,639.5
1984-10-02,639.46
1984-10-03,639.42
1984-10-04,639.38
1984-10-05,639.35
1984-10-06,639.33
1984-10-07,639.31
1984-10-08,639.29
1984-10-09,639.26
1984-10-10,639.21
1984-10-11,639.16
1984-10-12,639.11
1984-10-13,639.07
1984-10-14,639.04
1984-10-15,639.01
1984-10-16,638.96
1984-10-17,638.92
1984-10-18,638.87
1984-10-19,638.83
1984-10-20,638.79
1984-10-21,638.75
1984-10-22,638.7
1984-10-23,638.65
1984-10-24,638.61
1984-10-25,638.58
1984-10-26,638.57
1984-10-27,638.55
1984-10-28,638.52
1984-10-29,638.5
