,Extraction 3
1970-01-04,0.0
1970-02-01,23787.980430528376
1970-03-01,21485.91780821918
1970-04-01,21485.91780821918
1970-05-01,21485.917808219176
1970-06-01,21485.91780821918
1970-07-01,21485.917808219176
1970-08-01,21485.91780821918
1970-09-01,21485.91780821918
1970-10-01,21485.917808219176
1970-11-01,21485.91780821918
1970-12-01,21485.917808219176
1971-01-01,21485.91780821918
1971-02-01,20742.23287671233
1971-03-01,20742.23287671233
1971-04-01,20742.23287671233
1971-05-01,20742.23287671233
1971-06-01,20742.23287671233
1971-07-01,20742.23287671233
1971-08-01,20742.23287671233
1971-09-01,20742.23287671233
1971-10-01,20742.23287671233
1971-11-01,20742.23287671233
1971-12-01,20742.23287671233
1972-01-01,20742.23287671233
1972-02-01,20344.918032786885
1972-03-01,20344.918032786885
1972-04-01,20344.918032786885
1972-05-01,20344.918032786885
1972-06-01,20344.918032786885
1972-07-01,20344.918032786885
1972-08-01,20344.918032786885
1972-09-01,20344.918032786885
1972-10-01,20344.918032786885
1972-11-01,20344.918032786885
1972-12-01,20344.918032786885
1973-01-01,20344.918032786885
1973-02-01,19938.032258064515
1973-03-01,20377.25
1973-04-01,20173.322580645163
1973-05-01,22616.066666666666
1973-06-01,21380.516129032258
1973-07-01,20619.966666666667
1973-08-01,20165.09677419355
1973-09-01,20304.612903225807
1973-10-01,19621.233333333334
1973-11-01,19133.516129032258
1973-12-01,19024.066666666666
1974-01-01,15570.225806451614
1974-02-01,14317.548387096775
1974-03-01,14765.92857142857
1974-04-01,16021.838709677419
1974-05-01,17102.4
1974-06-01,17331.0
1974-07-01,18091.766666666666
1974-08-01,17320.290322580644
1974-09-01,19075.612903225807
1974-10-01,19331.133333333335
1974-11-01,18422.709677419356
1974-12-01,16511.366666666665
1975-01-01,16566.483870967742
1975-02-01,15745.677419354839
1975-03-01,17422.178571428572
1975-04-01,16440.774193548386
1975-05-01,15914.4
1975-06-01,16672.225806451614
1975-07-01,15814.933333333332
1975-08-01,15457.967741935483
1975-09-01,19402.322580645163
1975-10-01,19821.7
1975-11-01,19656.16129032258
1975-12-01,19275.166666666668
1976-01-01,18482.451612903227
1976-02-01,17889.58064516129
1976-03-01,18162.275862068964
1976-04-01,15302.225806451614
1976-05-01,16898.9
1976-06-01,18854.83870967742
1976-07-01,20471.5
1976-08-01,20176.41935483871
1976-09-01,18845.870967741936
1976-10-01,18167.366666666665
1976-11-01,18991.354838709678
1976-12-01,18059.333333333332
1977-01-01,17580.8064516129
1977-02-01,19473.225806451614
1977-03-01,19118.75
1977-04-01,18166.90322580645
1977-05-01,18105.2
1977-06-01,18758.290322580644
1977-07-01,18388.3
1977-08-01,18818.25806451613
1977-09-01,18780.0
1977-10-01,19344.666666666668
1977-11-01,18132.290322580644
1977-12-01,19118.2
1978-01-01,17035.41935483871
1978-02-01,17316.967741935485
1978-03-01,18814.85714285714
1978-04-01,18644.09677419355
1978-05-01,18020.1
1978-06-01,18295.354838709678
1978-07-01,18892.566666666666
1978-08-01,18110.451612903227
1978-09-01,18415.1935483871
1978-10-01,17847.8
1978-11-01,18159.90322580645
1978-12-01,19347.033333333333
1979-01-01,19621.322580645163
1979-02-01,19957.354838709678
1979-03-01,19135.071428571428
