,Observation well
1960-04-28 12:00:00,10.68
1960-05-16 12:00:00,10.59
1960-05-30 12:00:00,10.56
1960-06-15 12:00:00,10.5
1960-06-29 12:00:00,10.45
1960-07-15 12:00:00,10.43
1960-07-29 12:00:00,10.42
1960-08-17 12:00:00,10.4
1960-08-30 12:00:00,10.42
1960-09-15 12:00:00,10.53
1960-09-29 12:00:00,10.65
1960-10-17 12:00:00,10.91
1960-10-31 12:00:00,11.19
1960-11-15 12:00:00,11.31
1960-11-28 12:00:00,11.48
1960-12-14 12:00:00,11.56
1960-12-28 12:00:00,11.56
1961-01-14 12:00:00,11.66
1961-01-30 12:00:00,11.72
1961-02-14 12:00:00,11.76
1961-02-28 12:00:00,11.79
1961-03-14 12:00:00,11.76
1961-03-28 12:00:00,11.58
1961-04-14 12:00:00,11.8
1961-04-28 12:00:00,11.75
1961-05-15 12:00:00,11.52
1961-05-29 12:00:00,11.38
1961-06-14 12:00:00,11.3
1961-06-28 12:00:00,11.17
1961-07-14 12:00:00,11.15
1961-07-28 12:00:00,11.07
1961-08-14 12:00:00,10.98
1961-08-29 12:00:00,10.97
1961-09-14 12:00:00,11.02
1961-09-28 12:00:00,11.02
1961-10-16 12:00:00,11.11
1961-10-30 12:00:00,11.43
1961-11-15 12:00:00,11.65
1961-11-28 12:00:00,11.71
1961-12-14 12:00:00,11.93
1961-12-28 12:00:00,11.83
1962-01-15 12:00:00,11.89
1962-01-29 12:00:00,11.87
1962-02-14 12:00:00,11.98
1962-02-28 12:00:00,11.82
1962-03-14 12:00:00,11.77
1962-03-28 12:00:00,11.75
1962-04-13 12:00:00,11.87
1962-04-27 12:00:00,11.61
1962-05-14 12:00:00,11.61
1962-05-28 12:00:00,11.62
1962-06-14 12:00:00,11.38
1962-06-28 12:00:00,11.2
1962-07-16 12:00:00,11.4
1962-07-27 12:00:00,11.12
1962-08-14 12:00:00,11.1
1962-08-28 12:00:00,10.99
1962-09-14 12:00:00,10.95
1962-09-28 12:00:00,10.98
1962-10-17 12:00:00,10.87
1962-10-29 12:00:00,10.97
1962-11-15 12:00:00,11.02
1962-11-28 12:00:00,11.07
1962-12-14 12:00:00,11.27
1963-03-14 12:00:00,11.22
1963-03-29 12:00:00,11.46
1963-04-17 12:00:00,11.29
1963-04-29 12:00:00,11.28
1963-05-14 12:00:00,11.22
1963-05-28 12:00:00,11.17
1963-06-14 12:00:00,11.06
1963-06-28 12:00:00,11.06
1963-07-15 12:00:00,11.04
1963-07-29 12:00:00,10.89
1963-08-16 12:00:00,10.83
1963-08-28 12:00:00,10.79
1963-09-16 12:00:00,10.87
1963-09-27 12:00:00,10.84
1963-10-14 12:00:00,10.9
1963-10-29 12:00:00,10.92
1963-11-14 12:00:00,11.04
1963-11-29 12:00:00,11.1
1963-12-17 12:00:00,10.98
1963-12-28 12:00:00,10.89
1964-01-14 12:00:00,10.91
1964-01-29 12:00:00,10.95
1964-02-14 12:00:00,11.05
1964-02-28 12:00:00,10.92
1964-03-13 12:00:00,10.93
1964-03-26 12:00:00,10.88
1964-04-14 12:00:00,10.85
1964-04-28 12:00:00,10.81
1964-05-28 12:00:00,10.53
1964-06-29 12:00:00,10.4
1964-07-14 12:00:00,10.36
1964-07-28 12:00:00,10.28
1964-08-28 12:00:00,10.14
1964-09-14 12:00:00,10.22
1964-09-28 12:00:00,10.14
1964-10-14 12:00:00,10.22
1964-10-28 12:00:00,10.35
1964-11-13 12:00:00,10.56
1964-11-27 12:00:00,10.81
1964-12-14 12:00:00,10.92
1965-01-14 12:00:00,10.97
1965-01-28 12:00:00,11.14
1965-02-15 12:00:00,10.97
1965-02-28 12:00:00,11.34
1965-03-01 12:00:00,10.91
1965-03-15 12:00:00,10.92
1965-04-14 12:00:00,10.97
1965-04-29 12:00:00,11.1
1965-05-14 12:00:00,11.06
1965-05-28 12:00:00,10.79
1965-06-14 12:00:00,10.63
1965-06-28 12:00:00,10.59
1965-07-14 12:00:00,10.54
1965-08-13 12:00:00,10.7
1965-08-27 12:00:00,10.48
1965-09-14 12:00:00,10.89
1965-09-29 12:00:00,10.65
1965-10-14 12:00:00,10.66
1965-10-28 12:00:00,10.63
1965-11-15 12:00:00,10.54
1965-11-30 12:00:00,10.68
1965-12-14 12:00:00,11.09
1965-12-28 12:00:00,11.36
1966-01-17 12:00:00,11.21
1966-01-28 12:00:00,11.12
1966-02-14 12:00:00,11.34
1966-03-14 12:00:00,11.22
1966-03-28 12:00:00,11.26
1966-04-14 12:00:00,11.35
1966-04-28 12:00:00,11.32
1966-05-14 12:00:00,11.04
1966-05-28 12:00:00,10.82
1966-06-15 12:00:00,10.56
1966-06-30 12:00:00,10.84
1966-07-14 12:00:00,10.8
1966-07-28 12:00:00,10.84
1966-08-15 12:00:00,10.84
1966-08-29 12:00:00,10.73
1966-09-15 12:00:00,10.56
1966-09-28 12:00:00,10.55
1966-10-14 12:00:00,10.54
1966-11-02 12:00:00,10.57
1966-11-14 12:00:00,10.67
1966-11-28 12:00:00,10.98
1966-12-14 12:00:00,11.29
1966-12-28 12:00:00,11.46
1967-01-16 12:00:00,11.36
1967-02-14 12:00:00,11.23
1967-02-28 12:00:00,11.32
1967-03-14 12:00:00,11.15
1967-03-30 12:00:00,11.19
1967-04-13 12:00:00,11.08
1967-06-28 12:00:00,10.51
1967-07-15 12:00:00,10.23
1967-07-28 12:00:00,10.36
1967-08-14 12:00:00,10.31
1967-08-28 12:00:00,10.27
1967-09-14 12:00:00,10.28
1967-09-28 12:00:00,10.21
1967-10-13 12:00:00,10.14
1967-12-28 12:00:00,10.52
1968-01-15 12:00:00,10.74
1968-01-29 12:00:00,10.77
1968-02-14 12:00:00,10.76
1968-02-28 12:00:00,10.53
1968-03-14 12:00:00,10.53
1968-03-28 12:00:00,10.34
1968-04-16 12:00:00,10.26
1968-04-29 12:00:00,10.2
1968-05-14 12:00:00,10.08
1968-05-28 12:00:00,9.98
1968-06-14 12:00:00,9.89
1968-06-28 12:00:00,9.9
1968-07-29 12:00:00,10.11
1968-08-14 12:00:00,10.21
1968-08-28 12:00:00,10.29
1968-09-13 12:00:00,10.17
1968-09-30 12:00:00,10.38
1968-10-15 12:00:00,10.59
1968-10-29 12:00:00,10.51
1968-11-15 12:00:00,9.98
1968-11-28 12:00:00,10.5
1968-12-16 12:00:00,10.38
1969-01-02 12:00:00,10.38
1969-01-14 12:00:00,10.62
1969-01-28 12:00:00,10.58
1969-02-28 12:00:00,10.68
1969-03-14 12:00:00,10.75
1969-03-28 12:00:00,10.59
1969-04-14 12:00:00,10.53
1969-04-28 12:00:00,10.51
1969-05-14 12:00:00,10.09
1969-05-28 12:00:00,9.98
1969-06-14 12:00:00,9.94
1969-06-27 12:00:00,9.81
1969-07-14 12:00:00,9.64
1969-08-14 12:00:00,9.33
1969-08-28 12:00:00,9.47
1969-09-15 12:00:00,9.56
1969-09-29 12:00:00,9.4
1969-10-14 12:00:00,9.36
1969-10-28 12:00:00,9.25
1969-11-14 12:00:00,9.27
1969-11-28 12:00:00,9.27
1969-12-15 12:00:00,9.43
1970-01-02 12:00:00,9.43
1970-01-14 12:00:00,9.4
1970-01-28 12:00:00,9.37
1970-02-13 12:00:00,9.53
1970-03-13 12:00:00,9.8
1970-03-26 12:00:00,9.68
1970-04-14 12:00:00,9.7
1970-04-28 12:00:00,9.69
1970-05-14 12:00:00,9.6
1970-05-28 12:00:00,9.44
1970-06-16 12:00:00,9.11
1970-06-29 12:00:00,9.05
1970-07-15 12:00:00,9.15
1970-08-14 12:00:00,9.1
1970-08-28 12:00:00,9.06
1970-09-14 12:00:00,8.93
1970-09-28 12:00:00,8.93
1970-10-14 12:00:00,8.92
1970-10-28 12:00:00,8.99
1970-11-14 12:00:00,9.18
1970-11-27 12:00:00,9.19
1970-12-14 12:00:00,9.33
1971-01-04 12:00:00,9.29
1971-01-15 12:00:00,9.29
1971-01-28 12:00:00,9.3
1971-02-15 12:00:00,9.52
1971-03-01 12:00:00,9.27
1971-03-15 12:00:00,9.4
1971-03-29 12:00:00,9.27
1971-04-14 12:00:00,9.1
1971-04-28 12:00:00,8.98
1971-05-14 12:00:00,8.82
1971-05-28 12:00:00,8.88
1971-06-14 12:00:00,8.82
1971-06-28 12:00:00,8.87
1971-07-28 12:00:00,8.64
1971-08-16 12:00:00,8.55
1971-08-29 12:00:00,8.58
1971-09-14 12:00:00,8.46
1971-09-28 12:00:00,8.47
1971-10-14 12:00:00,8.35
1971-10-28 12:00:00,8.42
1971-11-15 12:00:00,8.34
1971-11-29 12:00:00,8.45
1971-12-14 12:00:00,8.37
1971-12-28 12:00:00,8.4
1972-01-14 12:00:00,8.36
1972-01-28 12:00:00,8.49
1972-02-14 12:00:00,8.22
1972-02-28 12:00:00,8.29
1972-03-14 12:00:00,8.27
1972-03-28 12:00:00,8.34
1972-04-14 12:00:00,8.21
1972-04-28 12:00:00,8.24
1972-05-15 12:00:00,8.19
1972-05-29 12:00:00,8.19
1972-06-14 12:00:00,8.31
1972-06-28 12:00:00,8.25
1972-07-28 12:00:00,8.2
1972-08-14 12:00:00,8.2
1972-08-28 12:00:00,8.17
1972-09-14 12:00:00,8.06
1972-09-28 12:00:00,8.03
1972-10-13 12:00:00,8.03
1972-10-27 12:00:00,8.14
1972-11-14 12:00:00,7.95
1972-11-28 12:00:00,8.0
1972-12-14 12:00:00,7.89
1973-01-02 12:00:00,7.89
1973-01-15 12:00:00,8.12
1973-01-29 12:00:00,7.89
1973-02-14 12:00:00,8.11
1973-02-28 12:00:00,7.89
1973-03-14 12:00:00,7.93
1973-03-28 12:00:00,7.95
1973-04-13 12:00:00,7.82
1973-05-01 12:00:00,7.92
1973-05-14 12:00:00,7.82
1973-05-28 12:00:00,7.96
1973-06-14 12:00:00,7.83
1973-06-28 12:00:00,7.87
1973-07-16 12:00:00,7.82
1973-07-30 12:00:00,7.76
1973-08-14 12:00:00,7.77
1973-08-28 12:00:00,7.61
1973-09-14 12:00:00,7.62
1973-09-28 12:00:00,7.6
1973-10-15 12:00:00,7.78
1973-10-29 12:00:00,7.53
1973-11-14 12:00:00,7.66
1973-11-28 12:00:00,7.58
1973-12-14 12:00:00,7.84
1974-01-02 12:00:00,7.82
1974-01-14 12:00:00,7.83
1974-01-28 12:00:00,7.98
1974-02-14 12:00:00,8.12
1974-02-28 12:00:00,8.19
1974-03-14 12:00:00,8.19
1974-03-28 12:00:00,8.22
1974-04-17 12:00:00,7.87
1974-04-29 12:00:00,7.97
1974-05-14 12:00:00,7.78
1974-05-28 12:00:00,7.81
1974-06-14 12:00:00,7.74
1974-06-28 12:00:00,7.73
1974-07-29 12:00:00,7.52
1974-08-14 12:00:00,7.48
1974-08-28 12:00:00,7.41
1974-09-13 12:00:00,7.46
1974-09-27 12:00:00,7.59
1974-10-14 12:00:00,7.47
1974-10-28 12:00:00,7.74
1974-11-14 12:00:00,8.02
1974-11-28 12:00:00,8.07
1974-12-16 12:00:00,8.33
1975-01-01 12:00:00,8.24
1975-01-14 12:00:00,8.48
1975-01-28 12:00:00,8.39
1975-02-14 12:00:00,8.53
1975-02-28 12:00:00,8.42
1975-03-14 12:00:00,8.53
1975-03-27 12:00:00,8.73
1975-04-14 12:00:00,8.83
1975-04-28 12:00:00,8.8
1975-05-14 12:00:00,8.6
1975-05-28 12:00:00,8.33
1975-06-17 12:00:00,8.41
1975-07-10 12:00:00,8.46
1975-07-28 12:00:00,8.33
1975-08-14 12:00:00,8.17
1975-08-28 12:00:00,8.15
1975-09-15 12:00:00,8.28
1975-09-29 12:00:00,8.13
1975-10-14 12:00:00,8.17
1975-10-28 12:00:00,8.11
1975-11-14 12:00:00,8.04
1975-11-28 12:00:00,8.07
1975-12-15 12:00:00,8.17
1975-12-29 12:00:00,8.13
1976-01-14 12:00:00,8.07
1976-01-28 12:00:00,8.12
1976-02-16 12:00:00,7.94
1976-02-26 12:00:00,8.02
1976-03-15 12:00:00,8.31
1976-03-29 12:00:00,8.08
1976-04-14 12:00:00,7.99
1976-04-28 12:00:00,7.94
1976-05-14 12:00:00,7.83
1976-05-26 12:00:00,7.8
1976-06-14 12:00:00,7.58
1976-06-28 12:00:00,7.41
1976-08-13 12:00:00,7.2
1976-08-27 12:00:00,7.01
1976-09-14 12:00:00,7.19
1976-09-27 12:00:00,7.24
1976-10-14 12:00:00,7.2
1976-10-25 12:00:00,7.19
1976-11-15 12:00:00,6.98
1976-11-29 12:00:00,7.17
1976-12-13 12:00:00,6.97
1976-12-27 12:00:00,7.17
1977-01-14 12:00:00,7.22
1977-01-28 12:00:00,7.08
1977-02-14 12:00:00,7.09
1977-02-28 12:00:00,7.01
1977-03-14 12:00:00,7.18
1977-03-28 12:00:00,7.09
1977-04-14 12:00:00,7.24
1977-04-28 12:00:00,7.32
1977-05-12 12:00:00,7.26
1977-05-26 12:00:00,7.26
1977-06-14 12:00:00,7.22
1977-06-28 12:00:00,7.42
1977-08-15 12:00:00,7.07
1977-08-29 12:00:00,7.06
1977-09-14 12:00:00,7.09
1977-09-29 12:00:00,7.11
1977-10-14 12:00:00,7.04
1977-10-28 12:00:00,7.15
1977-11-14 12:00:00,7.37
1977-11-28 12:00:00,7.05
1977-12-15 12:00:00,7.12
1977-12-28 12:00:00,7.49
1978-01-13 12:00:00,7.25
1978-01-30 12:00:00,7.59
1978-02-14 12:00:00,7.5
1978-02-28 12:00:00,7.45
1978-03-14 12:00:00,7.48
1978-03-28 12:00:00,7.51
1978-04-14 12:00:00,7.58
1978-04-28 12:00:00,7.52
1978-05-12 12:00:00,7.57
1978-05-26 12:00:00,7.42
1978-06-13 12:00:00,7.28
1978-06-28 12:00:00,7.28
1978-07-13 12:00:00,7.36
1978-07-31 12:00:00,7.28
1978-08-14 12:00:00,7.34
1978-08-28 12:00:00,7.18
1978-09-14 12:00:00,7.26
1978-09-28 12:00:00,7.38
1978-10-13 12:00:00,7.23
1978-10-27 12:00:00,7.27
1978-11-14 12:00:00,7.25
1978-11-28 12:00:00,7.17
1978-12-14 12:00:00,7.49
1979-01-15 12:00:00,7.2
1979-02-15 12:00:00,7.55
1979-02-28 12:00:00,7.82
1979-03-14 12:00:00,7.81
1979-03-28 12:00:00,7.9
1979-04-12 12:00:00,7.81
1979-04-27 12:00:00,7.76
1979-05-14 12:00:00,7.91
1979-05-28 12:00:00,7.98
1979-06-14 12:00:00,8.1
1979-06-28 12:00:00,7.99
1979-07-13 12:00:00,7.77
1979-07-27 12:00:00,7.87
1979-08-14 12:00:00,7.82
1979-09-14 12:00:00,7.74
1979-09-28 12:00:00,7.56
1979-10-12 12:00:00,7.79
1979-10-29 12:00:00,7.75
1979-11-14 12:00:00,7.86
1979-11-28 12:00:00,7.75
1979-12-14 12:00:00,7.82
1979-12-28 12:00:00,7.81
1980-01-14 12:00:00,8.05
1980-01-28 12:00:00,7.95
1980-02-28 12:00:00,8.16
1980-03-14 12:00:00,8.36
1980-03-28 12:00:00,8.37
1980-04-14 12:00:00,8.31
1980-04-28 12:00:00,8.26
1980-05-14 12:00:00,8.19
1980-05-28 12:00:00,7.93
1980-06-27 12:00:00,7.96
1980-07-14 12:00:00,8.02
1980-07-28 12:00:00,8.29
1980-08-14 12:00:00,8.21
1980-08-28 12:00:00,7.99
1980-09-16 12:00:00,8.02
1980-09-29 12:00:00,8.02
1980-10-14 12:00:00,8.07
1980-10-28 12:00:00,8.05
1980-11-14 12:00:00,8.07
1980-11-28 12:00:00,8.18
1980-12-15 12:00:00,8.06
1980-12-29 12:00:00,8.17
1981-01-14 12:00:00,8.61
1981-01-28 12:00:00,8.35
1981-02-13 12:00:00,8.61
1981-02-27 12:00:00,8.46
1981-03-13 12:00:00,8.63
1981-03-27 12:00:00,8.69
1981-04-14 12:00:00,8.5
1981-04-28 12:00:00,8.4
1981-05-14 12:00:00,8.51
1981-05-27 12:00:00,8.47
1981-06-15 12:00:00,8.36
1981-06-30 12:00:00,8.35
1981-07-14 12:00:00,8.28
1981-07-28 12:00:00,8.28
1981-08-14 12:00:00,8.28
1981-08-28 12:00:00,7.97
1981-09-14 12:00:00,7.87
1981-09-28 12:00:00,7.83
1981-10-14 12:00:00,7.89
1981-10-28 12:00:00,7.97
1981-11-13 12:00:00,7.96
1981-11-27 12:00:00,8.18
1981-12-14 12:00:00,8.49
1981-12-28 12:00:00,8.53
1982-01-15 12:00:00,8.39
1982-01-28 12:00:00,8.28
1982-02-15 12:00:00,8.42
1982-03-01 12:00:00,8.54
1982-03-15 12:00:00,8.49
1982-03-29 12:00:00,8.52
1982-04-14 12:00:00,8.33
1982-04-28 12:00:00,8.24
1982-05-14 12:00:00,8.12
1982-05-28 12:00:00,7.98
1982-06-14 12:00:00,7.85
1982-06-28 12:00:00,7.94
1982-07-14 12:00:00,7.89
1982-07-28 12:00:00,7.66
1982-08-30 12:00:00,7.69
1982-09-14 12:00:00,7.48
1982-09-29 12:00:00,7.45
1982-10-14 12:00:00,7.54
1982-10-28 12:00:00,7.44
1982-11-15 12:00:00,7.6
1982-11-29 12:00:00,7.46
1982-12-14 12:00:00,7.65
1982-12-28 12:00:00,8.01
1983-01-14 12:00:00,7.99
1983-01-28 12:00:00,7.98
1983-02-16 12:00:00,7.84
1983-02-28 12:00:00,8.01
1983-03-14 12:00:00,8.14
1983-03-28 12:00:00,8.05
1983-04-14 12:00:00,8.05
1983-04-28 12:00:00,8.14
1983-05-13 12:00:00,8.3
1983-05-28 12:00:00,8.33
1983-06-14 12:00:00,8.26
1983-06-28 12:00:00,8.07
1983-07-14 12:00:00,7.94
1983-07-28 12:00:00,7.83
1983-08-14 12:00:00,7.81
1983-08-28 12:00:00,7.55
1983-09-14 12:00:00,7.67
1983-09-28 12:00:00,7.66
1983-10-14 12:00:00,7.7
1983-10-28 12:00:00,7.65
1983-11-14 12:00:00,7.48
1983-11-24 12:00:00,7.39
1983-12-14 12:00:00,7.54
1983-12-28 12:00:00,7.46
1984-01-13 12:00:00,7.82
1984-01-27 12:00:00,7.86
1984-02-14 12:00:00,7.85
1984-02-28 12:00:00,8.12
1984-03-14 12:00:00,8.12
1984-03-28 12:00:00,8.14
1984-04-14 12:00:00,8.07
1984-04-27 12:00:00,8.0
1984-05-14 12:00:00,8.0
1984-05-28 12:00:00,7.97
1984-06-14 12:00:00,7.97
1984-06-28 12:00:00,7.97
1984-07-14 12:00:00,7.94
1984-07-27 12:00:00,7.95
1984-08-14 12:00:00,7.9
