date,B28H1804_2
2012-06-06 20:00:00,19.384
2012-06-07 20:00:00,19.382
2012-06-08 20:00:00,19.367
2012-06-09 20:00:00,19.339
2012-06-10 20:00:00,19.308
2012-06-11 20:00:00,19.298
2012-06-12 20:00:00,19.269
2012-06-13 20:00:00,19.239
2012-06-14 20:00:00,19.206
2012-06-15 20:00:00,19.255
2012-06-16 20:00:00,19.253
2012-06-17 20:00:00,19.26
2012-06-18 20:00:00,19.327
2012-06-19 20:00:00,19.292
2012-06-20 20:00:00,19.255
2012-06-21 20:00:00,19.238
2012-06-22 20:00:00,19.309
2012-06-23 20:00:00,19.252
2012-06-24 20:00:00,19.358
2012-06-25 20:00:00,19.34
2012-06-26 20:00:00,19.288
2012-06-27 20:00:00,19.281
2012-06-28 20:00:00,19.231
2012-06-29 20:00:00,19.2
2012-06-30 20:00:00,19.14
2012-07-01 20:00:00,19.109
2012-07-02 20:00:00,19.076
2012-07-03 20:00:00,19.056
2012-07-04 20:00:00,19.02
2012-07-05 20:00:00,19.01
2012-07-06 20:00:00,18.989
2012-07-07 20:00:00,18.972
2012-07-08 20:00:00,19.155
2012-07-09 20:00:00,19.132
2012-07-10 20:00:00,19.1
2012-07-11 20:00:00,19.062
2012-07-12 20:00:00,19.147
2012-07-13 20:00:00,19.249
2012-07-14 20:00:00,19.232
2012-07-15 20:00:00,19.211
2012-07-16 20:00:00,19.242
2012-07-17 20:00:00,19.362
2012-07-18 20:00:00,19.332
2012-07-19 20:00:00,19.407
2012-07-20 20:00:00,19.353
2012-07-21 20:00:00,19.321
2012-07-22 20:00:00,19.28
2012-07-23 20:00:00,19.225
2012-07-24 20:00:00,19.163
2012-07-25 20:00:00,19.096
2012-07-26 20:00:00,19.057
2012-07-27 20:00:00,19.023
2012-07-28 20:00:00,19.251
2012-07-29 20:00:00,19.287
2012-07-30 20:00:00,19.26
2012-07-31 20:00:00,19.237
2012-08-01 20:00:00,19.181
2012-08-02 20:00:00,19.138
2012-08-03 20:00:00,19.091
2012-08-04 20:00:00,19.06
2012-08-05 20:00:00,19.053
2012-08-06 20:00:00,19.111
2012-08-07 20:00:00,19.13
2012-08-08 20:00:00,19.253
2012-08-09 20:00:00,19.229
2012-08-10 20:00:00,19.175
2012-08-11 20:00:00,19.138
2012-08-12 20:00:00,19.071
2012-08-13 20:00:00,19.015
2012-08-14 20:00:00,18.978
2012-08-15 20:00:00,18.94
2012-08-16 20:00:00,18.953
2012-08-17 20:00:00,18.918
2012-08-18 20:00:00,18.876
2012-08-19 20:00:00,18.849
2012-08-20 20:00:00,18.85
2012-08-21 20:00:00,18.869
2012-08-22 20:00:00,18.849
2012-08-23 20:00:00,18.847
2012-08-24 20:00:00,18.839
2012-08-25 20:00:00,18.883
2012-08-26 20:00:00,18.991
2012-08-27 20:00:00,18.982
2012-08-28 20:00:00,18.989
2012-08-29 20:00:00,18.942
2012-08-30 20:00:00,18.916
2012-08-31 20:00:00,18.944
2012-09-01 20:00:00,18.899
2012-09-02 20:00:00,18.871
2012-09-03 20:00:00,18.857
2012-09-04 20:00:00,18.836
2012-09-05 20:00:00,18.827
2012-09-06 20:00:00,18.83
2012-09-07 20:00:00,18.832
2012-09-08 20:00:00,18.815
2012-09-09 20:00:00,18.782
2012-09-10 20:00:00,18.791
2012-09-11 20:00:00,18.877
2012-09-12 20:00:00,18.888
2012-09-13 20:00:00,18.882
2012-09-14 20:00:00,18.934
2012-09-15 20:00:00,18.916
2012-09-16 20:00:00,18.891
2012-09-17 20:00:00,18.876
2012-09-18 20:00:00,18.884
2012-09-19 20:00:00,18.929
2012-09-20 20:00:00,18.933
2012-09-21 20:00:00,18.913
2012-09-22 20:00:00,18.866
2012-09-23 20:00:00,18.877
2012-09-24 20:00:00,19.209
2012-09-25 20:00:00,19.157
2012-09-26 20:00:00,19.173
2012-09-27 20:00:00,19.253
2012-09-28 20:00:00,19.219
2012-09-29 20:00:00,19.174
2012-09-30 20:00:00,19.127
2012-10-01 20:00:00,19.095
2012-10-02 20:00:00,19.092
2012-10-03 20:00:00,19.217
2012-10-04 20:00:00,19.357
2012-10-05 20:00:00,19.407
2012-10-06 20:00:00,19.499
2012-10-07 20:00:00,19.455
2012-10-08 20:00:00,19.442
2012-10-09 20:00:00,19.418
2012-10-10 20:00:00,19.409
2012-10-11 20:00:00,19.393
2012-10-12 20:00:00,19.446
2012-10-13 20:00:00,19.505
2012-10-14 20:00:00,19.515
2012-10-15 20:00:00,19.485
2012-10-16 20:00:00,19.479
2012-10-17 20:00:00,19.467
2012-10-18 20:00:00,19.446
2012-10-19 20:00:00,19.425
2012-10-20 20:00:00,19.424
2012-10-21 20:00:00,19.433
2012-10-22 20:00:00,19.425
2012-10-23 20:00:00,19.43
2012-10-24 20:00:00,19.442
2012-10-25 20:00:00,19.437
2012-10-26 20:00:00,19.435
2012-10-27 20:00:00,19.427
2012-10-28 20:00:00,19.425
2012-10-29 20:00:00,19.449
2012-10-30 20:00:00,19.488
2012-10-31 20:00:00,19.479
2012-11-01 20:00:00,19.507
2012-11-02 20:00:00,19.488
2012-11-03 20:00:00,19.495
2012-11-04 20:00:00,19.5
2012-11-05 20:00:00,19.491
2012-11-06 20:00:00,19.481
2012-11-07 20:00:00,19.506
2012-11-08 20:00:00,19.501
2012-11-09 20:00:00,19.506
2012-11-10 20:00:00,19.506
2012-11-11 20:00:00,19.489
2012-11-12 20:00:00,19.48
2012-11-13 20:00:00,19.477
2012-11-14 20:00:00,19.478
2012-11-15 20:00:00,19.481
2012-11-16 20:00:00,19.479
2012-11-17 20:00:00,19.478
2012-11-18 20:00:00,19.498
2012-11-19 20:00:00,19.498
2012-11-20 20:00:00,19.495
2012-11-21 20:00:00,19.495
2012-11-22 20:00:00,19.487
2012-11-23 20:00:00,19.507
2012-11-24 20:00:00,19.499
2012-11-25 20:00:00,19.517
2012-11-26 20:00:00,19.527
2012-11-27 20:00:00,19.52
2012-11-28 20:00:00,19.516
2012-11-29 20:00:00,19.511
2012-11-30 20:00:00,19.503
2012-12-01 20:00:00,19.503
2012-12-02 20:00:00,19.529
2012-12-03 20:00:00,19.537
2012-12-04 20:00:00,19.569
2012-12-05 20:00:00,19.562
2012-12-06 20:00:00,19.545
2012-12-07 20:00:00,19.542
2012-12-08 20:00:00,19.52
2012-12-09 20:00:00,19.591
2012-12-10 20:00:00,19.603
2012-12-11 20:00:00,19.588
2012-12-12 20:00:00,19.602
2012-12-13 20:00:00,19.587
2012-12-14 20:00:00,19.594
2012-12-15 20:00:00,19.613
2012-12-16 20:00:00,19.615
2012-12-17 20:00:00,19.623
2012-12-18 20:00:00,19.636
2012-12-19 20:00:00,19.63
2012-12-20 20:00:00,19.606
2012-12-21 20:00:00,19.623
2012-12-22 20:00:00,19.625
2012-12-23 20:00:00,19.674
2012-12-24 20:00:00,19.66
2012-12-25 20:00:00,19.685
2012-12-26 20:00:00,19.671
2012-12-27 20:00:00,19.684
2012-12-28 20:00:00,19.652
