Date,Head_314740
1967-11-01 07:01:00,330.13
1967-11-02 07:01:00,330.14
1967-11-06 07:01:00,330.18
1967-11-09 07:01:00,330.29
1967-11-13 07:01:00,330.27
1967-11-16 07:01:00,330.22
1967-11-20 07:01:00,330.21
1967-11-23 07:01:00,330.16
1967-11-27 07:01:00,330.14
1967-11-30 07:01:00,330.14
1967-12-04 07:01:00,330.09
1967-12-07 07:01:00,330.12
1967-12-11 07:01:00,330.0
1967-12-14 07:01:00,330.0
1967-12-18 07:01:00,329.99
1967-12-21 07:01:00,329.99
1967-12-25 07:01:00,330.06
1967-12-28 07:01:00,330.05
1968-01-01 07:01:00,329.97
1968-01-04 07:01:00,329.95
1968-01-08 07:01:00,329.94
1968-01-11 07:01:00,329.92
1968-01-15 07:01:00,329.83
1968-01-18 07:01:00,330.12
1968-01-22 07:01:00,330.0
1968-01-25 07:01:00,330.0
1968-01-29 07:01:00,329.95
1968-02-01 07:01:00,329.96
1968-02-05 07:01:00,329.95
1968-02-08 07:01:00,329.96
1968-02-12 07:01:00,329.96
1968-02-15 07:01:00,329.97
1968-02-19 07:01:00,329.93
1968-02-22 07:01:00,329.94
1968-02-26 07:01:00,330.1
1968-02-29 07:01:00,330.03
1968-03-04 07:01:00,329.98
1968-03-07 07:01:00,329.97
1968-03-11 07:01:00,329.94
1968-03-14 07:01:00,329.92
1968-03-18 07:01:00,329.93
1968-03-21 07:01:00,329.97
1968-03-25 07:01:00,329.98
1968-03-28 07:01:00,330.07
1968-04-01 07:01:00,330.81
1968-04-04 07:01:00,330.68
1968-04-08 07:01:00,330.75
1968-04-11 07:01:00,330.55
1968-04-15 07:01:00,330.41
1968-04-18 07:01:00,330.43
1968-04-22 07:01:00,330.69
1968-04-25 07:01:00,330.86
1968-04-29 07:01:00,330.67
1968-05-02 07:01:00,330.61
1968-05-06 07:01:00,330.57
1968-05-09 07:01:00,330.53
1968-05-13 07:01:00,330.56
1968-05-16 07:01:00,330.46
1968-05-20 07:01:00,330.39
1968-05-23 07:01:00,330.34
