,40CP0393-004
2000-01-14 00:00:00,8.400
2000-01-28 00:00:00,8.260
2000-02-14 00:00:00,8.320
2000-02-28 00:00:00,8.540
2000-03-14 00:00:00,8.640
2000-03-27 00:00:00,8.490
2000-04-14 00:00:00,8.290
2000-04-27 00:00:00,8.240
2000-05-15 00:00:00,8.100
2000-05-28 00:00:00,8.080
2000-06-14 00:00:00,8.150
2000-06-28 00:00:00,8.010
2000-07-14 00:00:00,7.910
2000-07-28 00:00:00,7.940
2000-08-14 00:00:00,8.000
2000-08-28 00:00:00,7.920
2000-09-14 00:00:00,7.890
2000-09-28 00:00:00,7.900
2000-10-13 00:00:00,7.930
2000-10-30 00:00:00,7.990
2000-11-14 00:00:00,8.050
2000-11-27 00:00:00,8.130
2000-12-14 00:00:00,8.300
2000-12-28 00:00:00,8.260
2001-01-15 00:00:00,8.130
2001-01-29 00:00:00,8.270
2001-02-14 00:00:00,8.240
2001-02-28 00:00:00,8.120
2001-03-15 00:00:00,8.070
2001-05-14 00:00:00,8.150
2001-05-28 00:00:00,8.080
2001-06-14 00:00:00,8.060
2001-06-28 00:00:00,7.910
2001-07-14 00:00:00,7.840
2001-07-27 00:00:00,8.070
2001-08-14 00:00:00,8.130
2001-08-28 00:00:00,8.120
2001-09-14 00:00:00,8.240
2001-10-02 00:00:00,8.320
2001-10-15 00:00:00,8.150
2001-10-28 00:00:00,8.050
2001-11-13 00:00:00,8.070
2001-11-28 00:00:00,8.060
2001-12-14 00:00:00,8.100
2001-12-28 00:00:00,8.150
2002-01-14 00:00:00,8.240
2002-01-28 00:00:00,8.430
2002-02-13 00:00:00,8.550
2002-02-28 00:00:00,8.750
2002-03-14 00:00:00,8.710
2002-03-28 00:00:00,8.550
2002-04-14 00:00:00,8.350
2002-05-01 00:00:00,8.000
2002-05-14 00:00:00,8.230
2002-05-28 00:00:00,8.210
2002-06-19 00:00:00,7.980
2002-06-28 00:00:00,8.070
2002-07-12 00:00:00,7.990
2002-07-26 00:00:00,7.940
2002-08-14 00:00:00,7.880
2002-08-28 00:00:00,7.950
2002-10-16 00:00:00,7.790
2002-10-28 00:00:00,7.820
2002-11-15 00:00:00,8.370
2002-11-28 00:00:00,8.450
2002-12-13 00:00:00,8.380
2002-12-27 00:00:00,8.540
2003-01-15 00:00:00,8.830
2003-01-29 00:00:00,8.520
2003-02-13 00:00:00,8.460
2003-02-28 00:00:00,8.230
2003-03-14 00:00:00,7.930
2003-03-28 00:00:00,8.120
2003-04-14 00:00:00,7.980
2003-04-28 00:00:00,7.940
2003-05-14 00:00:00,7.880
2003-05-28 00:00:00,7.940
2003-06-11 00:00:00,7.880
2003-06-27 00:00:00,7.810
2003-07-14 00:00:00,7.680
2003-07-28 00:00:00,7.400
2003-08-14 00:00:00,7.450
2003-08-28 00:00:00,7.370
2003-09-15 00:00:00,7.360
2003-09-29 00:00:00,7.350
2003-10-14 00:00:00,7.360
2003-10-27 00:00:00,7.370
2003-11-13 00:00:00,7.380
2003-11-28 00:00:00,7.340
2003-12-15 00:00:00,7.420
2003-12-29 00:00:00,7.690
2004-01-14 00:00:00,7.790
2004-01-28 00:00:00,8.470
2004-02-13 00:00:00,8.450
2004-02-26 00:00:00,8.360
2004-03-15 00:00:00,8.080
2004-03-29 00:00:00,8.080
2004-04-14 00:00:00,8.070
2004-04-28 00:00:00,8.000
2004-05-14 00:00:00,7.930
