,B16G0187_2
2005-01-01,-0.3776450899
2005-01-02,-0.2921045308
2005-01-03,-0.3756981116
2005-01-04,-0.3526680429
2005-01-05,-0.3383907971
2005-01-06,-0.3205353652
2005-01-07,-0.3196400774
2005-01-08,-0.2314931263
2005-01-09,-0.3081229773
2005-01-10,-0.2993703668
2005-01-11,-0.3366735500
2005-01-12,-0.3099479933
2005-01-13,-0.3252346513
2005-01-14,-0.3760742878
2005-01-15,-0.3657652808
2005-01-16,-0.3236369302
2005-01-17,-0.3006850627
2005-01-18,-0.1592858915
2005-01-19,-0.2478576523
2005-01-20,-0.2494123538
2005-01-21,-0.2615480718
2005-01-22,-0.3243305718
2005-01-23,-0.3589491618
2005-01-24,-0.3196990003
2005-01-25,-0.3413256851
2005-01-26,-0.3634196704
2005-01-27,-0.2893546743
2005-01-28,-0.2348943611
2005-01-29,-0.3068569300
2005-01-30,-0.3331127500
2005-01-31,-0.3145954681
2005-02-01,-0.2898154070
2005-02-02,-0.3195340184
2005-02-03,-0.3240060096
2005-02-04,-0.3275062067
2005-02-05,-0.2667049130
2005-02-06,-0.2695442138
2005-02-07,-0.2898481523
2005-02-08,-0.2866182698
2005-02-09,-0.2966921439
2005-02-10,-0.2566246835
2005-02-11,-0.2676322048
2005-02-12,-0.1556023879
2005-02-13,-0.1128121873
2005-02-14,-0.1856683491
2005-02-15,-0.2356534934
2005-02-16,-0.2906549646
2005-02-17,-0.2644749096
2005-02-18,-0.2244465498
2005-02-19,-0.1247858888
2005-02-20,-0.1285588367
2005-02-21,-0.1627492270
2005-02-22,-0.2185298501
2005-02-23,-0.1854251659
2005-02-24,-0.1825071348
2005-02-25,-0.2366922608
2005-02-26,-0.2206650226
2005-02-27,-0.2586291021
2005-02-28,-0.2818121834
2005-03-01,-0.1516549250
2005-03-02,-0.1332930921
2005-03-03,-0.2161466217
2005-03-04,-0.2516570282
2005-03-05,-0.1654563141
2005-03-06,-0.3028483582
2005-03-07,-0.2845263672
2005-03-08,-0.2728181076
2005-03-09,-0.2752299500
2005-03-10,-0.2614598465
2005-03-11,-0.0988612366
2005-03-12,-0.0228133392
2005-03-13,-0.0954384995
2005-03-14,-0.1208005142
2005-03-15,-0.1557316971
2005-03-16,-0.1713299942
2005-03-17,-0.1601662827
2005-03-18,-0.2091012192
2005-03-19,-0.2034611893
2005-03-20,-0.1966147614
2005-03-21,-0.1534371567
2005-03-22,-0.1166377258
2005-03-23,-0.1780982208
2005-03-24,-0.1877455902
2005-03-25,-0.1974702072
2005-03-26,-0.1768927765
2005-03-27,-0.1518416595
2005-03-28,-0.2029166412
2005-03-29,-0.2222495270
2005-03-30,-0.2281623077
2005-03-31,-0.2769799423
2005-04-01,-0.2859273148
2005-04-02,-0.2665553284
2005-04-03,-0.2437997055
2005-04-04,-0.2552743149
2005-04-05,-0.2613816452
2005-04-06,-0.2502570343
2005-04-07,-0.1376052094
2005-04-08,-0.1668954086
2005-04-09,-0.2863545609
2005-04-10,-0.3090720367
2005-04-11,-0.3478541565
2005-04-12,-0.3045592499
2005-04-13,-0.2421660614
2005-04-14,-0.2094130707
2005-04-15,-0.2181649399
2005-04-16,-0.2702508163
2005-04-17,-0.2446160507
2005-04-18,-0.2459778976
2005-04-19,-0.2770581436
2005-04-20,-0.3173184586
2005-04-21,-0.3676924896
2005-04-22,-0.3335004044
2005-04-23,-0.3023429108
2005-04-24,-0.2958073807
2005-04-25,-0.2949519348
2005-04-26,-0.3270821762
2005-04-27,-0.3140120697
2005-04-28,-0.3647751999
2005-04-29,-0.3455205154
2005-04-30,-0.3398022842
2005-05-01,-0.2997756195
2005-05-02,-0.2990355682
2005-05-03,-0.3280549240
2005-05-04,-0.3154120636
2005-05-05,-0.3630643082
2005-05-06,-0.3100056839
2005-05-07,-0.2901282501
2005-05-08,-0.3149457169
2005-05-09,-0.3153348160
2005-05-10,-0.3574233246
2005-05-11,-0.3905654144
2005-05-12,-0.3958554459
2005-05-13,-0.3729443741
2005-05-14,-0.3292994690
2005-05-15,-0.3206639481
2005-05-16,-0.3271212769
2005-05-17,-0.3528723907
2005-05-18,-0.3722834778
2005-05-19,-0.3853526306
2005-05-20,-0.3525223923
2005-05-21,-0.3322167587
2005-05-22,-0.3357567978
2005-05-23,-0.3677706909
2005-05-24,-0.4157719803
2005-05-25,-0.4186892700
2005-05-26,-0.4039473724
2005-05-27,-0.3974890900
2005-05-28,-0.3788962555
2005-05-29,-0.4331603241
2005-05-30,-0.4194283676
2005-05-31,-0.4509759140
2005-06-01,-0.4441685867
2005-06-02,-0.3897099686
2005-06-03,-0.3883872223
2005-06-04,-0.3745389175
2005-06-05,-0.4236684036
2005-06-06,-0.4529595566
2005-06-07,-0.5039563370
2005-06-08,-0.5234837723
2005-06-09,-0.4831843567
2005-06-10,-0.4229293060
