Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,14-01-2021,,,,,,,,
Gegevens beschikbaar:,06-06-2012,tot:,18-09-2019,,,,,,,,
Datum: ,14-01-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28H1804,001,,256559,485068,1944,01-12-2011,01-12-2011,06-06-2012,,,,
B28H1804,001,,256559,485068,1944,01-12-2011,06-06-2012,18-09-2019,2001,57,1846,1796


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28H1804,001,06-06-2012,65,8,1936,,,,,,
B28H1804,001,07-06-2012,65,8,1936,,,,,,
B28H1804,001,08-06-2012,64,7,1937,,,,,,
B28H1804,001,09-06-2012,68,11,1933,,,,,,
B28H1804,001,10-06-2012,71,14,1930,,,,,,
B28H1804,001,11-06-2012,74,17,1927,,,,,,
B28H1804,001,12-06-2012,74,17,1927,,,,,,
B28H1804,001,13-06-2012,79,22,1922,,,,,,
B28H1804,001,14-06-2012,82,25,1919,,,,,,
B28H1804,001,15-06-2012,82,25,1919,,,,,,
B28H1804,001,16-06-2012,78,21,1923,,,,,,
B28H1804,001,17-06-2012,75,18,1926,,,,,,
B28H1804,001,18-06-2012,68,11,1933,,,,,,
B28H1804,001,19-06-2012,72,15,1929,,,,,,
B28H1804,001,20-06-2012,76,19,1925,,,,,,
B28H1804,001,21-06-2012,79,22,1922,,,,,,
B28H1804,001,22-06-2012,70,13,1931,,,,,,
B28H1804,001,23-06-2012,75,18,1926,,,,,,
B28H1804,001,24-06-2012,73,16,1928,,,,,,
B28H1804,001,25-06-2012,69,12,1932,,,,,,
B28H1804,001,26-06-2012,71,14,1930,,,,,,
B28H1804,001,27-06-2012,74,17,1927,,,,,,
B28H1804,001,28-06-2012,78,21,1923,,,,,,
B28H1804,001,29-06-2012,83,26,1918,,,,,,
B28H1804,001,30-06-2012,88,31,1913,,,,,,
B28H1804,001,01-07-2012,94,37,1907,,,,,,
B28H1804,001,02-07-2012,97,40,1904,,,,,,
B28H1804,001,03-07-2012,101,44,1900,,,,,,
B28H1804,001,04-07-2012,104,47,1897,,droog,,,,
B28H1804,001,05-07-2012,105,48,1896,,droog,,,,
B28H1804,001,06-07-2012,104,47,1897,,droog,,,,
B28H1804,001,07-07-2012,104,47,1897,,droog,,,,
B28H1804,001,08-07-2012,104,47,1897,,droog,,,,
B28H1804,001,09-07-2012,89,32,1912,,,,,,
B28H1804,001,10-07-2012,95,38,1906,,,,,,
B28H1804,001,11-07-2012,98,41,1903,,,,,,
B28H1804,001,12-07-2012,86,29,1915,,,,,,
B28H1804,001,13-07-2012,85,28,1916,,,,,,
