Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,22-01-2021,,,,,,,,
Gegevens beschikbaar:,28-08-1973,tot:,14-09-2018,,,,,,,,
Datum: ,22-01-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B46D0731,001,46DP0056,194682,401054,1781,28-08-1973,28-08-1973,08-11-1994,1781,0,984,884
B46D0731,001,46DP0056,194682,401054,1781,08-11-1994,08-11-1994,04-01-2011,1772,-9,1018,918
B46D0731,001,46DP0056,194682,401054,1778,04-01-2011,04-01-2011,02-07-2013,1867,89,1018,918
B46D0731,001,46DP0056,194682,401054,1778,02-07-2013,02-07-2013,14-09-2018,1858,80,1018,918


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B46D0731,001,28-08-1973,251,251,1530,,,,,,
B46D0731,001,14-09-1973,257,257,1524,,,,,,
B46D0731,001,28-09-1973,261,261,1520,,,,,,
B46D0731,001,15-10-1973,262,262,1519,,,,,,
B46D0731,001,29-10-1973,250,250,1531,,,,,,
B46D0731,001,14-11-1973,246,246,1535,,,,,,
B46D0731,001,28-11-1973,240,240,1541,,,,,,
B46D0731,001,14-12-1973,230,230,1551,,,,,,
B46D0731,001,03-01-1974,207,207,1574,,,,,,
B46D0731,001,14-01-1974,204,204,1577,,,,,,
B46D0731,001,28-01-1974,191,191,1590,,,,,,
B46D0731,001,14-02-1974,174,174,1607,,,,,,
B46D0731,001,28-02-1974,178,178,1603,,,,,,
B46D0731,001,14-03-1974,183,183,1598,,,,,,
B46D0731,001,28-03-1974,162,162,1619,,,,,,
B46D0731,001,15-04-1974,184,184,1597,,,,,,
B46D0731,001,29-04-1974,191,191,1590,,,,,,
B46D0731,001,14-05-1974,202,202,1579,,,,,,
B46D0731,001,29-05-1974,209,209,1572,,,,,,
B46D0731,001,14-06-1974,217,217,1564,,,,,,
B46D0731,001,28-06-1974,228,228,1553,,,,,,
B46D0731,001,15-07-1974,223,223,1558,,,,,,
B46D0731,001,29-07-1974,229,229,1552,,,,,,
B46D0731,001,14-08-1974,233,233,1548,,,,,,
B46D0731,001,28-08-1974,238,238,1543,,,,,,
B46D0731,001,13-09-1974,239,239,1542,,,,,,
B46D0731,001,27-09-1974,242,242,1539,,,,,,
B46D0731,001,15-10-1974,242,242,1539,,,,,,
B46D0731,001,28-10-1974,229,229,1552,,,,,,
B46D0731,001,14-11-1974,214,214,1567,,,,,,
B46D0731,001,29-11-1974,197,197,1584,,,,,,
B46D0731,001,27-12-1974,145,145,1636,,,,,,
B46D0731,001,14-01-1975,143,143,1638,,,,,,
B46D0731,001,28-01-1975,138,138,1643,,,,,,
B46D0731,001,14-02-1975,145,145,1636,,,,,,
B46D0731,001,27-02-1975,151,151,1630,,,,,,
B46D0731,001,14-03-1975,154,154,1627,,,,,,
B46D0731,001,28-03-1975,147,147,1634,,,,,,
B46D0731,001,14-04-1975,148,148,1633,,,,,,
B46D0731,001,28-04-1975,156,156,1625,,,,,,
B46D0731,001,14-05-1975,171,171,1610,,,,,,
B46D0731,001,29-05-1975,190,190,1591,,,,,,
B46D0731,001,16-06-1975,197,197,1584,,,,,,
B46D0731,001,27-06-1975,204,204,1577,,,,,,
B46D0731,001,14-07-1975,220,220,1561,,,,,,
B46D0731,001,28-07-1975,228,228,1553,,,,,,
B46D0731,001,14-08-1975,236,236,1545,,,,,,
B46D0731,001,28-08-1975,245,245,1536,,,,,,
B46D0731,001,15-09-1975,255,255,1526,,,,,,
B46D0731,001,29-09-1975,258,258,1523,,,,,,
B46D0731,001,14-10-1975,258,258,1523,,,,,,
B46D0731,001,28-10-1975,261,261,1520,,,,,,
B46D0731,001,14-11-1975,265,265,1516,,,,,,
