WAARNEMINGDATUM_WAARNEMINGTIJD,Den Helder
2000-01-01 00:00:00,0.3317
2000-01-01 01:00:00,0.4033
2000-01-01 02:00:00,0.4200
2000-01-01 03:00:00,0.4167
2000-01-01 04:00:00,0.2900
2000-01-01 05:00:00,0.0150
2000-01-01 06:00:00,-0.3217
2000-01-01 07:00:00,-0.5200
2000-01-01 08:00:00,-0.6150
2000-01-01 09:00:00,-0.6017
2000-01-01 10:00:00,-0.3983
2000-01-01 11:00:00,0.0517
2000-01-01 12:00:00,0.3850
2000-01-01 13:00:00,0.5000
2000-01-01 14:00:00,0.5350
2000-01-01 15:00:00,0.5233
2000-01-01 16:00:00,0.4367
2000-01-01 17:00:00,0.2033
2000-01-01 18:00:00,-0.1400
2000-01-01 19:00:00,-0.4883
2000-01-01 20:00:00,-0.7000
2000-01-01 21:00:00,-0.8000
2000-01-01 22:00:00,-0.7500
2000-01-01 23:00:00,-0.3583
2000-01-02 00:00:00,0.1783
2000-01-02 01:00:00,0.4017
2000-01-02 02:00:00,0.4733
2000-01-02 03:00:00,0.5033
2000-01-02 04:00:00,0.4617
2000-01-02 05:00:00,0.3300
2000-01-02 06:00:00,0.0667
2000-01-02 07:00:00,-0.3200
2000-01-02 08:00:00,-0.5717
2000-01-02 09:00:00,-0.6833
2000-01-02 10:00:00,-0.7500
2000-01-02 11:00:00,-0.5983
2000-01-02 12:00:00,-0.1167
2000-01-02 13:00:00,0.2850
2000-01-02 14:00:00,0.3783
2000-01-02 15:00:00,0.4033
2000-01-02 16:00:00,0.4167
2000-01-02 17:00:00,0.3867
2000-01-02 18:00:00,0.2767
2000-01-02 19:00:00,-0.0300
2000-01-02 20:00:00,-0.3483
2000-01-02 21:00:00,-0.5100
2000-01-02 22:00:00,-0.5200
2000-01-02 23:00:00,-0.4083
2000-01-03 00:00:00,-0.0667
2000-01-03 01:00:00,0.4617
2000-01-03 02:00:00,0.7100
2000-01-03 03:00:00,0.7500
2000-01-03 04:00:00,0.7183
2000-01-03 05:00:00,0.5967
2000-01-03 06:00:00,0.3617
2000-01-03 07:00:00,0.0417
2000-01-03 08:00:00,-0.3733
2000-01-03 09:00:00,-0.6883
2000-01-03 10:00:00,-0.9200
2000-01-03 11:00:00,-1.0067
2000-01-03 12:00:00,-0.7617
2000-01-03 13:00:00,-0.1150
2000-01-03 14:00:00,0.1733
2000-01-03 15:00:00,0.2217
2000-01-03 16:00:00,0.2850
2000-01-03 17:00:00,0.3900
2000-01-03 18:00:00,0.4700
2000-01-03 19:00:00,0.4283
2000-01-03 20:00:00,0.2400
2000-01-03 21:00:00,0.0183
2000-01-03 22:00:00,-0.1133
2000-01-03 23:00:00,-0.0950
2000-01-04 00:00:00,0.0950
2000-01-04 01:00:00,0.5750
2000-01-04 02:00:00,1.1050
2000-01-04 03:00:00,1.3133
2000-01-04 04:00:00,1.5000
2000-01-04 05:00:00,1.5767
2000-01-04 06:00:00,1.4633
2000-01-04 07:00:00,1.1017
2000-01-04 08:00:00,0.5900
2000-01-04 09:00:00,0.1383
2000-01-04 10:00:00,-0.1883
2000-01-04 11:00:00,-0.4100
2000-01-04 12:00:00,-0.5600
2000-01-04 13:00:00,-0.4283
2000-01-04 14:00:00,0.1933
2000-01-04 15:00:00,0.5333
2000-01-04 16:00:00,0.5483
2000-01-04 17:00:00,0.5217
2000-01-04 18:00:00,0.4400
2000-01-04 19:00:00,0.3817
2000-01-04 20:00:00,0.2367
2000-01-04 21:00:00,-0.0433
2000-01-04 22:00:00,-0.3750
2000-01-04 23:00:00,-0.5850
2000-01-05 00:00:00,-0.6767
2000-01-05 01:00:00,-0.5317
2000-01-05 02:00:00,0.0983
2000-01-05 03:00:00,0.5667
2000-01-05 04:00:00,0.6567
2000-01-05 05:00:00,0.7200
2000-01-05 06:00:00,0.7617
2000-01-05 07:00:00,0.7233
2000-01-05 08:00:00,0.5133
2000-01-05 09:00:00,0.0867
2000-01-05 10:00:00,-0.2817
2000-01-05 11:00:00,-0.4583
2000-01-05 12:00:00,-0.5467
2000-01-05 13:00:00,-0.5200
2000-01-05 14:00:00,-0.0583
2000-01-05 15:00:00,0.5467
2000-01-05 16:00:00,0.6750
2000-01-05 17:00:00,0.6367
2000-01-05 18:00:00,0.6050
2000-01-05 19:00:00,0.5383
2000-01-05 20:00:00,0.4033
2000-01-05 21:00:00,0.0317
2000-01-05 22:00:00,-0.4567
2000-01-05 23:00:00,-0.8250
2000-01-06 00:00:00,-1.0200
2000-01-06 01:00:00,-1.0900
2000-01-06 02:00:00,-0.7750
2000-01-06 03:00:00,-0.0150
2000-01-06 04:00:00,0.2133
2000-01-06 05:00:00,0.2067
2000-01-06 06:00:00,0.2467
2000-01-06 07:00:00,0.3133
2000-01-06 08:00:00,0.3400
2000-01-06 09:00:00,0.2217
2000-01-06 10:00:00,-0.1117
2000-01-06 11:00:00,-0.4983
2000-01-06 12:00:00,-0.7267
2000-01-06 13:00:00,-0.7650
2000-01-06 14:00:00,-0.4533
2000-01-06 15:00:00,0.2850
2000-01-06 16:00:00,0.6517
2000-01-06 17:00:00,0.7133
