Date, Head
1995-01-14,15.7400
1995-01-28,15.9200
1995-02-15,16.1700
1995-03-01,16.2600
1995-03-15,16.1200
1995-03-28,16.0800
1995-04-14,15.9600
1995-04-28,15.5900
1995-05-16,15.8000
1995-05-30,15.7900
1995-06-15,15.7700
1995-06-29,15.6900
1995-07-15,15.4000
1995-07-28,14.8600
1995-08-15,15.1400
1995-08-29,15.0400
1995-09-15,15.0200
1995-09-29,14.9800
1995-10-14,14.9900
1995-10-28,14.9500
1995-11-15,14.9100
1995-11-29,14.8700
1995-12-15,14.8300
1995-12-29,14.8600
1996-01-16,14.8800
1996-01-30,14.9100
1996-02-15,14.9000
1996-02-29,14.9600
1996-03-15,14.9900
1996-03-30,14.9900
1996-04-17,15.0200
1996-04-30,14.9900
1996-05-15,14.9200
1996-05-29,14.9100
1996-06-14,14.9200
1996-06-29,14.8200
1996-07-13,14.7500
1996-07-30,14.6600
1996-08-15,14.5800
1996-08-29,14.6000
1996-09-14,14.7900
1996-10-01,14.7800
1996-10-15,14.7700
1996-10-29,14.7500
1996-11-15,14.8300
1996-11-29,14.8800
1996-12-14,15.2100
1996-12-25,14.9800
1997-01-15,15.1700
1997-01-29,15.1500
1997-02-14,15.2800
1997-03-01,15.4200
1997-03-15,15.4800
1997-03-29,15.4700
1997-04-15,15.4000
1997-04-29,15.3700
1997-05-15,15.4200
1997-05-29,15.4500
1997-06-14,15.3200
1997-06-28,15.3500
1997-07-15,15.3600
1997-07-29,15.2700
1997-08-15,14.9800
1997-08-29,15.0900
1997-09-16,15.0900
1997-09-30,14.9800
1997-10-15,14.9700
1997-10-29,14.9800
1997-11-15,14.9300
1997-11-29,14.9400
1997-12-16,14.9400
1997-12-30,15.0400
1998-01-15,15.2600
1998-01-29,15.3000
1998-02-17,15.1900
1998-02-28,15.1400
1998-03-14,15.3500
1998-03-28,15.3500
1998-04-15,15.4000
1998-04-29,15.4400
1998-05-15,15.3900
1998-05-29,15.2700
1998-06-16,15.4000
1998-06-30,15.4100
1998-07-15,15.2800
1998-07-28,15.2300
1998-08-13,15.1200
1998-08-28,15.0600
1998-09-15,15.2000
1998-09-26,15.4400
1998-10-16,15.4400
1998-10-29,15.5200
1998-11-13,16.0700
1998-11-28,15.9300
1998-12-15,15.9600
1998-12-29,15.9500
1999-01-15,16.0700
1999-01-29,16.1200
1999-02-13,15.9900
1999-03-02,16.2900
1999-03-16,16.2600
1999-03-30,16.2300
1999-04-15,16.1800
1999-04-29,16.0200
1999-05-13,15.9600
1999-05-29,15.8400
1999-06-15,15.7600
1999-06-29,15.6300
1999-07-14,15.5700
1999-07-29,15.2400
1999-08-14,15.2900
1999-08-28,15.3200
1999-09-15,15.1800
1999-09-29,15.1100
1999-10-15,15.0500
1999-10-29,14.9800
1999-11-16,14.9200
1999-11-30,14.8800
1999-12-15,14.9300
1999-12-29,15.0700
2000-01-15,15.2000
2000-01-29,15.1700
2000-02-15,15.2300
2000-02-29,15.3800
2000-03-15,15.7700
2000-03-29,15.7000
2000-04-15,15.6100
2000-04-29,15.6900
2000-05-15,15.5600
2000-05-30,15.5800
2000-06-15,15.6000
2000-06-29,15.4500
2000-07-15,15.4000
2000-07-29,15.3700
2000-08-15,15.2900
2000-08-29,15.2400
2000-09-15,15.2000
2000-09-29,15.1600
2000-10-14,15.1600
2000-10-28,15.1600
2000-11-15,15.1900
2000-11-29,15.2100
2000-12-15,15.2600
2000-12-29,15.3300
2001-01-16,15.5200
2001-01-30,15.6500
2001-02-15,15.9400
2001-03-01,15.9900
2001-03-15,16.0100
2001-03-29,16.1500
2001-04-14,16.1800
2001-04-28,16.1900
2001-05-15,16.0500
2001-05-29,15.8900
2001-06-15,15.7300
2001-06-29,15.6600
2001-07-14,15.5600
2001-07-28,15.5100
2001-08-15,15.4200
2001-08-29,15.3700
2001-09-15,15.4400
2001-09-29,15.6900
2001-10-16,15.7500
2001-10-30,15.6700
2001-11-15,15.6400
2001-11-29,15.7600
2001-12-15,15.8700
2001-12-29,15.9100
2002-01-15,15.9500
2002-01-30,16.2100
2002-02-15,16.2500
2002-03-01,16.5800
2002-03-16,16.4000
2002-03-30,16.2600
