DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
336,19270701,   12,     ,
336,19270702,    6,     ,
336,19270703,    0,     ,
336,19270704,   14,     ,
336,19270705,    0,     ,
336,19270706,   56,     ,
336,19270707,    3,     ,
336,19270708,    1,     ,
336,19270709,   57,     ,
336,19270710,  220,     ,
336,19270711,    1,     ,
336,19270712,    0,     ,
336,19270713,    0,     ,
336,19270714,    0,     ,
336,19270715,    0,     ,
336,19270716,    0,     ,
336,19270717,    0,     ,
336,19270718,   20,     ,
336,19270719,  170,     ,
336,19270720,    0,     ,
336,19270721,    0,     ,
336,19270722,   20,     ,
336,19270723,   44,     ,
336,19270724,    0,     ,
336,19270725,   36,     ,
336,19270726,    0,     ,
336,19270727,    0,     ,
336,19270728,   64,     ,
336,19270729,   16,     ,
336,19270730,    0,     ,
336,19270731,    0,     ,
336,19270801,   28,     ,
336,19270802,   10,     ,
336,19270803,    0,     ,
336,19270804,    0,     ,
336,19270805,    0,     ,
336,19270806,    0,     ,
336,19270807,    0,     ,
336,19270808,   98,     ,
336,19270809,   44,     ,
336,19270810,   12,     ,
336,19270811,    0,     ,
336,19270812,    0,     ,
336,19270813,   36,     ,
336,19270814,   83,     ,
336,19270815,   79,     ,
336,19270816,   89,     ,
336,19270817,    9,     ,
336,19270818,    0,     ,
336,19270819,   17,     ,
336,19270820,    9,     ,
336,19270821,   64,     ,
336,19270822,   20,     ,
336,19270823,   34,     ,
336,19270824,  153,     ,
336,19270825,   70,     ,
336,19270826,    4,     ,
336,19270827,    0,     ,
336,19270828,    0,     ,
336,19270829,    0,     ,
336,19270830,    0,     ,
336,19270831,    0,     ,
336,19270901,    0,     ,
336,19270902,    0,     ,
336,19270903,    0,     ,
336,19270904,    0,     ,
336,19270905,    0,     ,
336,19270906,    0,     ,
336,19270907,    0,     ,
336,19270908,    0,     ,
336,19270909,    5,     ,
336,19270910,    1,     ,
336,19270911,  356,     ,
336,19270912,  120,     ,
336,19270913,   72,     ,
336,19270914,   84,     ,
336,19270915,   26,     ,
