Date,Head
2003-01-01,-10.74
2003-01-02,-10.71
2003-01-03,-10.63
2003-01-04,-10.51
2003-01-05,-10.42
2003-01-06,-10.35
2003-01-07,-10.3
2003-01-08,-10.24
2003-01-09,-10.22
2003-01-10,-10.22
2003-01-11,-10.22
2003-01-12,-10.23
2003-01-13,-10.22
2003-01-14,-10.23
2003-01-15,-10.26
2003-01-16,-10.3
2003-01-17,-10.3
2003-01-18,-10.37
2003-01-19,-10.39
2003-01-20,-10.41
2003-01-21,-10.47
2003-01-22,-10.51
2003-01-23,-10.555
2003-01-24,-10.6
2003-01-25,-10.65
2003-01-26,-10.69
2003-01-27,-10.74
2003-01-28,-10.78
2003-01-29,-10.83
2003-01-30,-10.89
2003-01-31,-10.92
2003-02-01,-10.94
2003-02-02,-10.97
2003-02-03,-11.03
2003-02-04,-11.06
2003-02-05,-11.09
2003-02-21,-11.73
2003-02-22,-11.75
2003-02-23,-11.64
2003-02-24,-11.56
2003-02-25,-11.47
2003-02-26,-11.43
2003-02-27,-11.41
2003-02-28,-11.4
2003-03-01,-11.43
2003-03-02,-11.4
2003-03-03,-11.35
2003-03-04,-11.29
2003-03-05,-11.23
2003-03-06,-11.18
2003-03-07,-11.15
2003-03-08,-11.13
2003-03-09,-11.08
2003-03-10,-11.04
2003-03-11,-11.0
2003-03-12,-10.98
2003-03-13,-10.98
2003-03-14,-11.02
2003-03-15,-11.03
2003-03-16,-11.03
2003-03-17,-11.03
2003-03-18,-11.06
2003-03-19,-11.11
2003-03-20,-11.1
2003-03-21,-11.045
2003-03-22,-11.0
2003-03-23,-10.99
2003-03-24,-10.99
2003-03-25,-11.0
2003-03-26,-10.99
2003-03-27,-11.04
2003-03-28,-11.07
2003-03-29,-11.05
2003-03-30,-10.97
2003-03-31,-10.8
2003-04-01,-10.75
2003-04-02,-10.71
2003-04-03,-10.69
2003-04-04,-10.67
2003-04-05,-10.65
2003-04-06,-10.67
2003-04-07,-10.68
2003-04-08,-10.65
2003-04-09,-10.63
2003-04-10,-10.59
2003-04-11,-10.54
2003-04-12,-10.44
2003-04-13,-10.39
2003-04-14,-10.37
2003-04-15,-10.34
2003-04-16,-10.32
2003-04-17,-10.35
2003-04-18,-10.34
2003-04-19,-10.33
2003-04-20,-10.32
2003-04-21,-10.31
2003-04-22,-10.3
2003-04-23,-10.26
2003-04-24,-10.24
2003-04-25,-10.25
2003-04-26,-10.24
2003-04-27,-10.11
2003-04-28,-10.07
2003-04-29,-10.05
2003-04-30,-10.08
2003-05-01,-10.06
2003-05-02,-10.05
2003-05-03,-10.09
2003-05-04,-10.13
2003-05-05,-10.15
2003-05-06,-10.15
2003-05-07,-10.18
2003-05-08,-10.21
2003-05-09,-10.25
2003-05-10,-10.28
2003-05-11,-10.31
2003-05-12,-10.33
2003-05-13,-10.35
2003-05-14,-10.4
2003-05-15,-10.45
2003-05-16,-10.5
2003-05-17,-10.53
2003-05-18,-10.57
2003-05-19,-10.61
2003-05-20,-10.66
2003-05-21,-10.695
2003-05-22,-10.75
2003-05-23,-10.79
2003-05-24,-10.82
2003-05-25,-10.86
2003-05-26,-10.88
2003-05-27,-10.76
2003-05-28,-10.73
2003-05-29,-10.77
2003-05-30,-10.82
2003-05-31,-10.87
2003-06-01,-10.89
2003-06-02,-10.92
2003-06-03,-10.93
2003-06-04,-10.94
2003-06-05,-10.78
2003-06-06,-10.68
2003-06-07,-10.66
2003-06-08,-10.64
2003-06-09,-10.63
2003-06-10,-10.65
2003-06-11,-10.66
2003-06-12,-10.69
2003-06-13,-10.71
2003-06-14,-10.68
2003-06-15,-10.68
2003-06-16,-10.73
2003-06-17,-10.75
2003-06-18,-10.75
2003-06-19,-10.74
2003-06-20,-10.75
2003-06-21,-10.76
2003-06-22,-10.78
2003-06-23,-10.765
2003-06-24,-10.77
2003-06-25,-10.79
2003-06-26,-10.81
2003-06-27,-10.84
2003-06-28,-10.89
2003-06-29,-10.93
2003-06-30,-10.96
2003-07-01,-10.99
2003-07-02,-11.02
2003-07-03,-11.05
2003-07-04,-11.05
2003-07-05,-11.06
2003-07-06,-11.09
2003-07-07,-11.12
2003-07-08,-11.15
2003-07-09,-11.19
2003-07-10,-11.23
2003-07-11,-11.25
2003-07-12,-11.27
2003-07-13,-11.3
2003-07-14,-11.33
2003-07-15,-11.35
2003-07-16,-11.38
2003-07-17,-11.42
2003-07-18,-11.45
2003-07-19,-11.49
2003-07-20,-11.52
2003-07-21,-11.56
2003-07-22,-11.59
2003-07-23,-11.61
2003-07-24,-11.65
2003-07-25,-11.67
2003-07-26,-11.68
2003-07-27,-11.69
2003-07-28,-11.72
2003-07-29,-11.75
2003-07-30,-11.78
2003-07-31,-11.82
2003-08-01,-11.85
2003-08-02,-11.87
2003-08-03,-11.88
2003-08-04,-11.91
2003-08-05,-11.93
2003-08-06,-11.96
2003-08-07,-11.99
2003-08-08,-11.91
2003-08-09,-11.75
2003-08-10,-11.7
2003-08-11,-11.68
2003-08-12,-11.68
2003-08-13,-11.7
2003-08-14,-11.72
2003-08-15,-11.72
2003-08-16,-11.73
2003-08-17,-11.73
2003-08-18,-11.6
2003-08-19,-11.46
2003-08-20,-11.41
2003-08-21,-11.38
2003-08-22,-11.35
2003-08-23,-11.36
2003-08-24,-11.38
2003-08-25,-11.4
2003-08-26,-11.43
2003-08-27,-11.46
2003-08-28,-11.51
2003-08-29,-11.55
2003-08-30,-11.58
2003-08-31,-11.62
2003-09-01,-11.65
2003-09-02,-11.67
2003-09-03,-11.62
2003-09-04,-11.6
2003-09-05,-11.6
2003-09-06,-11.61
2003-09-07,-11.63
2003-09-08,-11.67
2003-09-09,-11.71
2003-09-10,-11.73
2003-09-11,-11.77
2003-09-12,-11.8
2003-09-13,-11.83
2003-09-14,-11.86
2003-09-15,-11.89
2003-09-16,-11.92
2003-09-17,-11.95
2003-09-18,-11.98
2003-09-19,-12.01
2003-09-20,-12.03
2003-09-21,-12.06
2003-09-22,-12.105
2003-09-23,-12.11
2003-09-24,-12.14
2003-09-25,-12.16
2003-09-26,-12.2
2003-09-27,-12.22
2003-09-28,-12.25
2003-09-29,-12.28
2003-09-30,-12.31
2003-10-01,-12.34
2003-10-02,-12.37
2003-10-03,-12.4
2003-10-04,-12.43
2003-10-05,-12.46
2003-10-06,-12.49
2003-10-07,-12.52
2003-10-08,-12.55
2003-10-09,-12.58
2003-10-10,-12.61
2003-10-11,-12.63
2003-10-12,-12.66
2003-10-13,-12.69
2003-10-14,-12.7
2003-10-15,-12.72
2003-10-16,-12.71
2003-10-17,-12.71
2003-10-18,-12.71
2003-10-19,-12.71
2003-10-20,-12.74
2003-10-21,-12.72
2003-10-22,-12.74
2003-10-23,-12.75
2003-10-24,-12.77
2003-10-25,-12.8
2003-10-26,-12.81
2003-10-27,-12.82
2003-10-28,-12.81
2003-10-29,-12.71
2003-10-30,-12.55
2003-10-31,-12.48
2003-11-01,-12.44
2003-11-02,-12.43
2003-11-03,-12.41
2003-11-04,-12.4
2003-11-05,-12.39
2003-11-06,-12.38
2003-11-07,-12.37
2003-11-08,-12.36
2003-11-09,-12.35
2003-11-10,-12.34
2003-11-11,-12.33
2003-11-12,-12.33
2003-11-13,-12.32
2003-11-14,-12.33
2003-11-15,-12.34
2003-11-16,-12.37
2003-11-17,-12.37
2003-11-18,-12.39
2003-11-19,-12.39
2003-11-20,-12.4
2003-11-21,-12.42
2003-11-22,-12.43
2003-11-23,-12.44
2003-11-24,-12.44
2003-11-25,-12.46
2003-11-26,-12.47
2003-11-27,-12.48
2003-11-28,-12.47
