,Extraction 4
1969-01-04,0.0
1969-02-01,5877.973091976516
1969-03-01,5309.13698630137
1969-04-01,5309.13698630137
1969-05-01,5309.13698630137
1969-06-01,5309.13698630137
1969-07-01,5309.13698630137
1969-08-01,5309.13698630137
1969-09-01,5309.13698630137
1969-10-01,5309.13698630137
1969-11-01,5309.13698630137
1969-12-01,5309.13698630137
1970-01-01,5309.13698630137
1970-02-01,5170.709589041096
1970-03-01,5170.709589041096
1970-04-01,5170.709589041096
1970-05-01,5170.709589041096
1970-06-01,5170.709589041096
1970-07-01,5170.709589041096
1970-08-01,5170.709589041096
1970-09-01,5170.709589041096
1970-10-01,5170.709589041096
1970-11-01,5170.709589041096
1970-12-01,5170.709589041096
1971-01-01,5170.709589041096
1971-02-01,5058.0
1971-03-01,5058.0
1971-04-01,5058.0
1971-05-01,5058.0
1971-06-01,5058.0
1971-07-01,5058.0
1971-08-01,5058.0
1971-09-01,5058.0
1971-10-01,5058.0
1971-11-01,5058.0
1971-12-01,5058.0
1972-01-01,5058.0
1972-02-01,5400.054644808743
1972-03-01,5400.054644808743
1972-04-01,5400.054644808743
1972-05-01,5400.054644808743
1972-06-01,5400.054644808743
1972-07-01,5400.054644808743
1972-08-01,5400.054644808743
1972-09-01,5400.054644808743
1972-10-01,5400.054644808743
1972-11-01,5400.054644808743
1972-12-01,5400.054644808743
1973-01-01,5400.054644808743
1973-02-01,5000.465753424657
1973-03-01,5000.465753424657
1973-04-01,5000.465753424657
1973-05-01,5000.465753424657
1973-06-01,5000.465753424657
1973-07-01,5000.465753424657
1973-08-01,5000.465753424657
1973-09-01,5000.465753424657
1973-10-01,5000.465753424657
1973-11-01,5000.465753424657
1973-12-01,5000.465753424657
1974-01-01,5000.465753424657
1974-02-01,5288.465753424657
1974-03-01,5288.465753424657
1974-04-01,5288.465753424657
1974-05-01,5288.465753424657
1974-06-01,5288.465753424657
1974-07-01,5288.465753424657
1974-08-01,5288.465753424657
1974-09-01,5288.465753424657
1974-10-01,5288.465753424657
1974-11-01,5288.465753424657
1974-12-01,5288.465753424657
1975-01-01,5288.465753424657
1975-02-01,5974.027397260274
