Date, Groundwater
1988-01-14,12.29
1988-01-28,12.59
1988-02-12,12.57
1988-02-29,12.39
1988-03-15,12.57
1988-03-29,12.59
1988-04-14,12.14
1988-04-28,12.06
1988-05-16,12.12
1988-05-27,12.0
1988-06-14,11.98
1988-06-28,11.84
1988-07-14,11.9
1988-07-28,12.18
1988-08-15,11.92
1988-08-29,11.86
1988-09-14,11.78
1988-09-28,12.3
1988-10-13,12.3
1988-10-28,12.1
1988-11-14,11.96
1988-11-28,11.94
1988-12-14,12.22
1988-12-28,12.31
1989-01-13,12.2
1989-01-27,12.14
1989-02-14,11.97
1989-02-28,12.22
1989-03-14,12.24
1989-03-28,12.31
1989-04-14,12.26
1989-04-27,12.26
1989-05-16,11.99
1989-05-29,11.82
1989-06-14,11.87
1989-06-28,11.63
1989-07-14,11.54
1989-07-28,11.39
1989-08-14,11.31
1989-08-28,11.24
1989-09-14,11.2
1989-09-28,11.18
1989-10-13,11.28
1989-10-27,11.15
1989-11-14,11.16
1989-11-28,11.12
1989-12-14,11.15
1989-12-28,11.42
1990-01-15,11.44
1990-01-29,11.59
1990-02-14,11.7
1990-02-28,11.87
1990-03-14,11.86
1990-03-27,11.83
1990-04-13,11.76
1990-04-27,11.72
1990-05-14,11.77
1990-05-28,11.65
1990-06-14,11.62
1990-06-28,11.48
1990-07-16,11.39
1990-07-27,11.32
1990-08-14,11.16
1990-08-28,11.08
1990-09-14,11.03
1990-09-28,11.0
1990-10-15,10.99
1990-10-29,10.97
1990-11-14,10.98
1990-11-28,11.13
1990-12-14,11.17
1990-12-28,11.27
1991-01-14,11.86
1991-01-28,11.83
1991-02-14,11.74
1991-02-28,11.9
1991-03-14,11.86
1991-03-28,11.82
1991-04-15,11.75
1991-04-29,11.74
1991-05-14,11.63
1991-05-28,11.56
1991-06-13,11.5
1991-06-27,11.47
1991-07-15,11.5
1991-07-29,11.39
1991-08-14,11.29
1991-08-28,11.36
1991-09-13,11.11
1991-09-27,11.06
1991-10-14,11.01
1991-10-28,11.0
1991-11-14,11.12
1991-11-28,11.41
1991-12-13,11.57
1991-12-30,11.92
1992-01-14,11.94
1992-01-28,11.9
1992-02-14,11.97
1992-02-28,11.96
1992-03-13,12.08
1992-03-27,12.14
1992-04-14,12.03
1992-04-28,12.11
1992-05-14,12.02
1992-05-27,11.87
1992-06-15,11.84
1992-06-29,11.61
1992-07-14,11.44
1992-07-28,11.37
1992-08-14,11.32
1992-08-28,11.32
1992-09-14,11.73
1992-09-28,11.63
1992-10-14,11.7
1992-10-28,11.81
1992-11-13,11.94
1992-11-27,12.22
1992-12-14,12.33
1992-12-28,12.19
1993-01-14,12.41
1993-01-28,12.38
1993-02-15,12.16
1993-03-01,12.18
1993-03-15,12.1
1993-03-29,12.04
1993-04-14,12.06
1993-04-28,12.05
1993-05-14,12.29
1993-05-28,12.13
1993-06-14,11.88
1993-06-28,11.82
1993-07-14,11.67
1993-07-28,11.84
1993-08-13,11.76
1993-08-27,11.66
1993-09-14,11.8
1993-09-28,12.24
1993-10-14,12.18
1993-10-28,12.11
1993-11-15,12.39
1993-11-29,12.03
1993-12-14,12.43
1993-12-28,12.59
1994-01-14,12.69
1994-01-28,12.75
1994-02-11,12.45
1994-02-28,12.42
1994-03-14,12.33
1994-03-28,12.43
1994-04-14,12.4
1994-04-28,12.23
1994-05-16,12.21
1994-05-27,12.21
1994-06-14,12.22
1994-06-28,12.01
1994-07-13,11.82
1994-07-28,11.68
1994-08-15,11.44
1994-08-29,11.47
1994-09-14,11.58
1994-09-28,11.66
1994-10-14,11.73
1994-10-28,11.76
1994-11-14,11.99
1994-11-28,11.98
1994-12-12,11.87
1994-12-14,12.11
1994-12-23,11.7
1994-12-28,12.34
1995-01-13,12.45
1995-01-27,12.6
1995-02-14,12.49
1995-03-02,12.48
1995-03-15,12.45
1995-03-29,12.49
1995-04-14,12.23
1995-04-28,12.17
1995-05-15,12.08
1995-05-29,12.28
1995-06-14,12.29
1995-06-28,12.04
1995-07-14,11.74
1995-07-28,11.44
1995-08-14,11.38
1995-08-28,11.32
1995-09-14,11.35
1995-09-28,11.3
1995-10-13,11.39
1995-10-27,11.35
1995-11-14,11.29
1995-11-28,11.26
1995-12-14,11.24
1995-12-28,11.39
1996-01-15,11.48
1996-01-29,11.57
1996-02-14,11.52
1996-02-28,11.64
1996-03-13,11.74
1996-03-27,11.7
1996-04-15,11.72
1996-04-29,11.67
1996-05-14,11.52
1996-05-28,11.54
1996-06-14,11.34
1996-06-28,11.29
1996-07-15,11.2
1996-07-29,11.1
1996-08-14,11.04
1996-08-28,11.05
1996-09-13,11.18
1996-09-27,
1996-10-14,
1996-10-28,
1996-11-14,11.2
1996-11-28,11.66
